"","V1","V2","V3","V4","V5","V6","Parameter"
"1",1.025,0.823,1.027,1.214,616.613,1.004,"B_0"
"2",0.091,-0.192,0.09,0.389,422.148,1.007,"B_x"
"3",0.348,0.207,0.349,0.479,860.988,1.002,"psi"
"4",0.184,0.104,0.178,0.298,1307.937,1,"Sigma2_intercept"
"5",0.126,0.066,0.121,0.213,1259.442,1.001,"Sigma2_psi"
"6",1.178,0.808,1.151,1.708,961.298,1.002,"Sigma2_x"
"7",0.007,0,0.004,0.036,873.53,1.003,"Sigma2_epsilon"
"8",0.152,0.065,0.146,0.283,1078.289,1,"Sigma2_phi"
"9",-0.057,-0.121,-0.056,-0.004,679.89,1.003,"cov_int_psi"
"10",0.083,0.026,0.08,0.162,863.305,1.004,"cov_int_phi"
"11",-0.073,-0.129,-0.07,-0.032,1068.846,1.001,"cov_psi_phi"
"12",-0.057,-0.121,-0.056,-0.004,679.89,1.003,"cov_1"
"13",-0.001,-0.025,-0.001,0.021,2099.599,1.004,"cov_2"
"14",-0.003,-0.026,-0.001,0.012,2237.701,1.004,"cov_3"
"15",0.241,0.105,0.235,0.413,929.133,1.004,"cov_4"
"16",-0.202,-0.346,-0.198,-0.09,1017.408,1.002,"cov_5"
"17",0,-0.071,0,0.073,451.827,1.017,"cov_6"
"18",0.568,0.513,0.567,0.631,4473.854,1,"Sigma2_e"
"19",0.097,0.087,0.096,0.107,4596.672,1,"Sigma2_ex"
"20",251.437,223.461,251.702,277.022,859.051,1.001,"lp_"
"21",1.024,0.838,1.027,1.201,1028.454,1.004,"B_0"
"22",0.063,-0.202,0.063,0.332,794.278,1.001,"B_x"
"23",0.266,0.089,0.266,0.451,483.933,1,"psi"
"24",0.21,0.12,0.203,0.335,1236.745,1,"Sigma2_intercept"
"25",0.13,0.068,0.124,0.221,2016.341,1,"Sigma2_psi"
"26",0.971,0.651,0.947,1.42,1370.651,1,"Sigma2_x"
"27",0.031,0.001,0.028,0.085,1181.864,1,"Sigma2_epsilon"
"28",0.101,0.036,0.094,0.202,1418.026,1,"Sigma2_phi"
"29",-0.064,-0.133,-0.061,-0.006,988.397,1,"cov_int_psi"
"30",0.033,-0.016,0.031,0.094,1371.231,1,"cov_int_phi"
"31",-0.05,-0.106,-0.047,-0.008,1384.96,1,"cov_psi_phi"
"32",-0.064,-0.133,-0.061,-0.006,988.397,1,"cov_1"
"33",-0.012,-0.058,-0.011,0.024,1725.683,1,"cov_2"
"34",-0.004,-0.039,-0.003,0.031,1746.956,1,"cov_3"
"35",0.17,0.036,0.165,0.327,1292.916,1.001,"cov_4"
"36",-0.176,-0.32,-0.171,-0.066,915.783,1,"cov_5"
"37",0,-0.126,0.001,0.117,366.311,1,"cov_6"
"38",0.584,0.523,0.582,0.653,4821.665,1,"Sigma2_e"
"39",0.101,0.092,0.101,0.112,8703.223,1,"Sigma2_ex"
"40",223.906,196.045,224.111,251.19,881.724,1,"lp_"
"41",1.075,0.917,1.076,1.225,1203.903,1,"B_0"
"42",0.131,-0.147,0.131,0.412,865.105,1,"B_x"
"43",0.264,0.134,0.265,0.39,925.332,1.002,"psi"
"44",0.105,0.054,0.101,0.179,1522.164,1,"Sigma2_intercept"
"45",0.077,0.04,0.074,0.133,2239.047,1,"Sigma2_psi"
"46",1.082,0.74,1.054,1.574,1715.83,1.001,"Sigma2_x"
"47",0.014,0,0.01,0.049,1082.706,1.001,"Sigma2_epsilon"
"48",0.091,0.038,0.086,0.174,1678.593,1,"Sigma2_phi"
"49",-0.034,-0.074,-0.033,-0.001,1118.92,1.001,"cov_int_psi"
"50",0.041,0.005,0.039,0.089,1084.848,1,"cov_int_phi"
"51",-0.051,-0.091,-0.049,-0.023,1551.546,1,"cov_psi_phi"
"52",-0.034,-0.074,-0.033,-0.001,1118.92,1.001,"cov_1"
"53",-0.003,-0.027,-0.002,0.017,2119.269,1,"cov_2"
"54",-0.007,-0.032,-0.005,0.011,1657.553,1.001,"cov_3"
"55",0.167,0.066,0.161,0.297,1354.339,1,"cov_4"
"56",-0.169,-0.286,-0.162,-0.083,1683.036,1,"cov_5"
"57",0.001,-0.089,0,0.095,638.388,1.001,"cov_6"
"58",0.568,0.512,0.566,0.629,4477.702,1,"Sigma2_e"
"59",0.102,0.093,0.102,0.113,5966.494,1,"Sigma2_ex"
"60",229.505,201.165,229.679,256.668,771.77,1.001,"lp_"
"61",0.883,0.717,0.885,1.035,1211.995,1,"B_0"
"62",-0.028,-0.296,-0.027,0.243,852.851,1,"B_x"
"63",0.266,0.145,0.268,0.387,797.18,1.002,"psi"
"64",0.144,0.077,0.138,0.239,1605.71,1.002,"Sigma2_intercept"
"65",0.093,0.042,0.088,0.17,1842.747,1.001,"Sigma2_psi"
"66",0.988,0.655,0.961,1.473,1596.637,1,"Sigma2_x"
"67",0.006,0,0.003,0.027,1689.45,1.002,"Sigma2_epsilon"
"68",0.078,0.025,0.073,0.163,2227.678,1,"Sigma2_phi"
"69",-0.053,-0.107,-0.051,-0.011,1444.261,1,"cov_int_psi"
"70",0.03,-0.002,0.028,0.071,1429.994,1,"cov_int_phi"
"71",-0.014,-0.045,-0.013,0.014,1148.824,1.001,"cov_psi_phi"
"72",-0.053,-0.107,-0.051,-0.011,1444.261,1,"cov_1"
"73",-0.001,-0.02,0,0.016,3696.467,1,"cov_2"
"74",-0.001,-0.015,0,0.012,4332.239,1,"cov_3"
"75",0.116,0.008,0.112,0.239,1013.607,1,"cov_4"
"76",-0.051,-0.149,-0.05,0.042,989.448,1.001,"cov_5"
"77",0,-0.056,0,0.056,208.882,1.006,"cov_6"
"78",0.606,0.545,0.603,0.672,6696.867,1,"Sigma2_e"
"79",0.102,0.092,0.102,0.113,7425.649,1,"Sigma2_ex"
"80",205.451,176.975,205.722,231.346,1052.07,1.001,"lp_"
"81",0.999,0.82,1.002,1.162,1096.233,1,"B_0"
"82",0.14,-0.115,0.141,0.39,993.569,1,"B_x"
"83",0.238,0.093,0.238,0.371,1313.03,1,"psi"
