"","V1","V2","V3","V4","V5","V6","Parameter"
"1",1.039,0.909,1.04,1.17,2016.516,1,"B_0"
"2",0.08,-0.107,0.08,0.271,1542.387,1,"B_x"
"3",0.28,0.149,0.279,0.409,504.526,1,"psi"
"4",0.17,0.101,0.167,0.257,2126.835,1,"Sigma2_intercept"
"5",0.053,0.009,0.051,0.115,874.519,1,"Sigma2_psi"
"6",0.998,0.755,0.983,1.31,1690.19,1,"Sigma2_x"
"7",0.02,0,0.014,0.074,657.803,1.001,"Sigma2_epsilon"
"8",0.098,0.043,0.094,0.175,1405.705,1,"Sigma2_phi"
"9",-0.012,-0.05,-0.011,0.023,2245.322,1,"cov_int_psi"
"10",0.054,0.015,0.052,0.098,1705.874,1,"cov_int_phi"
"11",-0.016,-0.044,-0.015,0.01,982.456,1,"cov_psi_phi"
"12",-0.012,-0.05,-0.011,0.023,2245.322,1,"cov_1"
"13",0.002,-0.029,0.001,0.035,1752.072,1,"cov_2"
"14",0,-0.017,0,0.019,1747.166,1,"cov_3"
"15",0.185,0.091,0.183,0.294,1752.069,1.001,"cov_4"
"16",-0.058,-0.142,-0.055,0.01,889.546,1.001,"cov_5"
"17",0,-0.103,0,0.103,264.157,1.001,"cov_6"
"18",0.577,0.518,0.575,0.642,4921.39,1,"Sigma2_e"
"19",0.098,0.088,0.098,0.109,6063.961,1,"Sigma2_ex"
"20",140.553,101.167,140.785,178.459,874.446,1,"lp_"
"21",0.998,0.847,0.998,1.147,1243.378,1,"B_0"
"22",-0.024,-0.195,-0.025,0.146,1067.009,1,"B_x"
"23",0.324,0.169,0.324,0.48,575.865,1,"psi"
"24",0.244,0.16,0.24,0.355,2304.023,1,"Sigma2_intercept"
"25",0.115,0.038,0.11,0.225,881.782,1,"Sigma2_psi"
"26",0.785,0.593,0.775,1.035,1695.132,1,"Sigma2_x"
"27",0.017,0,0.011,0.063,625.589,1,"Sigma2_epsilon"
"28",0.1,0.043,0.095,0.18,2034.891,1,"Sigma2_phi"
"29",-0.059,-0.126,-0.057,-0.005,1766.245,1.002,"cov_int_psi"
"30",0.078,0.033,0.076,0.132,1928.853,1,"cov_int_phi"
"31",-0.035,-0.078,-0.033,0,1288.498,1,"cov_psi_phi"
"32",-0.059,-0.126,-0.057,-0.005,1766.245,1.002,"cov_1"
"33",-0.003,-0.038,-0.001,0.031,1193.939,1,"cov_2"
"34",-0.005,-0.033,-0.003,0.015,1467.057,1,"cov_3"
"35",0.25,0.15,0.247,0.37,1556.252,1,"cov_4"
"36",-0.09,-0.187,-0.087,-0.007,992.435,1,"cov_5"
"37",0.001,-0.083,0.001,0.082,249.854,1,"cov_6"
"38",0.536,0.48,0.535,0.594,4490.937,1,"Sigma2_e"
"39",0.106,0.095,0.106,0.118,7354.816,1,"Sigma2_ex"
"40",138.533,100.419,138.451,176.276,938.509,1.002,"lp_"
"41",1.155,1.012,1.157,1.288,1685.67,1,"B_0"
"42",0.153,-0.037,0.154,0.34,1426.554,1.001,"B_x"
"43",0.247,0.128,0.247,0.366,1305.712,1.001,"psi"
