"","V1","V2","V3","V4","V5","V6","Parameter"
"18679",0.1,0.09,0.099,0.11,7186.695,1,"Sigma2_ex"
"18680",224.799,196.777,225.003,251.563,853.572,1,"lp_"
"18681",1.114,0.91,1.116,1.308,1121.292,1,"B_0"
"18682",0.168,-0.112,0.168,0.457,1218.888,1,"B_x"
"18683",0.31,0.214,0.311,0.404,1654.458,1,"psi"
"18684",0.233,0.138,0.226,0.362,1273.973,1,"Sigma2_intercept"
"18685",0.063,0.03,0.061,0.112,1996.285,1,"Sigma2_psi"
"18686",1.082,0.724,1.054,1.604,1365.525,1,"Sigma2_x"
"18687",0.003,0,0.001,0.015,2461.885,1,"Sigma2_epsilon"
"18688",0.108,0.049,0.103,0.196,2039.54,1,"Sigma2_phi"
"18689",-0.053,-0.104,-0.052,-0.014,2207.576,1,"cov_int_psi"
"18690",0.062,0.017,0.058,0.129,1676.262,1,"cov_int_phi"
"18691",-0.036,-0.071,-0.034,-0.009,1830.788,1,"cov_psi_phi"
"18692",-0.053,-0.104,-0.052,-0.014,2207.576,1,"cov_1"
"18693",0,-0.017,0,0.017,3789.286,1.001,"cov_2"
"18694",-0.001,-0.011,0,0.007,3854.027,1.001,"cov_3"
"18695",0.199,0.065,0.19,0.38,1608.881,1,"cov_4"
"18696",-0.112,-0.215,-0.109,-0.029,1673.589,1.001,"cov_5"
"18697",-0.001,-0.046,0,0.041,522.287,1.003,"cov_6"
"18698",0.568,0.51,0.566,0.631,4663.055,1,"Sigma2_e"
"18699",0.095,0.086,0.095,0.105,6440.301,1,"Sigma2_ex"
"18700",258.303,229.725,258.57,285.418,883.721,1,"lp_"
"18701",0.942,0.769,0.944,1.113,790.664,1,"B_0"
"18702",0.071,-0.219,0.073,0.36,625.02,1,"B_x"
"18703",0.28,0.107,0.279,0.457,278.415,1.002,"psi"
"18704",0.142,0.077,0.136,0.238,1121.995,1.001,"Sigma2_intercept"
"18705",0.081,0.041,0.078,0.139,1653.589,1.001,"Sigma2_psi"
"18706",1.16,0.787,1.128,1.721,920.809,1,"Sigma2_x"
"18707",0.045,0.013,0.041,0.097,1459.909,1,"Sigma2_epsilon"
"18708",0.134,0.067,0.127,0.238,1369.198,1,"Sigma2_phi"
"18709",-0.048,-0.098,-0.046,-0.01,1060.229,1,"cov_int_psi"
"18710",0.042,-0.003,0.04,0.1,995.511,1,"cov_int_phi"
"18711",-0.048,-0.089,-0.046,-0.014,815.065,1.003,"cov_psi_phi"
"18712",-0.048,-0.098,-0.046,-0.01,1060.229,1,"cov_1"
"18713",-0.001,-0.036,-0.001,0.033,837.291,1,"cov_2"
"18714",-0.016,-0.045,-0.015,0.009,1012.555,1,"cov_3"
"18715",0.154,0.042,0.148,0.296,955.545,1,"cov_4"
"18716",-0.114,-0.223,-0.11,-0.027,668.696,1.002,"cov_5"
"18717",0.001,-0.159,0.004,0.15,189.619,1.007,"cov_6"
"18718",0.592,0.532,0.59,0.658,3801.471,1,"Sigma2_e"
"18719",0.102,0.092,0.102,0.113,5033.549,1,"Sigma2_ex"
"18720",214.999,184.65,215.292,243.945,798.316,1,"lp_"
"18721",0.986,0.816,0.987,1.152,880.311,1,"B_0"
"18722",-0.034,-0.279,-0.036,0.211,620.199,1,"B_x"
"18723",0.252,0.078,0.252,0.432,222.133,1,"psi"
"18724",0.177,0.103,0.171,0.284,1368.55,1,"Sigma2_intercept"
"18725",0.121,0.064,0.116,0.205,1831.549,1.002,"Sigma2_psi"
"18726",0.841,0.568,0.816,1.242,1293.384,1.001,"Sigma2_x"
"18727",0.026,0.004,0.023,0.062,1817.433,1,"Sigma2_epsilon"
"18728",0.078,0.031,0.073,0.157,1431.533,1.001,"Sigma2_phi"
"18729",-0.045,-0.104,-0.044,0.006,996.689,1,"cov_int_psi"
"18730",0.043,0.003,0.041,0.096,1015.456,1,"cov_int_phi"
"18731",-0.055,-0.104,-0.052,-0.02,758.024,1.001,"cov_psi_phi"
