"","V1","V2","V3","V4","V5","V6","Parameter"
"1",1.011,0.929,1.01,1.095,1662.371,1,"B_0"
"2",0.025,-0.069,0.024,0.124,942.423,1,"B_x"
"3",0.285,0.159,0.286,0.399,170.475,1,"psi"
"4",0.195,0.115,0.195,0.282,513.064,1,"Sigma2_intercept"
"5",0.154,0.076,0.15,0.249,627.732,1,"Sigma2_psi"
"6",0.872,0.748,0.87,1.014,1173.004,1,"Sigma2_x"
"7",0.015,0,0.008,0.067,413.956,1,"Sigma2_epsilon"
"8",0.087,0.043,0.084,0.147,988.115,1,"Sigma2_phi"
"9",-0.046,-0.096,-0.046,0.004,804.891,1.012,"cov_int_psi"
"10",0.054,0.02,0.054,0.091,576.124,1,"cov_int_phi"
"11",-0.046,-0.084,-0.044,-0.017,747.521,1.001,"cov_psi_phi"
"12",-0.046,-0.096,-0.046,0.004,804.891,1.012,"cov_1"
"13",-0.005,-0.039,-0.002,0.022,795.882,1.001,"cov_2"
"14",-0.006,-0.041,-0.003,0.017,654.399,1,"cov_3"
"15",0.207,0.139,0.206,0.282,559.014,1.003,"cov_4"
"16",-0.14,-0.214,-0.138,-0.07,466.267,1.001,"cov_5"
"17",0.002,-0.07,0,0.096,83.543,1,"cov_6"
"18",0.558,0.461,0.555,0.665,414.76,1,"Sigma2_e"
"19",0.103,0.089,0.103,0.118,1944.704,1,"Sigma2_ex"
"20",-462.96,-553.483,-463.624,-369.475,414.503,1,"lp_"
"21",1.053,0.971,1.053,1.136,2326.073,1,"B_0"
"22",0.051,-0.047,0.052,0.148,1557.317,1.001,"B_x"
"23",0.343,0.198,0.343,0.491,147.106,1.001,"psi"
"24",0.173,0.096,0.171,0.256,795.935,1.001,"Sigma2_intercept"
"25",0.096,0.047,0.093,0.161,942.372,1.001,"Sigma2_psi"
"26",0.978,0.848,0.976,1.122,1205.567,1.002,"Sigma2_x"
"27",0.026,0,0.018,0.101,461.574,1.002,"Sigma2_epsilon"
"28",0.137,0.078,0.134,0.214,832.297,1,"Sigma2_phi"
"29",-0.062,-0.105,-0.062,-0.023,957.788,1.002,"cov_int_psi"
"30",0.055,0.015,0.055,0.094,697.712,1.001,"cov_int_phi"
"31",-0.054,-0.089,-0.053,-0.021,441.188,1,"cov_psi_phi"
"32",-0.062,-0.105,-0.062,-0.023,957.788,1.002,"cov_1"
"33",-0.009,-0.049,-0.005,0.021,493.219,1.001,"cov_2"
"34",0,-0.029,0,0.03,951.929,1.001,"cov_3"
"35",0.187,0.116,0.187,0.259,715.551,1.001,"cov_4"
"36",-0.158,-0.232,-0.157,-0.088,385.024,1,"cov_5"
"37",-0.003,-0.126,-0.001,0.12,110.846,1.002,"cov_6"
"38",0.577,0.48,0.576,0.679,610.592,1.002,"Sigma2_e"
"39",0.093,0.081,0.093,0.107,1903.238,1.001,"Sigma2_ex"
"40",-436.786,-529.24,-436.971,-345.005,554.251,1,"lp_"
"41",0.984,0.894,0.984,1.072,2969.134,1.001,"B_0"
"42",0.005,-0.095,0.004,0.105,2074.388,1.002,"B_x"
"43",0.308,0.156,0.306,0.458,243.666,1.008,"psi"
"44",0.171,0.095,0.169,0.261,833.332,1.002,"Sigma2_intercept"
"45",0.137,0.068,0.135,0.223,1062.35,1,"Sigma2_psi"
"46",0.985,0.853,0.983,1.135,1714.327,1,"Sigma2_x"
"47",0.032,0,0.023,0.108,440.118,1,"Sigma2_epsilon"
"48",0.12,0.062,0.116,0.197,823.904,1,"Sigma2_phi"
"49",-0.087,-0.14,-0.085,-0.04,1051.884,1.004,"cov_int_psi"
"50",0.085,0.047,0.083,0.132,898.413,1.001,"cov_int_phi"
"51",-0.072,-0.117,-0.07,-0.036,783.836,1.001,"cov_psi_phi"
"52",-0.087,-0.14,-0.085,-0.04,1051.884,1.004,"cov_1"
"53",0.01,-0.027,0.007,0.062,667.419,1.001,"cov_2"
"54",-0.01,-0.054,-0.006,0.024,940.686,1.001,"cov_3"
"55",0.241,0.165,0.239,0.324,1318.696,1,"cov_4"
"56",-0.201,-0.284,-0.201,-0.124,942.366,1,"cov_5"
"57",-0.004,-0.14,-0.002,0.122,175.687,1.011,"cov_6"
"58",0.63,0.521,0.629,0.742,714.279,1,"Sigma2_e"
"59",0.105,0.091,0.105,0.12,1781.86,1,"Sigma2_ex"
"60",-524.311,-613.981,-524.612,-432.751,506.333,1.001,"lp_"
"61",0.958,0.869,0.958,1.045,1607.779,1.001,"B_0"
"62",0.004,-0.101,0.005,0.107,1097.873,1.001,"B_x"
"63",0.322,0.124,0.322,0.511,37.386,1.004,"psi"
"64",0.205,0.131,0.203,0.292,908.35,1.001,"Sigma2_intercept"
"65",0.169,0.104,0.167,0.249,759.335,1.001,"Sigma2_psi"
"66",1.081,0.93,1.079,1.249,1085.059,1.002,"Sigma2_x"
"67",0.049,0.001,0.044,0.134,349.496,1,"Sigma2_epsilon"
"68",0.156,0.089,0.153,0.236,645.754,1.001,"Sigma2_phi"
"69",-0.109,-0.163,-0.108,-0.062,1074.729,1,"cov_int_psi"
"70",0.053,0.006,0.054,0.101,527.428,1.002,"cov_int_phi"
"71",-0.078,-0.123,-0.078,-0.036,346.624,1.001,"cov_psi_phi"
"72",-0.109,-0.163,-0.108,-0.062,1074.729,1,"cov_1"
"73",-0.025,-0.084,-0.023,0.022,137.888,1.001,"cov_2"
"74",-0.007,-0.059,-0.005,0.04,182.063,1.001,"cov_3"
"75",0.243,0.166,0.241,0.33,462.145,1.002,"cov_4"
"76",-0.222,-0.304,-0.222,-0.14,504.193,1,"cov_5"
"77",0.002,-0.19,0.002,0.195,31.889,1.003,"cov_6"
"78",0.489,0.4,0.487,0.589,389.183,1,"Sigma2_e"
"79",0.109,0.095,0.108,0.125,1963.222,1.001,"Sigma2_ex"
"80",-433.062,-526.285,-432.735,-338.627,402.863,1.001,"lp_"
"81",1.033,0.944,1.032,1.124,3747.6,1,"B_0"
"82",0.012,-0.085,0.011,0.111,3858.942,1,"B_x"
"83",0.228,0.002,0.232,0.427,195.353,1.015,"psi"
"84",0.293,0.196,0.29,0.399,916.045,1.001,"Sigma2_intercept"
"85",0.062,0.021,0.059,0.122,1122.444,1.001,"Sigma2_psi"
"86",0.961,0.83,0.958,1.106,1654.843,1,"Sigma2_x"
"87",0.063,0,0.057,0.171,376.115,1.002,"Sigma2_epsilon"
"88",0.111,0.042,0.106,0.203,364.656,1.011,"Sigma2_phi"
"89",-0.063,-0.112,-0.062,-0.022,1544.659,1,"cov_int_psi"
"90",0.068,0.021,0.068,0.12,1428.861,1.003,"cov_int_phi"
"91",-0.038,-0.078,-0.036,-0.008,472.267,1.006,"cov_psi_phi"
"92",-0.063,-0.112,-0.062,-0.022,1544.659,1,"cov_1"
"93",-0.003,-0.073,-0.002,0.072,432.161,1.005,"cov_2"
"94",-0.009,-0.053,-0.006,0.023,676.056,1,"cov_3"
"95",0.31,0.232,0.307,0.399,2086.649,1,"cov_4"
"96",-0.126,-0.198,-0.125,-0.06,907.168,1.001,"cov_5"
"97",0.012,-0.166,0.005,0.218,175.209,1.012,"cov_6"
"98",0.57,0.458,0.569,0.685,451.581,1.004,"Sigma2_e"
"99",0.101,0.088,0.1,0.115,1619.404,1.001,"Sigma2_ex"
"100",-462.965,-560.018,-464.535,-356.203,366.718,1.006,"lp_"
"101",1.027,0.941,1.027,1.113,1857.872,1,"B_0"
"102",0.066,-0.036,0.066,0.162,1185.737,1,"B_x"
"103",0.312,0.195,0.313,0.431,176.253,1.012,"psi"
"104",0.21,0.132,0.208,0.299,785.319,1,"Sigma2_intercept"
"105",0.19,0.117,0.188,0.278,1009.202,1,"Sigma2_psi"
"106",0.995,0.863,0.991,1.143,1361.737,1,"Sigma2_x"
"107",0.015,0,0.008,0.065,408.415,1.008,"Sigma2_epsilon"
"108",0.11,0.059,0.107,0.178,1164.468,1.004,"Sigma2_phi"
"109",-0.108,-0.162,-0.107,-0.06,1115.134,1,"cov_int_psi"
"110",0.066,0.031,0.065,0.104,1057.609,1.002,"cov_int_phi"
"111",-0.075,-0.119,-0.073,-0.04,673.678,1.002,"cov_psi_phi"
"112",-0.108,-0.162,-0.107,-0.06,1115.134,1,"cov_1"
"113",0,-0.031,0,0.032,958.672,1.001,"cov_2"
