"mean","2.5%","50%","97.5%","n_eff","Rhat","Parameter"
0.994,0.893,0.994,1.097,683.219,1,"B_0"
0.187,0.116,0.187,0.257,1059.36,1,"psi"
0.161,0.116,0.159,0.216,1025.815,1,"Sigma2_intercept"
0.029,0.015,0.028,0.048,1547.225,1,"Sigma2_epsilon"
0.09,0.061,0.089,0.124,1001.309,1,"Sigma2_phi"
0.822,0.822,0.822,0.822,0.5,1,"Sigma2_x"
0.075,0.057,0.075,0.093,1493.446,1,"cov_int_phi"
0.034,0.015,0.034,0.058,1220.726,1,"cov_2"
0.595,0.565,0.594,0.625,3558.709,1,"Sigma2_e"
-923.754,-959.716,-923.339,-890.873,788.617,1,"lp__"
1.009,0.91,1.008,1.106,457.377,1,"B_0"
0.222,0.153,0.222,0.291,930.797,1.001,"psi"
0.184,0.134,0.182,0.249,808.557,1.001,"Sigma2_intercept"
0.016,0.006,0.015,0.033,1500.546,1,"Sigma2_epsilon"
0.099,0.065,0.098,0.138,902.957,1,"Sigma2_phi"
1.075,1.075,1.075,1.075,0.5,1,"Sigma2_x"
0.074,0.054,0.074,0.094,1337.631,1,"cov_int_phi"
0.013,-0.005,0.013,0.036,1442.511,1,"cov_2"
0.607,0.577,0.607,0.639,4883.659,1,"Sigma2_e"
-957.13,-990.437,-957.023,-923.705,818.257,1,"lp__"
1.031,0.928,1.032,1.132,357.01,1.001,"B_0"
0.242,0.158,0.242,0.325,560.647,1.001,"psi"
0.199,0.143,0.196,0.272,698.887,1.003,"Sigma2_intercept"
0.019,0.008,0.018,0.034,1389.954,1.005,"Sigma2_epsilon"
0.104,0.063,0.102,0.155,554.575,1.002,"Sigma2_phi"
1.032,1.032,1.032,1.032,0.5,1,"Sigma2_x"
0.071,0.048,0.071,0.096,740.767,1.001,"cov_int_phi"
0.008,-0.012,0.007,0.03,1461.03,1,"cov_2"
0.648,0.615,0.647,0.682,3803.205,1,"Sigma2_e"
-1060.42,-1095.902,-1059.983,-1027.107,700.674,1.008,"lp__"
0.933,0.825,0.934,1.038,300.443,1,"B_0"
0.219,0.15,0.219,0.285,578.56,1,"psi"
0.236,0.175,0.232,0.317,609.761,1.001,"Sigma2_intercept"
0.02,0.01,0.02,0.034,1538.41,1.002,"Sigma2_epsilon"
0.095,0.062,0.094,0.136,545.302,1,"Sigma2_phi"
1.053,1.053,1.053,1.053,0.5,1,"Sigma2_x"
0.074,0.052,0.073,0.096,956.329,1,"cov_int_phi"
0.013,-0.009,0.013,0.037,1489.055,1,"cov_2"
0.628,0.598,0.627,0.659,4364.12,1,"Sigma2_e"
-1010.759,-1045.454,-1010.261,-978.13,701.806,1,"lp__"
0.987,0.879,0.988,1.095,657.825,1.002,"B_0"
0.17,0.094,0.17,0.247,1170.57,1.001,"psi"
0.176,0.129,0.174,0.237,1025.277,1,"Sigma2_intercept"
0.028,0.013,0.027,0.049,1825.27,1,"Sigma2_epsilon"
0.094,0.059,0.093,0.136,1084.227,1.001,"Sigma2_phi"
1.069,1.069,1.069,1.069,0.5,1,"Sigma2_x"
0.085,0.064,0.085,0.107,1354.717,1.001,"cov_int_phi"
0.038,0.016,0.037,0.063,1644.827,1,"cov_2"
0.617,0.586,0.616,0.65,5124.864,1,"Sigma2_e"
-983.289,-1018.714,-982.958,-948.848,957.094,1,"lp__"
1.016,0.914,1.017,1.115,375.307,1,"B_0"
0.187,0.109,0.187,0.26,695.913,1,"psi"
0.203,0.148,0.199,0.279,556.848,1.001,"Sigma2_intercept"
0.02,0.009,0.019,0.035,1505.349,1,"Sigma2_epsilon"
0.077,0.044,0.076,0.116,681.685,1.001,"Sigma2_phi"
0.972,0.972,0.972,0.972,0.5,1,"Sigma2_x"
0.072,0.051,0.071,0.094,1019.323,1.001,"cov_int_phi"
0.026,0.006,0.025,0.049,1241.541,1,"cov_2"
0.625,0.593,0.624,0.658,4437.102,1,"Sigma2_e"
-1003.202,-1038.683,-1003.256,-969.339,782.693,1,"lp__"
0.996,0.904,0.997,1.084,573.755,1.003,"B_0"
0.284,0.22,0.285,0.348,1156.653,1.001,"psi"
0.152,0.109,0.15,0.207,923.465,1,"Sigma2_intercept"
0.013,0.004,0.012,0.026,1716.931,1,"Sigma2_epsilon"
0.134,0.097,0.133,0.177,1202.398,1.001,"Sigma2_phi"
1.103,1.103,1.103,1.103,0.5,1,"Sigma2_x"
0.084,0.066,0.083,0.103,1956.132,1,"cov_int_phi"
0.015,-0.001,0.015,0.034,2073.647,1,"cov_2"
0.614,0.584,0.614,0.646,4527.627,1,"Sigma2_e"
-975.629,-1011.149,-975.386,-942.417,820.381,1,"lp__"
1.017,0.93,1.017,1.106,490.865,1,"B_0"
0.236,0.171,0.236,0.3,1123.831,1,"psi"
0.168,0.122,0.166,0.227,850.499,1.003,"Sigma2_intercept"
0.009,0.003,0.009,0.018,1847.207,1,"Sigma2_epsilon"
0.056,0.036,0.055,0.08,1056.356,1,"Sigma2_phi"
0.646,0.646,0.646,0.646,0.5,1,"Sigma2_x"
0.034,0.02,0.034,0.048,2271.721,1,"cov_int_phi"
0.004,-0.01,0.004,0.019,2341.787,1,"cov_2"
0.58,0.551,0.58,0.61,4731.669,1,"Sigma2_e"
-886.662,-920.602,-886.386,-855.305,883.658,1.004,"lp__"
0.996,0.902,0.997,1.093,444.255,1,"B_0"
0.212,0.142,0.213,0.283,616.259,1,"psi"
0.168,0.123,0.166,0.229,685.466,1.001,"Sigma2_intercept"
0.011,0.003,0.01,0.021,1856.92,1.001,"Sigma2_epsilon"
0.073,0.042,0.072,0.111,628.318,1,"Sigma2_phi"
0.956,0.956,0.956,0.956,0.5,1,"Sigma2_x"
0.063,0.045,0.063,0.083,1122.396,1,"cov_int_phi"
0.019,0.004,0.019,0.038,1637.866,1,"cov_2"
0.614,0.582,0.614,0.645,3538.447,1,"Sigma2_e"
-976.482,-1010.696,-975.841,-945.554,859.315,1.001,"lp__"
0.93,0.821,0.93,1.038,257.156,1.005,"B_0"
0.243,0.174,0.244,0.311,393.491,1.004,"psi"
0.232,0.173,0.228,0.312,568.324,1,"Sigma2_intercept"
0.019,0.009,0.019,0.034,1766.874,1,"Sigma2_epsilon"
0.121,0.077,0.119,0.17,372.614,1.005,"Sigma2_phi"
1.197,1.197,1.197,1.197,0.5,1,"Sigma2_x"
0.082,0.06,0.082,0.105,635.72,1.003,"cov_int_phi"
0.015,-0.004,0.015,0.037,1536.855,1.001,"cov_2"
