"mean","2.5%","50%","97.5%","n_eff","Rhat","Parameter"
0.959,0.9,0.959,1.017,4110.772,1,"B_0"
0.216,0.176,0.215,0.259,1495.46,1,"Sigma2_intercept"
0.134,0.1,0.134,0.17,1182.445,1.001,"Sigma2_phi"
0.543,0.404,0.543,0.684,1135.858,1,"cor_2"
0.092,0.067,0.091,0.118,1867.966,1,"cov_int_phi"
0.092,0.067,0.091,0.118,1867.966,1,"cov_2"
0.698,0.652,0.697,0.747,1534.831,1,"Sigma2_e"
-1826.095,-1924.545,-1825.497,-1733.229,537.432,1,"lp__"
0.981,0.927,0.981,1.034,1465.484,1,"B_0"
0.195,0.157,0.195,0.235,1141.519,1,"Sigma2_intercept"
0.092,0.063,0.091,0.125,761.328,1,"Sigma2_phi"
0.595,0.435,0.595,0.755,605.379,1,"cor_2"
0.079,0.056,0.079,0.104,1048.538,1.001,"cov_int_phi"
0.079,0.056,0.079,0.104,1048.538,1.001,"cov_2"
0.717,0.671,0.716,0.766,1007.636,1,"Sigma2_e"
-1868.354,-1957.454,-1868.041,-1778.23,522.366,1,"lp__"
0.947,0.892,0.947,1.002,4433.155,1,"B_0"
0.221,0.183,0.22,0.265,1492.125,1,"Sigma2_intercept"
0.077,0.049,0.077,0.107,1086.026,1,"Sigma2_phi"
0.588,0.415,0.586,0.768,1246.376,1,"cor_2"
0.076,0.053,0.076,0.1,2181.565,1,"cov_int_phi"
0.076,0.053,0.076,0.1,2181.565,1,"cov_2"
0.695,0.652,0.695,0.743,1720.386,1,"Sigma2_e"
-1819.018,-1911.512,-1818.25,-1731.596,667.604,1,"lp__"
0.963,0.903,0.963,1.025,4438.657,1,"B_0"
0.215,0.176,0.214,0.258,1728.3,1,"Sigma2_intercept"
0.144,0.112,0.144,0.18,1145.746,1,"Sigma2_phi"
0.537,0.4,0.537,0.666,1195.787,1,"cor_2"
0.094,0.069,0.094,0.121,1697.045,1,"cov_int_phi"
0.094,0.069,0.094,0.121,1697.045,1,"cov_2"
0.676,0.633,0.676,0.722,1772.976,1,"Sigma2_e"
-1775.709,-1870.992,-1774.419,-1688.129,656.82,1,"lp__"
0.983,0.923,0.983,1.04,1540.781,1,"B_0"
0.244,0.201,0.243,0.291,1054.637,1,"Sigma2_intercept"
0.127,0.094,0.126,0.163,968.114,1.002,"Sigma2_phi"
0.621,0.483,0.622,0.757,832.802,1.006,"cor_2"
0.109,0.082,0.109,0.137,1278.177,1.001,"cov_int_phi"
0.109,0.082,0.109,0.137,1278.177,1.001,"cov_2"
0.708,0.662,0.707,0.755,1131.723,1.001,"Sigma2_e"
-1848.071,-1936.639,-1848.597,-1759.181,524.155,1.006,"lp__"
1,0.945,0.999,1.057,1287.241,1,"B_0"
0.175,0.139,0.175,0.214,1300.25,1.001,"Sigma2_intercept"
0.105,0.074,0.105,0.138,908.316,1.001,"Sigma2_phi"
0.588,0.425,0.59,0.747,565.514,1,"cor_2"
0.079,0.055,0.079,0.103,868.618,1,"cov_int_phi"
0.079,0.055,0.079,0.103,868.618,1,"cov_2"
0.704,0.658,0.703,0.751,1135.645,1,"Sigma2_e"
-1840.659,-1927.257,-1841.565,-1752.718,610.343,1,"lp__"
0.936,0.884,0.937,0.988,5009.573,1,"B_0"
0.166,0.13,0.166,0.205,1546.002,1,"Sigma2_intercept"
0.111,0.08,0.111,0.144,1364.017,1.003,"Sigma2_phi"
0.517,0.358,0.518,0.668,1428.967,1,"cor_2"
0.07,0.048,0.07,0.093,1863.506,1,"cov_int_phi"
0.07,0.048,0.07,0.093,1863.506,1,"cov_2"
0.689,0.646,0.688,0.737,2064.284,1,"Sigma2_e"
-1803.682,-1897.002,-1802.502,-1720.015,725.426,1,"lp__"
0.995,0.94,0.995,1.05,4276.066,1,"B_0"
0.225,0.186,0.225,0.27,1682.052,1,"Sigma2_intercept"
0.09,0.061,0.09,0.122,1000.56,1,"Sigma2_phi"
0.533,0.377,0.532,0.688,1369.314,1,"cor_2"
0.075,0.052,0.075,0.099,2083.586,1,"cov_int_phi"
0.075,0.052,0.075,0.099,2083.586,1,"cov_2"
0.655,0.615,0.654,0.698,1527.785,1,"Sigma2_e"
-1723.835,-1818.605,-1723.847,-1633.248,580,1.001,"lp__"
1.012,0.958,1.012,1.065,1405.585,1,"B_0"
0.202,0.165,0.202,0.243,1291.855,1,"Sigma2_intercept"
0.072,0.046,0.071,0.101,713.765,1.001,"Sigma2_phi"
0.668,0.486,0.667,0.854,591.686,1,"cor_2"
0.08,0.057,0.08,0.103,1218.069,1.001,"cov_int_phi"
0.08,0.057,0.08,0.103,1218.069,1.001,"cov_2"
0.74,0.692,0.74,0.789,1090.322,1,"Sigma2_e"
-1920.394,-2002.781,-1920.327,-1836.005,530.333,1,"lp__"
0.942,0.89,0.942,0.996,1493.523,1.002,"B_0"
0.226,0.185,0.225,0.27,967.41,1.001,"Sigma2_intercept"
0.115,0.083,0.115,0.149,845.334,1.001,"Sigma2_phi"
0.307,0.16,0.305,0.463,1007.408,1.002,"cor_2"
0.049,0.025,0.049,0.075,1118.023,1.002,"cov_int_phi"
0.049,0.025,0.049,0.075,1118.023,1.002,"cov_2"
0.698,0.652,0.697,0.746,1169.195,1,"Sigma2_e"
