"mean","2.5%","50%","97.5%","n_eff","Rhat","Parameter"
1.013,0.967,1.013,1.058,694.859,1,"B_0"
0.001,-0.046,0.001,0.049,500.913,0.999,"B_x"
0.274,0.063,0.289,0.407,12.3,1.211,"psi"
0.201,0.154,0.201,0.252,98.584,1.003,"Sigma2_intercept"
0.135,0.099,0.134,0.174,279.593,0.999,"Sigma2_psi"
0.982,0.916,0.98,1.057,510.076,1.001,"Sigma2_x"
0.106,0.056,0.093,0.224,16.815,1.145,"Sigma2_phi"
0.026,0,0.017,0.102,60.659,1,"Sigma2_epsilon"
-0.102,-0.128,-0.102,-0.078,360.617,1.004,"cov_int_psi"
0.086,0.062,0.086,0.109,382.978,1.008,"cov_int_phi"
-0.066,-0.092,-0.065,-0.042,190.028,1.003,"cov_psi_phi"
-0.622,-0.77,-0.621,-0.477,151.576,1.008,"cor_1"
0.02,-0.747,0,0.718,85.119,1.051,"cor_2"
-0.129,-0.794,-0.127,0.632,105.485,1.039,"cor_3"
0.687,0.607,0.686,0.77,72.365,1.003,"cor_4"
-0.584,-0.678,-0.585,-0.477,158.44,0.999,"cor_5"
0.09,-0.61,0.063,0.806,7.807,1.236,"cor_6"
-0.102,-0.128,-0.102,-0.078,360.617,1.004,"cov_1"
0.003,-0.042,0,0.075,27.644,1.14,"cov_2"
-0.008,-0.059,-0.003,0.027,58.634,1.116,"cov_3"
0.304,0.264,0.304,0.343,519.786,0.999,"cov_4"
-0.211,-0.249,-0.211,-0.172,480.03,0.999,"cov_5"
0.017,-0.108,0.002,0.233,11.258,1.232,"cov_6"
0.63,0.561,0.631,0.694,64.623,1.015,"Sigma2_e"
0.104,0.097,0.104,0.111,497.845,1,"Sigma2_ex"
-2035.077,-2242.02,-2044.232,-1821.003,57.169,1.01,"lp__"
0.985,0.94,0.985,1.032,1248.972,0.999,"B_0"
-0.038,-0.087,-0.038,0.011,1121.994,0.999,"B_x"
0.305,0.209,0.306,0.387,12.013,1.166,"psi"
0.211,0.165,0.211,0.256,250.733,1.005,"Sigma2_intercept"
0.121,0.084,0.12,0.159,175.628,1,"Sigma2_psi"
0.932,0.865,0.932,1.001,358.748,1,"Sigma2_x"
0.092,0.055,0.088,0.151,18.241,1.128,"Sigma2_phi"
