"mean","2.5%","50%","97.5%","n_eff","Rhat","Parameter"
1.003,0.944,1.003,1.063,2219.31,1,"B_0"
0.234,0.185,0.234,0.282,2807.339,1,"psi"
0.232,0.189,0.231,0.28,1752.204,1,"Sigma2_intercept"
0.024,0.007,0.023,0.044,826.158,1,"Sigma2_epsilon"
0.096,0.068,0.096,0.125,1742.336,1,"Sigma2_phi"
1.021,1.021,1.021,1.021,0.5,1,"Sigma2_x"
0.072,0.052,0.073,0.093,3269.511,1.001,"cov_int_phi"
0.023,0.001,0.023,0.046,2475.719,1.001,"cov_2"
0.593,0.56,0.592,0.629,3057.494,1,"Sigma2_e"
-1366.881,-1435.073,-1367.228,-1297.014,705.977,1,"lp__"
1.005,0.949,1.005,1.063,2461.441,1,"B_0"
0.235,0.189,0.236,0.284,3419.258,1.002,"psi"
0.216,0.176,0.215,0.263,1908.723,1.001,"Sigma2_intercept"
0.014,0.003,0.013,0.029,1193.444,1.003,"Sigma2_epsilon"
0.085,0.06,0.084,0.113,2453.465,1,"Sigma2_phi"
1.069,1.069,1.069,1.069,0.5,1,"Sigma2_x"
0.058,0.04,0.058,0.077,3629.756,1,"cov_int_phi"
0.01,-0.009,0.01,0.03,3248.739,1.002,"cov_2"
0.628,0.592,0.628,0.665,3046.975,1,"Sigma2_e"
-1462.376,-1527.096,-1463.146,-1396.425,910.713,1.001,"lp__"
1.043,0.988,1.042,1.1,3490.83,1.001,"B_0"
0.214,0.166,0.214,0.26,4137.844,1,"psi"
0.185,0.149,0.184,0.225,2032.059,1,"Sigma2_intercept"
0.02,0.005,0.019,0.039,838.956,1,"Sigma2_epsilon"
0.081,0.056,0.081,0.109,1472.496,1,"Sigma2_phi"
1.057,1.057,1.057,1.057,0.5,1,"Sigma2_x"
0.061,0.043,0.061,0.08,3239.77,1.001,"cov_int_phi"
0.017,-0.001,0.017,0.038,3202.204,1.001,"cov_2"
0.615,0.581,0.615,0.652,2400.132,1,"Sigma2_e"
-1428.268,-1499.586,-1427.347,-1360.094,687.817,1,"lp__"
1.025,0.969,1.025,1.084,3167.351,1,"B_0"
0.216,0.169,0.216,0.262,4422.654,1,"psi"
0.205,0.166,0.204,0.247,2050.069,1,"Sigma2_intercept"
0.018,0.004,0.017,0.036,823.03,1.006,"Sigma2_epsilon"
0.079,0.055,0.078,0.106,1855.02,1.002,"Sigma2_phi"
0.956,0.956,0.956,0.956,0.5,1,"Sigma2_x"
0.074,0.056,0.074,0.094,3857.845,1,"cov_int_phi"
0.029,0.009,0.028,0.05,3160.995,1,"cov_2"
