"mean","2.5%","50%","97.5%","n_eff","Rhat","Parameter"
0.932,0.787,0.934,1.072,765.545,1,"B_0"
0.24,0.164,0.239,0.312,2750.183,1,"psi"
0.203,0.121,0.196,0.329,1147.784,1.001,"Sigma2_intercept"
0.017,0,0.014,0.053,879.297,1.001,"Sigma2_epsilon"
0.075,0.042,0.074,0.116,1864.764,1,"Sigma2_phi"
1.03,1.03,1.03,1.03,0.5,1,"Sigma2_x"
0.049,0.019,0.049,0.079,3767.928,1,"cov_int_phi"
-0.006,-0.043,-0.005,0.028,2343.1,1,"cov_2"
0.739,0.666,0.738,0.817,3208.735,1,"Sigma2_e"
-331.34,-351.858,-331.409,-310.789,748.084,1.002,"lp__"
0.91,0.756,0.91,1.066,1875.135,1,"B_0"
0.318,0.242,0.32,0.384,4340.223,1,"psi"
0.227,0.134,0.22,0.366,1372.772,1,"Sigma2_intercept"
0.014,0,0.01,0.048,1443.561,1,"Sigma2_epsilon"
0.165,0.115,0.164,0.221,3326.441,1,"Sigma2_phi"
1.322,1.322,1.322,1.322,0.5,1,"Sigma2_x"
0.104,0.067,0.102,0.145,3243.901,1,"cov_int_phi"
0.016,-0.015,0.013,0.063,2469.949,1,"cov_2"
0.799,0.719,0.798,0.889,6875.339,1,"Sigma2_e"
-363.341,-384.788,-363.128,-343.131,826.905,1.001,"lp__"
0.967,0.82,0.968,1.115,725.675,1,"B_0"
0.259,0.194,0.26,0.324,2185.602,1.002,"psi"
0.214,0.128,0.207,0.341,955.911,1,"Sigma2_intercept"
0.01,0,0.007,0.04,870.005,1,"Sigma2_epsilon"
0.087,0.053,0.086,0.128,2874.945,1,"Sigma2_phi"
1.083,1.083,1.083,1.083,0.5,1,"Sigma2_x"
0.055,0.028,0.055,0.087,3734.926,1,"cov_int_phi"
0.005,-0.023,0.003,0.039,2033.629,1,"cov_2"
0.709,0.638,0.708,0.786,3294.742,1,"Sigma2_e"
-315.455,-335.911,-315.108,-296.777,723.364,1,"lp__"
0.944,0.827,0.943,1.06,1106.56,1,"B_0"
0.266,0.205,0.266,0.325,3314.06,1,"psi"
0.131,0.073,0.127,0.216,1463.931,1,"Sigma2_intercept"
0.005,0,0.002,0.022,1370.391,1.001,"Sigma2_epsilon"
0.082,0.052,0.081,0.118,5080.472,1,"Sigma2_phi"
1.062,1.062,1.062,1.062,0.5,1,"Sigma2_x"
0.041,0.019,0.04,0.064,5164.53,1,"cov_int_phi"
0,-0.019,0,0.021,3640.316,1,"cov_2"
0.689,0.621,0.688,0.763,4700.623,1,"Sigma2_e"
-304.71,-324.096,-304.368,-286.7,917.67,1,"lp__"
1.066,0.921,1.066,1.208,753.648,1.004,"B_0"
0.274,0.202,0.275,0.346,3379.247,1,"psi"
0.202,0.121,0.194,0.324,1249.163,1,"Sigma2_intercept"
0.003,0,0.002,0.017,2149.18,1,"Sigma2_epsilon"
0.07,0.041,0.069,0.105,4691.303,1,"Sigma2_phi"
0.837,0.837,0.837,0.837,0.5,1,"Sigma2_x"
0.061,0.037,0.061,0.09,4644.511,1,"cov_int_phi"
0.004,-0.016,0.001,0.03,2896.242,1,"cov_2"
0.769,0.695,0.767,0.854,4247.198,1.001,"Sigma2_e"
-348.933,-366.987,-348.724,-331.789,1121.02,1,"lp__"
0.977,0.824,0.977,1.13,1435.101,1.004,"B_0"
0.272,0.201,0.273,0.338,4991.111,1,"psi"
0.221,0.135,0.213,0.356,1573.004,1.002,"Sigma2_intercept"
0.014,0,0.011,0.047,1175.348,1,"Sigma2_epsilon"
0.113,0.072,0.112,0.16,3069.204,1,"Sigma2_phi"
1.224,1.224,1.224,1.224,0.5,1,"Sigma2_x"
0.095,0.064,0.094,0.129,4151.113,1,"cov_int_phi"
0.01,-0.024,0.007,0.052,3559.825,1,"cov_2"
0.687,0.621,0.686,0.761,5743.55,1,"Sigma2_e"
-302.737,-323.166,-302.5,-283.013,759.56,1,"lp__"
1.026,0.879,1.026,1.175,649.268,1,"B_0"
0.255,0.181,0.255,0.32,2286.831,1,"psi"
0.25,0.154,0.243,0.394,895.685,1,"Sigma2_intercept"
0.007,0,0.004,0.031,1092.609,1,"Sigma2_epsilon"
0.075,0.046,0.074,0.11,3386.131,1,"Sigma2_phi"
0.934,0.934,0.934,0.934,0.5,1,"Sigma2_x"
0.071,0.044,0.071,0.104,3374.756,1,"cov_int_phi"
0.01,-0.017,0.007,0.049,2039.193,1,"cov_2"
0.691,0.624,0.69,0.765,3224.036,1,"Sigma2_e"
-305.038,-325.049,-304.825,-286.829,718.637,1.001,"lp__"
1.007,0.874,1.007,1.141,918.278,1.008,"B_0"
0.31,0.242,0.311,0.37,3938.208,1,"psi"
0.175,0.1,0.169,0.283,1036.432,1,"Sigma2_intercept"
0.012,0,0.009,0.041,944.405,1,"Sigma2_epsilon"
0.117,0.077,0.116,0.163,3157.167,1,"Sigma2_phi"
1.072,1.072,1.072,1.072,0.5,1,"Sigma2_x"
0.032,0.005,0.031,0.062,3870.103,1,"cov_int_phi"
0.006,-0.018,0.005,0.037,2642.151,1,"cov_2"
0.734,0.66,0.733,0.815,3624.905,1,"Sigma2_e"
-329.464,-349.93,-329.062,-309.873,712.727,1,"lp__"
0.893,0.748,0.893,1.04,730.803,1.001,"B_0"
0.376,0.29,0.379,0.454,2331.799,1,"psi"
0.174,0.104,0.166,0.286,1155.677,1.003,"Sigma2_intercept"
0.017,0,0.015,0.048,1172.846,1.001,"Sigma2_epsilon"
0.165,0.118,0.164,0.214,3620.581,1.001,"Sigma2_phi"
0.87,0.87,0.87,0.87,0.5,1,"Sigma2_x"
0.099,0.067,0.099,0.135,3246.394,1.001,"cov_int_phi"
0.023,-0.005,0.021,0.065,1498.824,1,"cov_2"
0.653,0.588,0.651,0.725,3530.064,1,"Sigma2_e"
-282.789,-303.64,-282.49,-263.748,723.455,1.002,"lp__"
0.948,0.822,0.947,1.073,1239.026,1,"B_0"
0.267,0.207,0.267,0.324,4844.359,1,"psi"
0.158,0.089,0.152,0.26,1341.002,1,"Sigma2_intercept"
0.004,0,0.002,0.02,1548.77,1.001,"Sigma2_epsilon"
0.083,0.052,0.082,0.118,4342.211,1,"Sigma2_phi"
1.067,1.067,1.067,1.067,0.5,1,"Sigma2_x"
0.052,0.028,0.052,0.077,4809.383,1,"cov_int_phi"
0.001,-0.018,0,0.022,3712.201,1,"cov_2"
0.67,0.604,0.67,0.739,4555.596,1,"Sigma2_e"
-293.189,-313.146,-292.804,-274.834,908.94,1,"lp__"
0.972,0.824,0.973,1.12,884.733,1,"B_0"
0.284,0.208,0.284,0.357,2906.154,1,"psi"
0.203,0.118,0.196,0.332,1181.777,1.001,"Sigma2_intercept"
0.014,0,0.011,0.048,1000.834,1,"Sigma2_epsilon"
0.11,0.069,0.109,0.156,2426.715,1,"Sigma2_phi"
1.068,1.068,1.068,1.068,0.5,1,"Sigma2_x"
0.071,0.04,0.07,0.107,3903.074,1,"cov_int_phi"
0.009,-0.023,0.006,0.051,2473.211,1,"cov_2"
0.811,0.732,0.811,0.899,3678.387,1,"Sigma2_e"
-369.516,-390.603,-369.358,-350.241,750.348,1,"lp__"
1.087,0.95,1.085,1.227,1142.54,1,"B_0"
0.173,0.107,0.174,0.237,3731.372,1,"psi"
0.191,0.111,0.186,0.307,1282.463,1,"Sigma2_intercept"
0.008,0,0.005,0.033,1337.39,1,"Sigma2_epsilon"
0.043,0.019,0.041,0.074,2802.459,1,"Sigma2_phi"
1.078,1.078,1.078,1.078,0.5,1,"Sigma2_x"
0.038,0.014,0.037,0.064,4305.63,1,"cov_int_phi"
0.003,-0.022,0.001,0.033,3008.411,1,"cov_2"
0.69,0.621,0.689,0.766,4677.382,1,"Sigma2_e"
-304.517,-323.971,-304.465,-285.493,946.464,1,"lp__"
1.002,0.815,1.001,1.183,584.137,1.001,"B_0"
0.262,0.165,0.264,0.348,1649.731,1,"psi"
0.313,0.19,0.303,0.485,860.633,1,"Sigma2_intercept"
0.015,0,0.012,0.052,1142.296,1,"Sigma2_epsilon"
0.086,0.051,0.084,0.128,3042.562,1,"Sigma2_phi"
0.795,0.795,0.795,0.795,0.5,1,"Sigma2_x"
0.099,0.063,0.097,0.14,2347.61,1,"cov_int_phi"
0.027,-0.009,0.024,0.084,1197.545,1,"cov_2"
0.764,0.693,0.762,0.843,3585.084,1,"Sigma2_e"
-344.715,-365.015,-344.179,-325.792,760.405,1,"lp__"
0.986,0.86,0.985,1.118,2281.012,1,"B_0"
0.282,0.184,0.284,0.371,3938.791,1,"psi"
0.128,0.073,0.123,0.213,1623.258,1,"Sigma2_intercept"
0.021,0,0.019,0.056,1091.887,1,"Sigma2_epsilon"
0.072,0.04,0.071,0.111,2138.344,1,"Sigma2_phi"
0.53,0.53,0.53,0.53,0.5,1,"Sigma2_x"
0.034,0.01,0.033,0.06,4777.477,1,"cov_int_phi"
0.009,-0.017,0.007,0.039,3305.969,1,"cov_2"
0.606,0.543,0.605,0.675,5098.382,1,"Sigma2_e"
-252.07,-273.927,-251.55,-231.884,709.018,1,"lp__"
0.98,0.792,0.982,1.166,661.236,1,"B_0"
0.265,0.178,0.266,0.344,1913.361,1,"psi"
0.284,0.172,0.275,0.448,951.645,1.002,"Sigma2_intercept"
