"mean","2.5%","50%","97.5%","n_eff","Rhat","Parameter"
0.998,0.9,0.997,1.101,596.314,1.001,"B_0"
0.229,0.18,0.229,0.277,2282.375,1,"psi"
0.164,0.117,0.161,0.226,893.283,1,"Sigma2_intercept"
0.021,0.009,0.02,0.038,1518.955,1,"Sigma2_epsilon"
0.089,0.072,0.089,0.107,3403.136,1,"Sigma2_phi"
0.822,0.822,0.822,0.822,0.5,1,"Sigma2_x"
0.078,0.063,0.078,0.093,3783.297,1,"cov_int_phi"
0.03,0.011,0.03,0.053,1853.793,1,"cov_2"
0.665,0.631,0.665,0.7,5999.851,1,"Sigma2_e"
-1049.119,-1079.179,-1048.672,-1020.95,779.697,1,"lp__"
1.011,0.922,1.012,1.108,588.143,1.001,"B_0"
0.268,0.225,0.269,0.306,1750.197,1,"psi"
0.175,0.126,0.172,0.239,866.703,1,"Sigma2_intercept"
0.009,0,0.009,0.022,710.691,1,"Sigma2_epsilon"
0.094,0.076,0.094,0.113,2023.506,1,"Sigma2_phi"
1.075,1.075,1.075,1.075,0.5,1,"Sigma2_x"
0.065,0.05,0.065,0.081,4329.781,1,"cov_int_phi"
0.001,-0.016,0.001,0.021,2564.392,1,"cov_2"
0.692,0.657,0.692,0.728,5397.917,1,"Sigma2_e"
-1114.522,-1146.637,-1114.044,-1085.518,578.785,1,"lp__"
1.041,0.949,1.04,1.135,826.227,1,"B_0"
0.273,0.227,0.273,0.315,2757.047,1,"psi"
0.22,0.159,0.216,0.294,982.007,1.001,"Sigma2_intercept"
0.009,0,0.008,0.022,701.563,1,"Sigma2_epsilon"
0.091,0.072,0.091,0.112,1779.424,1,"Sigma2_phi"
1.032,1.032,1.032,1.032,0.5,1,"Sigma2_x"
0.072,0.055,0.072,0.09,4004.515,1,"cov_int_phi"
0,-0.02,0,0.021,3433.22,1.001,"cov_2"
0.79,0.75,0.789,0.83,5176.661,1,"Sigma2_e"
-1323.493,-1355.137,-1322.989,-1293.744,559.295,1,"lp__"
0.935,0.83,0.935,1.037,466.212,1.003,"B_0"
0.251,0.209,0.251,0.292,2667.407,1,"psi"
0.237,0.172,0.234,0.317,923.912,1,"Sigma2_intercept"
0.013,0.004,0.013,0.026,1383.593,1,"Sigma2_epsilon"
0.087,0.068,0.087,0.106,3837.555,1,"Sigma2_phi"
1.053,1.053,1.053,1.053,0.5,1,"Sigma2_x"
0.07,0.053,0.07,0.089,4783.719,1,"cov_int_phi"
0.003,-0.018,0.003,0.026,2876.246,1,"cov_2"
0.72,0.685,0.72,0.758,6431.071,1,"Sigma2_e"
-1177.684,-1209.042,-1177.506,-1148.787,743.344,1,"lp__"
0.996,0.887,0.996,1.105,473.937,1,"B_0"
0.215,0.165,0.216,0.26,1354.321,1,"psi"
0.204,0.147,0.202,0.276,834.946,1,"Sigma2_intercept"
0.017,0.005,0.016,0.035,1152.824,1,"Sigma2_epsilon"
0.09,0.071,0.09,0.111,3114.675,1.001,"Sigma2_phi"
1.069,1.069,1.069,1.069,0.5,1,"Sigma2_x"
0.088,0.07,0.088,0.105,2901.767,1,"cov_int_phi"
0.027,0.005,0.026,0.055,1281.326,1,"cov_2"
0.723,0.687,0.723,0.762,4834.985,1,"Sigma2_e"
-1184.039,-1215.847,-1183.539,-1154.745,711.116,1,"lp__"
1.027,0.927,1.027,1.127,614.897,1,"B_0"
0.214,0.169,0.215,0.257,2583.014,1,"psi"
0.198,0.143,0.196,0.269,840.42,1,"Sigma2_intercept"
0.016,0.004,0.015,0.031,1362.605,1,"Sigma2_epsilon"
0.077,0.06,0.077,0.097,3470.973,1,"Sigma2_phi"
0.972,0.972,0.972,0.972,0.5,1,"Sigma2_x"
0.07,0.053,0.07,0.087,4460.541,1,"cov_int_phi"
0.023,0.003,0.022,0.045,2251.625,1,"cov_2"
0.741,0.704,0.741,0.778,5494.139,1,"Sigma2_e"
-1223.401,-1254.023,-1223.179,-1195.092,802.331,1,"lp__"
0.999,0.91,0.998,1.096,514.126,1,"B_0"
0.308,0.264,0.309,0.345,1683.508,1.001,"psi"
0.176,0.126,0.172,0.244,781.621,1,"Sigma2_intercept"
0.008,0,0.007,0.021,774.414,1.001,"Sigma2_epsilon"
0.126,0.106,0.126,0.149,2548.934,1,"Sigma2_phi"
1.103,1.103,1.103,1.103,0.5,1,"Sigma2_x"
0.089,0.073,0.089,0.106,3255.08,1,"cov_int_phi"
0.01,-0.007,0.009,0.031,1643.687,1,"cov_2"
0.686,0.652,0.686,0.721,3427.072,1,"Sigma2_e"
-1100.924,-1131.017,-1100.903,-1071.138,616.383,1,"lp__"
1.018,0.927,1.019,1.105,713.763,1.002,"B_0"
0.26,0.221,0.261,0.297,4210.689,1,"psi"
0.17,0.124,0.168,0.232,889.967,1,"Sigma2_intercept"
0.003,0,0.002,0.011,965.194,1,"Sigma2_epsilon"
0.049,0.037,0.048,0.063,4001.506,1,"Sigma2_phi"
0.646,0.646,0.646,0.646,0.5,1,"Sigma2_x"
0.032,0.021,0.032,0.044,5665.342,1,"cov_int_phi"
0.001,-0.009,0.001,0.014,4724.308,1,"cov_2"
0.63,0.599,0.63,0.662,7413.758,1,"Sigma2_e"
