"mean","2.5%","50%","97.5%","n_eff","Rhat","Parameter"
1.026,0.937,1.026,1.114,2289.005,1,"B_0"
-0.033,-0.134,-0.035,0.071,1871.481,1,"B_x"
0.322,-0.034,0.333,0.624,122.59,1.002,"psi"
0.126,0.063,0.122,0.206,257.679,1.005,"Sigma2_intercept"
0.118,0.065,0.115,0.19,481.444,1.003,"Sigma2_psi"
1.052,0.917,1.048,1.21,1301.831,1.002,"Sigma2_x"
0.206,0.074,0.161,0.63,372.088,1.001,"Sigma2_phi"
0.069,0,0.048,0.254,512.686,1,"Sigma2_epsilon"
-0.077,-0.127,-0.076,-0.034,511.127,1,"cov_int_psi"
0.089,0.042,0.089,0.138,520.192,1.001,"cov_int_phi"
-0.097,-0.151,-0.095,-0.053,468.514,1.002,"cov_psi_phi"
-0.65,-0.925,-0.658,-0.3,271.641,1,"cor_1"
-0.004,-0.782,-0.004,0.737,215.986,1.003,"cor_2"
-0.228,-0.861,-0.281,0.624,227.178,1.002,"cor_3"
0.759,0.565,0.765,0.947,73.499,1.029,"cor_4"
-0.684,-0.867,-0.683,-0.489,342.179,1,"cor_5"
0.05,-0.817,0.063,0.864,85.793,1.006,"cor_6"
-0.077,-0.127,-0.076,-0.034,511.127,1,"cov_1"
0.002,-0.089,0,0.099,197.215,1.002,"cov_2"
-0.02,-0.117,-0.014,0.056,228.903,1.001,"cov_3"
0.271,0.193,0.268,0.355,1128.034,1.006,"cov_4"
-0.237,-0.323,-0.236,-0.164,397.625,1.005,"cov_5"
0.02,-0.292,0.007,0.393,116.981,1.002,"cov_6"
0.707,0.598,0.708,0.818,705.882,1,"Sigma2_e"
0.1,0.087,0.099,0.114,600.535,1.003,"Sigma2_ex"
-545.788,-626.985,-546.282,-460.292,282.859,1.001,"lp__"
0.96,0.878,0.961,1.04,310.513,1.001,"B_0"
-0.019,-0.12,-0.018,0.081,60.093,1.013,"B_x"
0.395,0.254,0.384,0.637,454.755,1.005,"psi"
0.188,0.112,0.181,0.286,86.639,1.023,"Sigma2_intercept"
0.133,0.071,0.132,0.204,238.29,1.022,"Sigma2_psi"
0.889,0.767,0.889,1.026,73.661,1.018,"Sigma2_x"
0.179,0.07,0.152,0.494,448.655,1.001,"Sigma2_phi"
0.033,0,0.024,0.127,425.069,1,"Sigma2_epsilon"
