"mean","2.5%","50%","97.5%","n_eff","Rhat","Parameter"
1.037,0.965,1.037,1.114,3873.806,1,"B_0"
0.295,0.228,0.295,0.363,3302.925,1,"psi"
0.073,0.001,0.069,0.18,339.034,1.001,"Sigma2_intercept"
0.052,0,0.043,0.155,299.032,1.001,"Sigma2_epsilon"
0.15,0.075,0.143,0.257,374.638,1.001,"Sigma2_phi"
1.105,1.105,1.105,1.105,0.5,1,"Sigma2_x"
0.01,-0.026,0.008,0.052,621.127,1,"cov_int_phi"
0,-0.039,0,0.038,673.787,1,"cov_2"
0.882,0.736,0.881,1.024,462.764,1.001,"Sigma2_e"
-750.748,-810.845,-752.596,-680.94,360.889,1.002,"lp__"
0.971,0.896,0.971,1.049,3173.795,1,"B_0"
0.281,0.216,0.281,0.346,4193.662,1,"psi"
0.2,0.113,0.199,0.291,742.167,1,"Sigma2_intercept"
0.036,0,0.029,0.109,386.121,1,"Sigma2_epsilon"
0.116,0.061,0.112,0.196,505.871,1,"Sigma2_phi"
0.952,0.952,0.952,0.952,0.5,1,"Sigma2_x"
0.043,0.003,0.041,0.093,788.064,1,"cov_int_phi"
0.021,-0.017,0.018,0.069,820.828,1,"cov_2"
0.631,0.525,0.629,0.741,487.756,1,"Sigma2_e"
-616.547,-684.351,-618.259,-543.327,331.94,1.001,"lp__"
0.976,0.902,0.976,1.053,3740.633,1,"B_0"
0.27,0.201,0.269,0.337,3972.097,1,"psi"
0.219,0.131,0.218,0.31,915.956,1,"Sigma2_intercept"
0.02,0,0.012,0.078,490.386,1.008,"Sigma2_epsilon"
0.1,0.053,0.096,0.167,746.312,1.005,"Sigma2_phi"
1.022,1.022,1.022,1.022,0.5,1,"Sigma2_x"
0.05,0.014,0.048,0.098,1006.056,1.002,"cov_int_phi"
0.015,-0.019,0.011,0.063,995.151,1.001,"cov_2"
0.668,0.573,0.667,0.772,800.348,1.003,"Sigma2_e"
-641.696,-702.024,-641.348,-581.592,501.574,1.004,"lp__"
0.981,0.903,0.982,1.059,5690.807,1,"B_0"
0.302,0.235,0.303,0.365,4991.079,1,"psi"
0.215,0.114,0.214,0.322,833.776,1.006,"Sigma2_intercept"
0.012,0,0.007,0.056,690.529,1.004,"Sigma2_epsilon"
0.132,0.081,0.129,0.193,1725.829,1.001,"Sigma2_phi"
1.26,1.26,1.26,1.26,0.5,1,"Sigma2_x"
0.05,0.014,0.047,0.098,1203.714,1.001,"cov_int_phi"
0.01,-0.02,0.006,0.056,1322.749,1,"cov_2"
0.788,0.673,0.788,0.911,1059.01,1.004,"Sigma2_e"
-708.883,-768.961,-709.676,-643.327,557.281,1.011,"lp__"
