"mean","2.5%","50%","97.5%","n_eff","Rhat","Parameter"
0.024,0.002,0.025,0.045,2486.216,1,"cov_int_phi"
-0.014,-0.036,-0.014,0.006,2145.648,1,"cov_2"
0.71,0.666,0.709,0.753,1443.591,1.001,"Sigma2_e"
-1852.85,-1934.133,-1853.49,-1768.193,589.869,1,"lp__"
1.009,0.963,1.009,1.055,1390.617,1,"B_0"
0.267,0.23,0.268,0.3,670.677,1.006,"psi"
0.275,0.232,0.274,0.324,795.356,1,"Sigma2_intercept"
0.01,0,0.007,0.034,177.515,1.011,"Sigma2_epsilon"
0.082,0.06,0.081,0.11,281.47,1.001,"Sigma2_phi"
0.999,0.999,0.999,0.999,0.5,1,"Sigma2_x"
0.052,0.03,0.052,0.074,1607.495,1,"cov_int_phi"
0,-0.022,0,0.024,743.092,1.001,"cov_2"
0.712,0.665,0.711,0.759,489.1,1.002,"Sigma2_e"
-1861.515,-1941.363,-1863.246,-1777.931,341.34,1.002,"lp__"
1.002,0.959,1.003,1.043,3174.358,1.001,"B_0"
0.302,0.269,0.302,0.334,3718.668,1,"psi"
0.192,0.155,0.192,0.233,1269.705,1,"Sigma2_intercept"
0.004,0,0.002,0.02,555.115,1,"Sigma2_epsilon"
0.096,0.076,0.096,0.12,1603.603,1,"Sigma2_phi"
1.001,1.001,1.001,1.001,0.5,1,"Sigma2_x"
0.041,0.025,0.041,0.06,1971.256,1,"cov_int_phi"
0.001,-0.014,0.001,0.019,1847.696,1,"cov_2"
0.736,0.694,0.735,0.78,2177.837,1,"Sigma2_e"
-1912.299,-1987.484,-1912.681,-1837.051,721.958,1.001,"lp__"
1.004,0.962,1.004,1.048,2019.713,1,"B_0"
0.276,0.243,0.276,0.311,4550.028,1.001,"psi"
0.204,0.167,0.204,0.245,1571.423,1,"Sigma2_intercept"
0.011,0,0.008,0.037,220.739,1.009,"Sigma2_epsilon"
0.082,0.059,0.08,0.113,336.878,1.008,"Sigma2_phi"
0.933,0.933,0.933,0.933,0.5,1,"Sigma2_x"
0.031,0.011,0.031,0.05,2022.144,1,"cov_int_phi"
-0.004,-0.023,-0.003,0.015,1788.516,1,"cov_2"
0.708,0.664,0.708,0.753,830.583,1.004,"Sigma2_e"
-1850.384,-1932.26,-1852.575,-1760.274,411.814,1.006,"lp__"
0.979,0.931,0.979,1.026,4530.837,1.001,"B_0"
