"mean","2.5%","50%","97.5%","n_eff","Rhat","Parameter"
1.002,0.947,1.002,1.056,3114.567,1,"B_0"
0.282,0.233,0.282,0.33,3763.475,1,"psi"
0.227,0.186,0.227,0.273,1507.191,1,"Sigma2_intercept"
0.006,0,0.005,0.019,923.555,1.001,"Sigma2_epsilon"
0.092,0.065,0.091,0.121,3425.068,1,"Sigma2_phi"
1.027,1.027,1.027,1.027,0.5,1,"Sigma2_x"
0.062,0.044,0.063,0.079,4072.713,1,"cov_int_phi"
-0.001,-0.017,-0.001,0.016,3640.244,1,"cov_2"
0.616,0.583,0.616,0.653,2495.312,1,"Sigma2_e"
-1430.432,-1500.878,-1429.218,-1365.373,738.46,1,"lp__"
0.97,0.917,0.97,1.022,3144.111,1,"B_0"
0.262,0.217,0.262,0.306,4041.861,1,"psi"
0.203,0.166,0.202,0.244,1711.285,1.001,"Sigma2_intercept"
0.018,0.003,0.018,0.035,777.173,1.002,"Sigma2_epsilon"
0.079,0.056,0.079,0.103,1809.886,1.001,"Sigma2_phi"
0.863,0.863,0.863,0.863,0.5,1,"Sigma2_x"
0.043,0.025,0.042,0.061,4169.218,1,"cov_int_phi"
-0.006,-0.024,-0.005,0.012,3517.341,1,"cov_2"
0.595,0.559,0.595,0.631,1982.192,1,"Sigma2_e"
-1373.711,-1448.407,-1373.874,-1299.024,578.403,1.003,"lp__"
1.001,0.942,1.001,1.06,1817.165,1,"B_0"
0.252,0.208,0.252,0.295,2572.633,1,"psi"
0.232,0.192,0.23,0.278,1528.986,1,"Sigma2_intercept"
0.021,0.008,0.02,0.037,1298.342,1,"Sigma2_epsilon"
0.1,0.076,0.1,0.126,2297.146,1,"Sigma2_phi"
1.017,1.017,1.017,1.017,0.5,1,"Sigma2_x"
0.067,0.048,0.067,0.086,4089.527,1,"cov_int_phi"
0.011,-0.008,0.011,0.031,3104.802,1,"cov_2"
0.617,0.583,0.617,0.654,2372.809,1.001,"Sigma2_e"
-1436.717,-1508.349,-1436.561,-1364.195,749.469,1,"lp__"
1.032,0.977,1.032,1.086,728.343,1,"B_0"
0.228,0.181,0.228,0.271,1510.189,1,"psi"
0.187,0.15,0.187,0.226,1264.624,1,"Sigma2_intercept"
0.017,0.006,0.016,0.031,990.639,1.002,"Sigma2_epsilon"
0.074,0.053,0.073,0.097,1281.046,1.001,"Sigma2_phi"
0.885,0.885,0.885,0.885,0.5,1,"Sigma2_x"
0.047,0.031,0.047,0.065,2109.37,1,"cov_int_phi"
0.012,-0.004,0.012,0.03,1865.536,1,"cov_2"
0.621,0.586,0.621,0.658,2219.314,1,"Sigma2_e"
-1442.733,-1510.415,-1442.793,-1375.036,847.647,1,"lp__"
1.039,0.979,1.039,1.099,807.132,1.003,"B_0"
0.239,0.192,0.239,0.286,1320.383,1.001,"psi"
0.206,0.168,0.205,0.249,1112.282,1.001,"Sigma2_intercept"
0.019,0.005,0.018,0.036,604.999,1,"Sigma2_epsilon"
0.089,0.064,0.089,0.117,1006.088,1.001,"Sigma2_phi"
0.986,0.986,0.986,0.986,0.5,1,"Sigma2_x"
0.062,0.044,0.062,0.08,2016.085,1,"cov_int_phi"
0.019,0.001,0.019,0.039,1670.19,1,"cov_2"
0.615,0.58,0.614,0.653,1335.785,1,"Sigma2_e"
-1426.672,-1500.334,-1426.477,-1349.716,535.846,1.001,"lp__"
1.003,0.948,1.003,1.057,1664.857,1.001,"B_0"
0.237,0.191,0.237,0.283,2311.191,1,"psi"
0.218,0.179,0.216,0.263,1303.326,1.001,"Sigma2_intercept"
0.009,0,0.008,0.022,765.908,1.002,"Sigma2_epsilon"
0.066,0.046,0.065,0.088,1832.681,1.001,"Sigma2_phi"
0.866,0.866,0.866,0.866,0.5,1,"Sigma2_x"
0.06,0.045,0.06,0.077,2865.902,1,"cov_int_phi"
0.012,-0.004,0.011,0.03,2191.98,1,"cov_2"
0.613,0.577,0.613,0.651,2533.623,1.002,"Sigma2_e"
-1424.144,-1492.382,-1423.246,-1357.785,776.633,1.005,"lp__"
0.969,0.914,0.968,1.026,2977.715,1.001,"B_0"
0.245,0.202,0.245,0.288,3710.908,1,"psi"
0.202,0.164,0.202,0.244,1805.131,1.001,"Sigma2_intercept"
0.01,0.001,0.009,0.024,1250.033,1.001,"Sigma2_epsilon"
0.079,0.058,0.078,0.103,2918.053,1.002,"Sigma2_phi"
0.977,0.977,0.977,0.977,0.5,1,"Sigma2_x"
0.059,0.043,0.059,0.076,4043.606,1.001,"cov_int_phi"
0.011,-0.005,0.011,0.03,3086.728,1.001,"cov_2"
0.614,0.58,0.613,0.649,3033.52,1,"Sigma2_e"
-1424.87,-1492.974,-1424.693,-1355.273,837.759,1.001,"lp__"
1.02,0.968,1.02,1.073,774.801,1.001,"B_0"
0.248,0.202,0.248,0.292,1400.522,1.001,"psi"
0.192,0.156,0.19,0.236,1014.678,1,"Sigma2_intercept"
0.011,0.001,0.01,0.025,527.872,1,"Sigma2_epsilon"
0.081,0.058,0.081,0.107,1316.982,1,"Sigma2_phi"
0.987,0.987,0.987,0.987,0.5,1,"Sigma2_x"
0.058,0.041,0.058,0.075,1863.818,1,"cov_int_phi"
0.008,-0.008,0.008,0.025,1151.437,1,"cov_2"
0.627,0.59,0.626,0.665,1648.05,1,"Sigma2_e"
-1457.48,-1528.52,-1457.788,-1385.485,711.996,1,"lp__"
1.048,0.989,1.048,1.106,2377.999,1,"B_0"
0.235,0.191,0.235,0.278,3351.779,1,"psi"
0.22,0.181,0.219,0.265,1973.743,1,"Sigma2_intercept"
0.012,0.003,0.012,0.025,1792.229,1,"Sigma2_epsilon"
0.086,0.063,0.085,0.111,3078.041,1,"Sigma2_phi"
1.037,1.037,1.037,1.037,0.5,1,"Sigma2_x"
0.081,0.063,0.081,0.1,3960.683,1,"cov_int_phi"
0.024,0.006,0.024,0.044,2976.336,1,"cov_2"
0.609,0.577,0.609,0.645,3239.731,1,"Sigma2_e"
-1413.738,-1480.39,-1413.203,-1349.417,959.326,1,"lp__"
0.988,0.935,0.987,1.041,1244.423,1,"B_0"
0.259,0.211,0.259,0.305,2015.257,1,"psi"
0.207,0.171,0.206,0.25,1313.659,1,"Sigma2_intercept"
0.016,0.004,0.015,0.031,904.75,1.001,"Sigma2_epsilon"
0.09,0.065,0.09,0.116,1700.772,1.001,"Sigma2_phi"
0.988,0.988,0.988,0.988,0.5,1,"Sigma2_x"
0.057,0.039,0.057,0.075,2359.47,1,"cov_int_phi"
0,-0.018,0,0.018,2077.313,1,"cov_2"
0.609,0.574,0.608,0.646,2157.741,1,"Sigma2_e"
-1410.807,-1479.647,-1411.083,-1339.535,789.29,1.002,"lp__"
1.033,0.974,1.033,1.092,839.732,1.002,"B_0"
0.204,0.16,0.204,0.249,1344.015,1.001,"psi"
0.221,0.181,0.22,0.267,1313.247,1,"Sigma2_intercept"
0.032,0.016,0.032,0.051,776.486,1,"Sigma2_epsilon"
0.094,0.069,0.093,0.12,1051.455,1,"Sigma2_phi"
1.145,1.145,1.145,1.145,0.5,1,"Sigma2_x"
0.063,0.043,0.063,0.082,1937.833,1,"cov_int_phi"
0.013,-0.007,0.013,0.034,1430.656,1,"cov_2"
0.588,0.556,0.588,0.624,1439.017,1,"Sigma2_e"
-1355.27,-1427.914,-1354.729,-1284.324,680.259,1,"lp__"
0.958,0.903,0.958,1.012,3131.713,1,"B_0"
0.247,0.201,0.247,0.293,3554.172,1,"psi"
0.196,0.159,0.194,0.239,2110.018,1,"Sigma2_intercept"
0.009,0,0.008,0.022,1014.194,1.003,"Sigma2_epsilon"
0.079,0.055,0.078,0.106,2333.682,1.002,"Sigma2_phi"
1.031,1.031,1.031,1.031,0.5,1,"Sigma2_x"
0.049,0.033,0.049,0.066,4380.412,1,"cov_int_phi"
0.002,-0.014,0.002,0.019,3985.503,1,"cov_2"
0.624,0.589,0.624,0.662,2971.463,1,"Sigma2_e"
-1451.904,-1518.872,-1451.766,-1383.924,880.089,1.001,"lp__"
1.006,0.955,1.007,1.057,2660.71,1,"B_0"
0.269,0.22,0.269,0.316,3269.19,1,"psi"
0.18,0.145,0.179,0.22,1383.035,1,"Sigma2_intercept"
0.008,0,0.007,0.02,1385.369,1.001,"Sigma2_epsilon"
0.087,0.063,0.087,0.116,3172.321,1,"Sigma2_phi"
0.954,0.954,0.954,0.954,0.5,1,"Sigma2_x"
0.059,0.042,0.059,0.077,4327.632,1,"cov_int_phi"
0.009,-0.006,0.009,0.026,3237.19,1,"cov_2"
0.603,0.57,0.603,0.639,3361.049,1,"Sigma2_e"
-1396.443,-1465.652,-1396.885,-1327.598,731.465,1,"lp__"
1.006,0.947,1.006,1.066,2727.836,1,"B_0"
0.223,0.174,0.223,0.269,3732.747,1,"psi"
0.235,0.194,0.233,0.282,1444.679,1.001,"Sigma2_intercept"
0.013,0.004,0.013,0.026,1354.152,1,"Sigma2_epsilon"
0.081,0.058,0.081,0.106,2761.068,1.001,"Sigma2_phi"
1.036,1.036,1.036,1.036,0.5,1,"Sigma2_x"
0.073,0.054,0.073,0.092,3790.286,1,"cov_int_phi"
0.022,0.003,0.021,0.042,3276.791,1,"cov_2"
0.599,0.565,0.599,0.635,3056.296,1,"Sigma2_e"
-1387.25,-1458.42,-1387.772,-1316.391,697.803,1,"lp__"
0.972,0.919,0.973,1.024,2902.935,1,"B_0"
0.269,0.228,0.268,0.31,4318.261,1,"psi"
0.191,0.156,0.19,0.232,1654.888,1.001,"Sigma2_intercept"
0.012,0.002,0.011,0.026,1021.785,1,"Sigma2_epsilon"
0.089,0.067,0.089,0.114,2521.311,1,"Sigma2_phi"
0.941,0.941,0.941,0.941,0.5,1,"Sigma2_x"
0.052,0.035,0.052,0.07,3972.543,1.001,"cov_int_phi"
0.008,-0.009,0.008,0.025,3066.791,1,"cov_2"
0.624,0.589,0.623,0.66,2988.574,1.001,"Sigma2_e"
-1451.266,-1519.635,-1451.66,-1381.875,750.027,1,"lp__"
0.983,0.928,0.983,1.035,3309.902,1,"B_0"
0.25,0.206,0.251,0.293,4139.59,1,"psi"
0.18,0.147,0.179,0.218,1964.445,1,"Sigma2_intercept"
0.015,0.004,0.015,0.03,1405.391,1,"Sigma2_epsilon"
0.086,0.064,0.086,0.111,3226.056,1,"Sigma2_phi"
0.917,0.917,0.917,0.917,0.5,1,"Sigma2_x"
0.056,0.039,0.056,0.073,4187.498,1.001,"cov_int_phi"
0.013,-0.003,0.013,0.031,3388.369,1,"cov_2"
0.6,0.566,0.599,0.636,2601.871,1,"Sigma2_e"
-1388.006,-1458.3,-1387.782,-1319.444,769.687,1,"lp__"
0.998,0.937,0.997,1.06,1855.081,1,"B_0"
0.255,0.206,0.255,0.301,2624.972,1,"psi"
0.219,0.18,0.218,0.264,1619.046,1,"Sigma2_intercept"
0.021,0.008,0.021,0.038,1165.457,1,"Sigma2_epsilon"
0.109,0.081,0.108,0.138,2102.713,1,"Sigma2_phi"
0.963,0.963,0.963,0.963,0.5,1,"Sigma2_x"
0.093,0.074,0.093,0.112,3133.637,1,"cov_int_phi"
0.037,0.019,0.037,0.058,2815.758,1.001,"cov_2"
0.608,0.572,0.608,0.645,2118.161,1,"Sigma2_e"
-1409.083,-1484.575,-1408.894,-1335.592,759.311,1.001,"lp__"
1.018,0.97,1.019,1.065,1168.007,1,"B_0"
0.253,0.209,0.253,0.297,1191.932,1,"psi"
0.152,0.121,0.151,0.187,1255.414,1.001,"Sigma2_intercept"
0.019,0.005,0.018,0.035,588.946,1,"Sigma2_epsilon"
0.08,0.057,0.079,0.105,989.004,1,"Sigma2_phi"
0.919,0.919,0.919,0.919,0.5,1,"Sigma2_x"
0.03,0.015,0.03,0.046,2230.645,1,"cov_int_phi"
-0.006,-0.022,-0.006,0.01,1671.507,1.001,"cov_2"
0.572,0.538,0.571,0.607,1522.385,1,"Sigma2_e"
-1311.181,-1386.739,-1310.561,-1235.64,626.649,1,"lp__"
0.991,0.939,0.991,1.042,1270.233,1,"B_0"
0.282,0.24,0.282,0.326,2017.767,1,"psi"
0.176,0.144,0.175,0.216,1277.687,1,"Sigma2_intercept"
0.008,0,0.008,0.022,528.34,1,"Sigma2_epsilon"
0.089,0.066,0.088,0.114,1239.671,1,"Sigma2_phi"
0.928,0.928,0.928,0.928,0.5,1,"Sigma2_x"
0.045,0.03,0.045,0.061,3097.845,1,"cov_int_phi"
0.002,-0.012,0.002,0.017,2700.223,1,"cov_2"
0.611,0.577,0.611,0.648,1967.084,1.001,"Sigma2_e"
-1417.81,-1487.418,-1417.109,-1348.864,606.335,1.003,"lp__"
1.015,0.959,1.015,1.071,3168.496,1,"B_0"
0.242,0.192,0.243,0.288,3592.15,1,"psi"
0.183,0.149,0.183,0.224,1539.612,1.002,"Sigma2_intercept"
0.026,0.012,0.026,0.043,1330.971,1,"Sigma2_epsilon"
0.097,0.072,0.096,0.123,2782.7,1,"Sigma2_phi"
0.923,0.923,0.923,0.923,0.5,1,"Sigma2_x"
0.054,0.037,0.054,0.072,4374.892,1,"cov_int_phi"
0.011,-0.007,0.011,0.03,3709.904,1,"cov_2"
0.596,0.56,0.595,0.631,2894.913,1,"Sigma2_e"
-1377.035,-1447.365,-1377.476,-1301.176,718.371,1,"lp__"
0.975,0.915,0.975,1.035,971.904,1,"B_0"
0.248,0.203,0.248,0.296,1712.629,1,"psi"
0.235,0.194,0.234,0.283,1405.692,1,"Sigma2_intercept"
0.025,0.011,0.024,0.042,885.295,1.003,"Sigma2_epsilon"
0.114,0.086,0.113,0.143,1365.898,1.001,"Sigma2_phi"
1.037,1.037,1.037,1.037,0.5,1,"Sigma2_x"
0.089,0.07,0.089,0.109,2068.195,1,"cov_int_phi"
0.028,0.007,0.028,0.049,1704.522,1,"cov_2"
0.616,0.581,0.615,0.653,1907.185,1,"Sigma2_e"
-1431.492,-1504.111,-1430.723,-1362.553,581.193,1.002,"lp__"
0.997,0.936,0.997,1.055,2187.624,1,"B_0"
0.235,0.187,0.235,0.282,3433.156,1,"psi"
0.226,0.185,0.225,0.271,1813.348,1,"Sigma2_intercept"
0.035,0.019,0.035,0.055,1374.279,1,"Sigma2_epsilon"
0.114,0.087,0.113,0.143,2535.576,1,"Sigma2_phi"
1.018,1.018,1.018,1.018,0.5,1,"Sigma2_x"
0.078,0.06,0.078,0.098,4121.903,1,"cov_int_phi"
0.021,0,0.021,0.043,3501.814,1,"cov_2"
0.604,0.568,0.604,0.642,2629.676,1,"Sigma2_e"
-1398.513,-1469.795,-1398.211,-1328.334,678.084,1,"lp__"
0.965,0.91,0.965,1.022,3279.208,1,"B_0"
0.203,0.161,0.204,0.244,4122.292,1,"psi"
0.167,0.134,0.166,0.203,2087.129,1,"Sigma2_intercept"
0.017,0.006,0.017,0.031,1777.404,1,"Sigma2_epsilon"
0.08,0.057,0.08,0.103,3184.261,1,"Sigma2_phi"
1.071,1.071,1.071,1.071,0.5,1,"Sigma2_x"
