"mean","2.5%","50%","97.5%","n_eff","Rhat","Parameter"
0.987,0.886,0.988,1.084,761.893,1.003,"B_0"
0.213,0.167,0.211,0.267,1213.103,1.002,"Sigma2_intercept"
0.114,0.084,0.113,0.149,1422.13,1.002,"Sigma2_phi"
0.521,0.372,0.525,0.655,1199.731,1,"cor_2"
0.081,0.053,0.08,0.114,1080.269,1.002,"cov_int_phi"
0.081,0.053,0.08,0.114,1080.269,1.002,"cov_2"
0.711,0.676,0.711,0.749,3753.128,1,"Sigma2_e"
-1255.903,-1296.587,-1255.845,-1215.913,808.102,1.001,"lp__"
1.086,0.995,1.087,1.18,862.931,1.001,"B_0"
0.174,0.136,0.172,0.219,1245.977,1.002,"Sigma2_intercept"
0.079,0.057,0.078,0.106,1784.292,1.003,"Sigma2_phi"
0.533,0.364,0.536,0.681,1472.034,1,"cor_2"
0.062,0.04,0.062,0.087,1469.494,1.001,"cov_int_phi"
0.062,0.04,0.062,0.087,1469.494,1.001,"cov_2"
0.678,0.643,0.678,0.714,3736,1,"Sigma2_e"
-1180.461,-1220.436,-1180.423,-1140.123,806.623,1.009,"lp__"
0.895,0.796,0.894,0.996,851.807,1,"B_0"
0.202,0.158,0.2,0.254,1289.823,1.001,"Sigma2_intercept"
0.118,0.09,0.117,0.153,1613.528,1.001,"Sigma2_phi"
0.566,0.423,0.57,0.692,1176.729,1.001,"cor_2"
0.087,0.059,0.086,0.12,1090.551,1.002,"cov_int_phi"
0.087,0.059,0.086,0.12,1090.551,1.002,"cov_2"
0.671,0.637,0.671,0.706,4787.313,1,"Sigma2_e"
-1163.226,-1203.357,-1163.309,-1124.634,848.611,1,"lp__"
0.922,0.817,0.922,1.026,705.898,1,"B_0"
0.225,0.177,0.223,0.284,1078.455,1,"Sigma2_intercept"
0.121,0.09,0.12,0.158,1495.945,1.001,"Sigma2_phi"
0.559,0.415,0.562,0.689,1200.431,1,"cor_2"
0.092,0.062,0.091,0.126,1160.744,1,"cov_int_phi"
0.092,0.062,0.091,0.126,1160.744,1,"cov_2"
0.704,0.667,0.704,0.743,3918.406,1,"Sigma2_e"
-1240.279,-1283.601,-1239.473,-1200.982,812.916,1.001,"lp__"
0.997,0.899,0.997,1.094,576.001,1,"B_0"
0.192,0.149,0.191,0.244,960.44,1,"Sigma2_intercept"
0.111,0.082,0.11,0.146,1395.076,1,"Sigma2_phi"
0.539,0.384,0.542,0.674,1019.348,1,"cor_2"
0.079,0.051,0.078,0.111,913.382,1,"cov_int_phi"
0.079,0.051,0.078,0.111,913.382,1,"cov_2"
0.697,0.661,0.697,0.734,4371.008,1,"Sigma2_e"
-1224.435,-1267.257,-1224.419,-1182.731,828.103,1,"lp__"
0.944,0.855,0.943,1.036,660.18,1,"B_0"
0.186,0.145,0.185,0.235,1179.872,1.001,"Sigma2_intercept"
0.081,0.059,0.08,0.107,1775.909,1,"Sigma2_phi"
