"mean","2.5%","50%","97.5%","n_eff","Rhat","Parameter"
1.026,0.938,1.026,1.115,5869.808,1,"B_0"
0.059,0.002,0.054,0.15,633.075,1,"Sigma2_intercept"
0.176,0.07,0.175,0.289,871.299,1,"Sigma2_phi"
0.496,-0.048,0.52,0.901,479.519,1,"cor_2"
0.047,-0.002,0.047,0.108,527.789,1,"cov_int_phi"
0.047,-0.002,0.047,0.108,527.789,1,"cov_2"
0.871,0.738,0.869,1.018,896.662,1,"Sigma2_e"
-746.787,-812.473,-745.977,-681.49,491.03,1,"lp__"
0.962,0.874,0.962,1.05,1936.692,1,"B_0"
0.228,0.133,0.226,0.325,624.608,1,"Sigma2_intercept"
0.119,0.034,0.118,0.21,402.01,1.003,"Sigma2_phi"
0.524,0.212,0.522,0.837,529.657,1,"cor_2"
0.083,0.031,0.082,0.137,988.089,1.002,"cov_int_phi"
0.083,0.031,0.082,0.137,988.089,1.002,"cov_2"
0.61,0.498,0.606,0.736,393.456,1.004,"Sigma2_e"
-602.354,-680.902,-602.45,-524.201,299.937,1.003,"lp__"
0.972,0.88,0.972,1.062,1880.846,1,"B_0"
0.228,0.139,0.227,0.326,844.309,1,"Sigma2_intercept"
0.108,0.038,0.105,0.192,651.92,1.008,"Sigma2_phi"
0.66,0.362,0.668,0.915,691.657,1.01,"cor_2"
0.1,0.048,0.099,0.155,1162.537,1,"cov_int_phi"
0.1,0.048,0.099,0.155,1162.537,1,"cov_2"
0.652,0.54,0.651,0.769,671.891,1.004,"Sigma2_e"
-630.288,-696.835,-630.448,-554.919,444.717,1.004,"lp__"
0.961,0.864,0.963,1.056,2411.039,1.001,"B_0"
0.217,0.117,0.215,0.324,749.268,1,"Sigma2_intercept"
0.108,0.039,0.105,0.193,786.76,1.001,"Sigma2_phi"
0.76,0.455,0.778,0.958,735.43,1,"cor_2"
0.113,0.055,0.112,0.175,819.54,1.001,"cov_int_phi"
0.113,0.055,0.112,0.175,819.54,1.001,"cov_2"
0.809,0.688,0.806,0.939,758.672,1.002,"Sigma2_e"
-718.254,-782.142,-718.739,-656.708,483.021,1.001,"lp__"
1.071,0.982,1.071,1.161,2226.788,1,"B_0"
0.221,0.134,0.22,0.319,675.914,1.001,"Sigma2_intercept"
0.103,0.033,0.1,0.188,580.953,1,"Sigma2_phi"
0.63,0.306,0.635,0.903,624.975,1.006,"cor_2"
0.091,0.038,0.09,0.146,957.074,1.001,"cov_int_phi"
0.091,0.038,0.09,0.146,957.074,1.001,"cov_2"
0.645,0.542,0.643,0.76,591.044,1,"Sigma2_e"
-625.966,-692.053,-626.263,-557.395,418.886,1.001,"lp__"
1.019,0.935,1.019,1.1,6967.924,1,"B_0"
0.191,0.09,0.19,0.297,821.194,1.001,"Sigma2_intercept"
0.078,0.005,0.073,0.176,502.301,1,"Sigma2_phi"
0.444,-0.011,0.452,0.864,1405.247,1,"cor_2"
0.05,0,0.049,0.106,1407.483,1,"cov_int_phi"
0.05,0,0.049,0.106,1407.483,1,"cov_2"
0.741,0.616,0.741,0.874,615.98,1,"Sigma2_e"
-681.764,-751.94,-683.378,-607.177,403.603,1,"lp__"
0.942,0.859,0.942,1.027,5237.876,1,"B_0"
0.217,0.113,0.216,0.326,794.667,1.003,"Sigma2_intercept"
0.08,0.002,0.076,0.186,384.798,1.003,"Sigma2_phi"
0.287,-0.198,0.287,0.774,1347.768,1,"cor_2"
0.034,-0.017,0.033,0.089,1273.511,1,"cov_int_phi"
0.034,-0.017,0.033,0.089,1273.511,1,"cov_2"
0.759,0.623,0.758,0.909,521.101,1.004,"Sigma2_e"
-691.387,-767.54,-691.738,-613.434,339.549,1.009,"lp__"
0.986,0.899,0.986,1.074,2836.017,1,"B_0"
0.177,0.087,0.175,0.279,766.837,1,"Sigma2_intercept"
0.071,0.013,0.068,0.148,537.504,1,"Sigma2_phi"
0.686,0.299,0.705,0.948,1008.395,1.001,"cor_2"
0.074,0.019,0.074,0.128,718.26,1,"cov_int_phi"
0.074,0.019,0.074,0.128,718.26,1,"cov_2"
0.748,0.633,0.746,0.871,695.848,1,"Sigma2_e"
-686.022,-750.046,-685.883,-624.032,453.613,1,"lp__"
1.004,0.908,1.003,1.098,5250.103,1,"B_0"
0.237,0.131,0.236,0.349,786.441,1,"Sigma2_intercept"
0.151,0.061,0.15,0.253,791.137,1.001,"Sigma2_phi"
0.577,0.284,0.576,0.862,1013.908,1.001,"cor_2"
0.105,0.05,0.104,0.166,1225.986,1,"cov_int_phi"
0.105,0.05,0.104,0.166,1225.986,1,"cov_2"
0.721,0.592,0.718,0.864,708.347,1.001,"Sigma2_e"
-670.512,-744.319,-671.127,-590.429,396.476,1.002,"lp__"
1.038,0.962,1.039,1.115,2353.941,1,"B_0"
0.107,0.021,0.105,0.205,516.983,1,"Sigma2_intercept"
0.078,0.007,0.074,0.168,364.385,1.001,"Sigma2_phi"
0.438,-0.092,0.455,0.874,520.049,1,"cor_2"
0.037,-0.004,0.036,0.085,558.658,1,"cov_int_phi"
0.037,-0.004,0.036,0.085,558.658,1,"cov_2"
0.793,0.667,0.792,0.932,481.78,1.001,"Sigma2_e"
-709.876,-774.044,-710.675,-642.57,419.267,1.001,"lp__"
1.01,0.93,1.008,1.091,2509.541,1.001,"B_0"
0.116,0.019,0.115,0.215,494.465,1.007,"Sigma2_intercept"
0.086,0.005,0.083,0.179,382.456,1,"Sigma2_phi"
0.451,-0.031,0.465,0.864,426.989,1,"cor_2"
0.041,-0.001,0.041,0.087,500.689,1.004,"cov_int_phi"
0.041,-0.001,0.041,0.087,500.689,1.004,"cov_2"
0.773,0.653,0.771,0.899,537.755,1.006,"Sigma2_e"
-698.325,-765.303,-698.531,-629.193,435.869,1.003,"lp__"
1.007,0.917,1.008,1.096,3182.272,1,"B_0"
0.215,0.108,0.213,0.334,704.406,1.002,"Sigma2_intercept"
0.073,0.001,0.068,0.177,364.918,1.003,"Sigma2_phi"
