"mean","2.5%","50%","97.5%","n_eff","Rhat","Parameter"
1.038,0.946,1.037,1.129,1368.691,1,"B_0"
0.197,0.106,0.197,0.288,1672.575,1,"psi"
0.146,0.09,0.143,0.22,1540.276,1,"Sigma2_intercept"
0.022,0.001,0.02,0.055,828.924,1,"Sigma2_epsilon"
0.05,0.018,0.048,0.088,1265.255,1,"Sigma2_phi"
0.824,0.824,0.824,0.824,0.5,1,"Sigma2_x"
0.015,-0.012,0.016,0.041,2063.359,1,"cov_int_phi"
-0.014,-0.047,-0.013,0.014,1574.761,1.001,"cov_2"
0.58,0.518,0.579,0.65,1815.479,1,"Sigma2_e"
-335.974,-373.499,-335.996,-300.224,714.539,1,"lp__"
1.019,0.913,1.019,1.127,1019.563,1,"B_0"
0.24,0.163,0.239,0.316,1938.147,1,"psi"
0.246,0.164,0.242,0.351,1231.1,1,"Sigma2_intercept"
0.006,0,0.004,0.025,1150.988,1,"Sigma2_epsilon"
0.071,0.034,0.069,0.115,1748.172,1,"Sigma2_phi"
1.107,1.107,1.107,1.107,0.5,1,"Sigma2_x"
0.039,0.006,0.04,0.069,2676.327,1,"cov_int_phi"
-0.007,-0.039,-0.005,0.014,2291.886,1,"cov_2"
0.599,0.533,0.597,0.67,2747.848,1,"Sigma2_e"
-350.64,-387.319,-350.426,-317.274,912.321,1.001,"lp__"
0.918,0.81,0.918,1.031,1088.777,1.001,"B_0"
0.298,0.191,0.297,0.404,1368.25,1,"psi"
0.176,0.11,0.173,0.259,1313.267,1,"Sigma2_intercept"
0.05,0.015,0.047,0.097,1460.888,1,"Sigma2_epsilon"
0.173,0.099,0.17,0.267,1347.841,1,"Sigma2_phi"
1.167,1.167,1.167,1.167,0.5,1,"Sigma2_x"
0.075,0.038,0.075,0.114,1730.231,1,"cov_int_phi"
0.015,-0.021,0.014,0.055,1667.101,1,"cov_2"
0.567,0.503,0.567,0.637,2145.125,1,"Sigma2_e"
-327.323,-363.293,-327.39,-290.496,737.161,1,"lp__"
1.002,0.892,1.001,1.113,1751.887,1,"B_0"
0.322,0.237,0.322,0.408,3000.505,1,"psi"
0.266,0.18,0.261,0.375,2010.661,1,"Sigma2_intercept"
0.007,0,0.004,0.027,1883.777,1,"Sigma2_epsilon"
0.116,0.065,0.115,0.178,2862.515,1,"Sigma2_phi"
1.052,1.052,1.052,1.052,0.5,1,"Sigma2_x"
0.058,0.022,0.058,0.092,3541.942,1,"cov_int_phi"
-0.01,-0.045,-0.007,0.013,3170.617,1.001,"cov_2"
0.636,0.568,0.635,0.711,4357.762,1,"Sigma2_e"
-375.106,-409.431,-374.8,-341.825,701.687,1,"lp__"
1.028,0.928,1.029,1.131,2430.401,1,"B_0"
0.303,0.221,0.303,0.386,3222.008,1.001,"psi"
0.176,0.112,0.172,0.259,1999.255,1,"Sigma2_intercept"
0.012,0,0.008,0.047,858.627,1.001,"Sigma2_epsilon"
0.122,0.069,0.121,0.185,2697.153,1.001,"Sigma2_phi"
1.142,1.142,1.142,1.142,0.5,1,"Sigma2_x"
0.064,0.034,0.063,0.095,3965.65,1,"cov_int_phi"
0.003,-0.025,0.001,0.034,3301.72,1.001,"cov_2"
0.607,0.54,0.606,0.681,2869.261,1,"Sigma2_e"
