"mean","2.5%","50%","97.5%","n_eff","Rhat","Parameter"
1.06,0.946,1.06,1.175,2478.879,1,"B_0"
0.149,0.093,0.145,0.224,1894.883,1,"Sigma2_intercept"
0.055,0.018,0.053,0.104,1202.946,1,"Sigma2_phi"
0.227,-0.158,0.235,0.582,2506.303,1,"cor_2"
0.02,-0.014,0.02,0.055,2645.452,1,"cov_int_phi"
0.02,-0.014,0.02,0.055,2645.452,1,"cov_2"
0.628,0.563,0.626,0.701,3454.089,1,"Sigma2_e"
-314.798,-345.502,-314.695,-285.786,841.543,1.001,"lp__"
1.079,0.955,1.079,1.206,1402.018,1,"B_0"
0.222,0.149,0.219,0.321,1654.754,1,"Sigma2_intercept"
0.074,0.031,0.072,0.129,1533.03,1.001,"Sigma2_phi"
0.165,-0.179,0.169,0.489,2090.567,1.001,"cor_2"
0.021,-0.022,0.021,0.066,2013.336,1.001,"cov_int_phi"
0.021,-0.022,0.021,0.066,2013.336,1.001,"cov_2"
0.673,0.6,0.672,0.754,2762.852,1.001,"Sigma2_e"
-342.735,-371.931,-342.456,-314.553,835.87,1,"lp__"
0.857,0.693,0.859,1.014,1734.794,1.001,"B_0"
0.196,0.122,0.192,0.296,1700.818,1.002,"Sigma2_intercept"
0.187,0.113,0.183,0.286,1668.765,1.001,"Sigma2_phi"
0.472,0.203,0.477,0.711,1140.855,1.002,"cor_2"
0.089,0.036,0.087,0.152,1284.075,1.005,"cov_int_phi"
0.089,0.036,0.087,0.152,1284.075,1.005,"cov_2"
0.775,0.692,0.774,0.867,3641.313,1,"Sigma2_e"
-399.489,-429.868,-399.409,-370.505,759.739,1.002,"lp__"
0.999,0.839,0.999,1.158,1435.852,1.003,"B_0"
0.298,0.202,0.292,0.427,1266.183,1,"Sigma2_intercept"
0.117,0.064,0.115,0.184,1631.401,1,"Sigma2_phi"
0.366,0.061,0.372,0.624,1858.378,1,"cor_2"
0.068,0.011,0.067,0.129,1974.853,1,"cov_int_phi"
0.068,0.011,0.067,0.129,1974.853,1,"cov_2"
0.742,0.663,0.74,0.828,3200.371,1,"Sigma2_e"
-381.688,-411.944,-381.737,-352.564,660.564,1,"lp__"
1.021,0.876,1.021,1.166,2212.192,1,"B_0"
0.165,0.101,0.161,0.252,1838.903,1,"Sigma2_intercept"
0.135,0.078,0.132,0.209,1712.559,1,"Sigma2_phi"
0.519,0.233,0.525,0.762,1604.281,1,"cor_2"
0.077,0.031,0.075,0.132,1658.657,1,"cov_int_phi"
0.077,0.031,0.075,0.132,1658.657,1,"cov_2"
0.678,0.605,0.675,0.762,3871.234,1,"Sigma2_e"
-346.337,-379.617,-346.021,-315.984,822.413,1,"lp__"
1.054,0.922,1.055,1.184,1590.939,1.001,"B_0"
0.195,0.125,0.19,0.286,1699.038,1,"Sigma2_intercept"
0.073,0.029,0.07,0.13,1509.15,1.002,"Sigma2_phi"
0.428,0.078,0.435,0.755,1905.748,1,"cor_2"
0.05,0.008,0.048,0.097,2273.077,1,"cov_int_phi"
0.05,0.008,0.048,0.097,2273.077,1,"cov_2"
0.693,0.619,0.692,0.775,3001.058,1.001,"Sigma2_e"
-355.225,-386.055,-354.883,-325.052,801.733,1.005,"lp__"
