"mean","2.5%","50%","97.5%","n_eff","Rhat","Parameter"
1.003,0.925,1.005,1.079,1511.394,1,"B_0"
-0.007,-0.106,-0.006,0.092,1638.612,1,"B_x"
0.299,0.067,0.295,0.542,29.805,1.023,"psi"
0.237,0.191,0.235,0.292,1900.702,1,"Sigma2_intercept"
0.11,0.082,0.109,0.143,2050.823,1,"Sigma2_psi"
1.012,0.881,1.007,1.166,2162.21,1,"Sigma2_x"
0.134,0.055,0.106,0.376,62.087,1.008,"Sigma2_phi"
0.03,0.005,0.021,0.13,215.472,1,"Sigma2_epsilon"
-0.093,-0.125,-0.092,-0.064,1893.918,1,"cov_int_psi"
0.093,0.064,0.092,0.125,2247.973,1,"cov_int_phi"
-0.078,-0.102,-0.077,-0.056,2172.154,1.001,"cov_psi_phi"
-0.576,-0.703,-0.58,-0.428,1574.783,1,"cor_1"
0.132,-0.473,0.159,0.654,32.419,1.019,"cor_2"
-0.507,-0.93,-0.589,0.231,38.997,1.014,"cor_3"
0.574,0.487,0.574,0.654,2081.369,1,"cor_4"
-0.54,-0.65,-0.542,-0.418,1407.235,1,"cor_5"
-0.001,-0.897,0.021,0.877,22.76,1.031,"cor_6"
-0.093,-0.125,-0.092,-0.064,1893.918,1,"cov_1"
0.009,-0.058,0.009,0.074,33.227,1.021,"cov_2"
-0.024,-0.07,-0.024,0.02,35.115,1.02,"cov_3"
0.281,0.22,0.279,0.351,2284.778,1,"cov_4"
-0.18,-0.233,-0.179,-0.131,2080.642,1.001,"cov_5"
-0.002,-0.243,0.002,0.227,28.446,1.026,"cov_6"
0.582,0.55,0.582,0.614,4024.434,1,"Sigma2_e"
0.105,0.099,0.105,0.11,7780.709,1,"Sigma2_ex"
473.383,397.75,473.287,551.615,918.066,1,"lp__"
1.012,0.94,1.012,1.084,2003.449,1.001,"B_0"
0.023,-0.078,0.022,0.126,1763.298,1.002,"B_x"
0.302,0.192,0.297,0.453,48.822,1.034,"psi"
0.209,0.168,0.208,0.256,2245.405,1.001,"Sigma2_intercept"
0.101,0.076,0.1,0.131,2063.355,1,"Sigma2_psi"
1.062,0.926,1.058,1.22,2252.757,1,"Sigma2_x"
0.115,0.057,0.102,0.256,85.965,1.016,"Sigma2_phi"
0.014,0.001,0.011,0.042,548.527,1,"Sigma2_epsilon"
-0.07,-0.098,-0.069,-0.044,2010.164,1,"cov_int_psi"
0.076,0.049,0.076,0.106,2546.524,1,"cov_int_phi"
-0.071,-0.094,-0.071,-0.051,1987.166,1,"cov_psi_phi"
-0.481,-0.626,-0.484,-0.32,1858.779,1,"cor_1"
-0.134,-0.662,-0.142,0.466,71.653,1.031,"cor_2"
-0.444,-0.919,-0.494,0.286,106.812,1.021,"cor_3"
