"mean","2.5%","50%","97.5%","n_eff","Rhat","Parameter"
1,0.929,1.001,1.074,1111.969,1.006,"B_0"
-0.006,-0.106,-0.004,0.09,937.561,1.004,"B_x"
0.317,0.197,0.313,0.47,34.668,1.001,"psi"
0.223,0.18,0.222,0.271,1634.864,1.001,"Sigma2_intercept"
0.123,0.095,0.122,0.155,2409.723,1,"Sigma2_psi"
1.015,0.881,1.011,1.17,2006.109,1,"Sigma2_x"
0.116,0.056,0.103,0.26,69.973,1.003,"Sigma2_phi"
0.009,0,0.005,0.043,390.5,1.005,"Sigma2_epsilon"
-0.088,-0.118,-0.087,-0.06,1317.731,1,"cov_int_psi"
0.08,0.054,0.08,0.11,1222.865,1.001,"cov_int_phi"
-0.072,-0.095,-0.072,-0.053,1454.346,1,"cov_psi_phi"
-0.53,-0.655,-0.532,-0.389,1278.195,1,"cor_1"
-0.258,-0.839,-0.304,0.497,52.926,1,"cor_2"
-0.141,-0.809,-0.169,0.618,79.145,1,"cor_3"
0.596,0.511,0.597,0.674,1523.486,1.001,"cor_4"
-0.621,-0.713,-0.623,-0.52,1531.029,1.001,"cor_5"
-0.13,-0.94,-0.142,0.822,15.497,1,"cor_6"
-0.088,-0.118,-0.087,-0.06,1317.731,1,"cov_1"
-0.01,-0.058,-0.007,0.022,52.344,1.001,"cov_2"
-0.003,-0.032,-0.002,0.03,62.02,1,"cov_3"
0.283,0.224,0.282,0.353,1473.249,1.001,"cov_4"
-0.219,-0.273,-0.218,-0.171,2205.725,1,"cov_5"
-0.013,-0.167,-0.005,0.103,32.273,1.001,"cov_6"
0.607,0.572,0.607,0.644,3509.059,1,"Sigma2_e"
0.1,0.095,0.1,0.105,6946.854,1,"Sigma2_ex"
473.627,392.716,472.717,552.637,768.804,1,"lp__"
0.957,0.885,0.957,1.025,1876.396,1,"B_0"
-0.054,-0.146,-0.053,0.036,1986.547,1,"B_x"
0.281,0.024,0.284,0.515,29.915,1.009,"psi"
0.209,0.168,0.208,0.257,1865.319,1,"Sigma2_intercept"
0.1,0.075,0.099,0.13,2019.282,1,"Sigma2_psi"
0.853,0.74,0.85,0.977,1743.572,1,"Sigma2_x"
0.108,0.047,0.089,0.314,85.734,1.023,"Sigma2_phi"
0.029,0.005,0.022,0.109,207.521,1.01,"Sigma2_epsilon"
-0.108,-0.137,-0.108,-0.083,2025.349,1,"cov_int_psi"
0.059,0.035,0.059,0.085,2045.172,1,"cov_int_phi"
-0.058,-0.078,-0.057,-0.039,1466.318,1,"cov_psi_phi"
-0.751,-0.866,-0.752,-0.629,1557.541,1,"cor_1"
-0.146,-0.636,-0.161,0.421,32.36,1.007,"cor_2"
-0.195,-0.682,-0.214,0.432,38.345,1.011,"cor_3"
0.572,0.486,0.573,0.654,1814.364,1,"cor_4"
-0.586,-0.689,-0.589,-0.468,924.264,1,"cor_5"
0.044,-0.856,0.051,0.877,23.897,1.013,"cor_6"
-0.108,-0.137,-0.108,-0.083,2025.349,1,"cov_1"
-0.009,-0.066,-0.009,0.05,34.528,1.01,"cov_2"
-0.01,-0.053,-0.009,0.031,35.842,1.007,"cov_3"
0.242,0.189,0.24,0.302,1766.26,1,"cov_4"
-0.171,-0.217,-0.171,-0.129,1613.398,1,"cov_5"
0.008,-0.192,0.005,0.227,29.076,1.01,"cov_6"
0.579,0.547,0.578,0.613,2020.237,1,"Sigma2_e"
0.104,0.099,0.104,0.11,6109.633,1,"Sigma2_ex"
490.065,408.34,489.938,573.493,681.525,1,"lp__"
1.027,0.954,1.033,1.089,268.36,1.011,"B_0"
0.087,-0.016,0.091,0.171,45.873,1.042,"B_x"
0.424,0.283,0.411,0.647,184.286,1.02,"psi"
0.22,0.179,0.22,0.268,662.733,1,"Sigma2_intercept"
0.091,0.065,0.09,0.117,18.902,1.062,"Sigma2_psi"
1.002,0.871,1.001,1.151,697.404,1,"Sigma2_x"
