"mean","2.5%","50%","97.5%","n_eff","Rhat","Parameter"
1.009,0.935,1.008,1.087,1062.975,1.002,"B_0"
-0.012,-0.111,-0.012,0.085,1083.429,1.003,"B_x"
0.312,0.084,0.3,0.634,22.008,1.032,"psi"
0.243,0.199,0.242,0.292,1850.342,1,"Sigma2_intercept"
1.013,0.883,1.009,1.16,1101.933,1,"Sigma2_x"
0.069,0.033,0.057,0.182,137.305,1.005,"Sigma2_epsilon"
0.186,0.081,0.142,0.583,59.1,1.016,"Sigma2_phi"
0.085,0.057,0.084,0.115,1259.996,1.002,"cov_int_phi"
-0.002,-0.091,0.001,0.066,24.863,1.028,"cov_2"
0.28,0.22,0.278,0.347,1025.117,1,"cov_4"
-0.026,-0.348,-0.014,0.201,21.402,1.033,"cov_6"
0.647,0.612,0.646,0.684,3298.428,1,"Sigma2_e"
0.105,0.099,0.105,0.11,4684.519,1,"Sigma2_ex"
506.84,434.078,507.619,576.224,911.229,1,"lp__"
0.998,0.917,0.998,1.072,3254.546,1,"B_0"
0.019,-0.086,0.019,0.121,3307.817,1,"B_x"
0.292,0.092,0.292,0.494,47.578,1.076,"psi"
0.231,0.19,0.231,0.277,2076.501,1,"Sigma2_intercept"
1.06,0.916,1.055,1.219,2509.802,1.001,"Sigma2_x"
0.033,0.002,0.027,0.093,299.753,1.001,"Sigma2_epsilon"
0.133,0.063,0.111,0.327,54.308,1.074,"Sigma2_phi"
0.081,0.055,0.081,0.109,2922.248,1.001,"cov_int_phi"
-0.003,-0.062,-0.003,0.056,55.854,1.07,"cov_2"
0.289,0.229,0.288,0.358,2966.891,1.001,"cov_4"
0.007,-0.203,0.007,0.218,45.304,1.082,"cov_6"
0.701,0.662,0.7,0.741,2182.457,1.001,"Sigma2_e"
0.106,0.1,0.106,0.111,6641.808,1,"Sigma2_ex"
360.635,290.763,361.564,430.941,589.011,1.008,"lp__"
1.049,0.979,1.048,1.119,1237.011,1,"B_0"
0.015,-0.083,0.015,0.116,1063.105,1.001,"B_x"
0.279,0.054,0.277,0.5,24.819,1.007,"psi"
0.191,0.154,0.19,0.235,1811.441,1.001,"Sigma2_intercept"
1.044,0.903,1.042,1.195,1011.03,1.005,"Sigma2_x"
0.039,0.008,0.031,0.108,249.576,1.003,"Sigma2_epsilon"
0.134,0.058,0.108,0.345,74.044,1,"Sigma2_phi"
0.079,0.056,0.079,0.105,1352.938,1.004,"cov_int_phi"
0.004,-0.056,0.004,0.068,27.371,1.005,"cov_2"
0.271,0.215,0.269,0.333,1000.402,1.004,"cov_4"
