"mean","2.5%","50%","97.5%","n_eff","Rhat","Parameter"
0.968,0.714,0.969,1.22,110.932,1.007,"B_0"
-0.062,-0.393,-0.051,0.225,126.383,1.01,"B_x"
0.395,0.198,0.39,0.611,101.254,0.999,"psi"
0.212,0.112,0.201,0.365,235.429,1.013,"Sigma2_intercept"
0.102,0.044,0.097,0.189,224.483,1.005,"Sigma2_psi"
1.293,0.871,1.256,1.919,408.734,1.005,"Sigma2_x"
0.239,0.08,0.205,0.6,133.985,1.001,"Sigma2_phi"
0.023,0,0.014,0.126,182.503,1,"Sigma2_epsilon"
-0.051,-0.131,-0.049,0.011,181.968,1,"cov_int_psi"
0.143,0.064,0.137,0.258,217.909,1.001,"cov_int_phi"
-0.071,-0.144,-0.067,-0.015,473.217,0.999,"cov_psi_phi"
-0.357,-0.75,-0.366,0.083,127.749,1,"cor_1"
0.109,-0.692,0.113,0.835,245.096,1,"cor_2"
-0.361,-0.904,-0.418,0.458,474.083,1.001,"cor_3"
0.664,0.446,0.673,0.851,256.703,1.002,"cor_4"
-0.398,-0.677,-0.409,-0.042,371.054,1.001,"cor_5"
-0.117,-0.915,-0.163,0.794,46.387,1,"cor_6"
-0.051,-0.131,-0.049,0.011,181.968,1,"cov_1"
0.005,-0.071,0.003,0.075,130.428,1,"cov_2"
-0.015,-0.058,-0.011,0.013,371.269,0.999,"cov_3"
0.345,0.189,0.33,0.574,289.741,1.005,"cov_4"
-0.142,-0.292,-0.139,-0.013,472.446,0.999,"cov_5"
-0.02,-0.271,-0.011,0.189,57.641,1,"cov_6"
0.617,0.521,0.616,0.731,563.173,1.003,"Sigma2_e"
0.114,0.1,0.114,0.13,1286.516,0.999,"Sigma2_ex"
21.093,-8.888,21.504,50.295,151.771,1.011,"lp__"
1.086,0.925,1.09,1.233,362.113,1,"B_0"
0.183,-0.078,0.184,0.449,301.328,1.004,"B_x"
0.18,-0.21,0.19,0.569,37.562,1.07,"psi"
0.139,0.058,0.133,0.243,382.517,1,"Sigma2_intercept"
0.116,0.052,0.11,0.21,462.844,1.002,"Sigma2_psi"
1.001,0.669,0.982,1.491,318.317,0.999,"Sigma2_x"
0.137,0.024,0.094,0.504,228.381,1.01,"Sigma2_phi"
0.069,0.006,0.05,0.278,194.134,1.001,"Sigma2_epsilon"
-0.066,-0.139,-0.063,-0.015,285.402,1.005,"cov_int_psi"
0.034,-0.017,0.031,0.095,396.875,0.999,"cov_int_phi"
-0.064,-0.123,-0.061,-0.018,505.66,1.002,"cov_psi_phi"
-0.531,-0.862,-0.546,-0.142,310.573,1.002,"cor_1"
0.076,-0.554,0.088,0.663,100.565,1.016,"cor_2"
-0.466,-0.907,-0.535,0.231,106.694,1.031,"cor_3"
0.398,0.081,0.413,0.66,278.002,1.002,"cor_4"
-0.433,-0.719,-0.436,-0.096,289.839,1.015,"cor_5"
0.054,-0.855,0.067,0.901,28.524,1.1,"cor_6"
-0.066,-0.139,-0.063,-0.015,285.402,1.005,"cov_1"
0.006,-0.072,0.005,0.081,73.001,1.03,"cov_2"
-0.037,-0.124,-0.034,0.028,69.439,1.037,"cov_3"
0.147,0.029,0.142,0.298,342.186,1.001,"cov_4"
