"mean","2.5%","50%","97.5%","n_eff","Rhat","Parameter"
1.052,0.947,1.052,1.147,1392.657,1,"B_0"
0.082,-0.063,0.081,0.221,1430.404,1,"B_x"
0.284,0.075,0.286,0.478,57.512,1.022,"psi"
0.198,0.149,0.196,0.263,1739.307,1,"Sigma2_intercept"
0.114,0.083,0.112,0.153,1959.625,1.002,"Sigma2_psi"
1.052,0.868,1.044,1.272,2192.889,1,"Sigma2_x"
0.116,0.047,0.099,0.292,189.06,1.006,"Sigma2_phi"
0.021,0.004,0.015,0.083,174.805,1.004,"Sigma2_epsilon"
-0.095,-0.134,-0.093,-0.062,1548.713,1,"cov_int_psi"
0.086,0.054,0.085,0.124,1738.069,1,"cov_int_phi"
-0.081,-0.11,-0.08,-0.055,2234.246,1,"cov_psi_phi"
-0.629,-0.773,-0.634,-0.46,1425.163,1,"cor_1"
0.277,-0.359,0.314,0.748,108.687,1.01,"cor_2"
-0.493,-0.936,-0.57,0.276,130.379,1.01,"cor_3"
0.541,0.413,0.543,0.653,1941.895,1,"cor_4"
-0.607,-0.727,-0.609,-0.471,1847.197,1.001,"cor_5"
-0.008,-0.876,-0.003,0.883,56.263,1.024,"cor_6"
-0.095,-0.134,-0.093,-0.062,1548.713,1,"cov_1"
0.015,-0.032,0.014,0.068,65.464,1.018,"cov_2"
-0.021,-0.068,-0.02,0.019,65.819,1.023,"cov_3"
0.247,0.171,0.244,0.337,1937.027,1,"cov_4"
-0.21,-0.283,-0.207,-0.149,2509.964,1,"cov_5"
0,-0.196,0,0.219,52.705,1.024,"cov_6"
0.628,0.595,0.628,0.661,6472.422,1,"Sigma2_e"
0.101,0.096,0.101,0.107,8299.254,1,"Sigma2_ex"
800.965,746.784,801.283,852.575,859.803,1.003,"lp__"
0.974,0.863,0.974,1.079,741.158,1,"B_0"
-0.057,-0.189,-0.056,0.071,920.051,1,"B_x"
0.357,0.115,0.362,0.565,42.634,1.001,"psi"
0.193,0.143,0.191,0.257,1273.743,1.001,"Sigma2_intercept"
0.128,0.095,0.128,0.171,2059.319,1.001,"Sigma2_psi"
0.98,0.803,0.974,1.195,2084.335,1,"Sigma2_x"
0.165,0.072,0.147,0.379,167.37,1.002,"Sigma2_phi"
0.028,0.008,0.02,0.098,147.833,1.008,"Sigma2_epsilon"
-0.109,-0.147,-0.108,-0.075,1225.149,1.001,"cov_int_psi"
0.124,0.087,0.122,0.169,1217.746,1.001,"cov_int_phi"
-0.098,-0.134,-0.097,-0.069,1985.414,1,"cov_psi_phi"
-0.69,-0.808,-0.696,-0.54,982.108,1,"cor_1"
0.427,-0.272,0.478,0.887,86.909,1,"cor_2"
-0.53,-0.929,-0.59,0.155,120.661,1,"cor_3"
0.615,0.504,0.618,0.711,1625.86,1.002,"cor_4"
-0.554,-0.678,-0.557,-0.415,1489.99,1.001,"cor_5"
-0.042,-0.844,-0.072,0.877,39.418,1,"cor_6"
-0.109,-0.147,-0.108,-0.075,1225.149,1.001,"cov_1"
0.028,-0.028,0.026,0.096,45.928,1.001,"cov_2"
-0.028,-0.078,-0.026,0.013,50.107,1.001,"cov_3"
0.268,0.193,0.266,0.358,1527.631,1.001,"cov_4"
-0.197,-0.271,-0.195,-0.134,1780.518,1,"cov_5"
-0.004,-0.199,-0.009,0.228,38.944,1.001,"cov_6"
0.63,0.598,0.629,0.665,6455.117,1,"Sigma2_e"
0.103,0.098,0.103,0.109,8486.364,1,"Sigma2_ex"
761.925,706.817,762.09,813.35,888.327,1.002,"lp__"
0.98,0.887,0.979,1.07,779.663,1,"B_0"
-0.028,-0.157,-0.027,0.099,946.433,1,"B_x"
0.293,0.082,0.299,0.459,32.715,1.006,"psi"
0.221,0.169,0.219,0.282,1138.83,1,"Sigma2_intercept"
0.098,0.07,0.097,0.132,1869.031,1,"Sigma2_psi"
0.936,0.766,0.929,1.145,1950.653,1,"Sigma2_x"
0.11,0.051,0.097,0.238,43.052,1.003,"Sigma2_phi"
0.021,0.004,0.016,0.073,321.583,1,"Sigma2_epsilon"
-0.081,-0.115,-0.081,-0.05,1304.15,1.001,"cov_int_psi"
0.06,0.03,0.059,0.095,1436.817,1,"cov_int_phi"
-0.064,-0.09,-0.063,-0.041,1385.353,1,"cov_psi_phi"
-0.552,-0.699,-0.558,-0.374,1345.97,1.001,"cor_1"
-0.096,-0.588,-0.098,0.414,38.373,1.007,"cor_2"
-0.484,-0.859,-0.538,0.117,43.136,1.002,"cor_3"
0.48,0.353,0.482,0.594,1875.234,1,"cor_4"
-0.49,-0.63,-0.493,-0.339,1117.653,1,"cor_5"
0.153,-0.736,0.187,0.896,21.808,1.01,"cor_6"
-0.081,-0.115,-0.081,-0.05,1304.15,1.001,"cov_1"
-0.004,-0.042,-0.005,0.044,42.329,1.004,"cov_2"
-0.02,-0.056,-0.019,0.006,45.536,1.003,"cov_3"
0.218,0.148,0.215,0.302,1605.359,1,"cov_4"
-0.148,-0.209,-0.146,-0.094,1463.139,1,"cov_5"
0.026,-0.125,0.018,0.218,29.855,1.006,"cov_6"
0.593,0.563,0.592,0.624,4926.929,1,"Sigma2_e"
0.102,0.097,0.102,0.107,6579.224,1,"Sigma2_ex"
884.88,830.354,884.959,937.202,986.755,1,"lp__"
1.042,0.945,1.043,1.134,1471.824,1,"B_0"
0.031,-0.105,0.031,0.164,1299.56,1,"B_x"
0.278,0.072,0.278,0.483,97.948,1.028,"psi"
0.185,0.14,0.183,0.242,1525.64,1,"Sigma2_intercept"
0.105,0.076,0.104,0.142,2421.722,1,"Sigma2_psi"
0.883,0.725,0.876,1.073,2217.521,1,"Sigma2_x"
0.102,0.039,0.084,0.266,200.839,1.026,"Sigma2_phi"
0.024,0.005,0.018,0.076,808.604,1.003,"Sigma2_epsilon"
-0.076,-0.109,-0.076,-0.047,1899.431,1,"cov_int_psi"
0.059,0.03,0.058,0.093,1766.351,1,"cov_int_phi"
-0.061,-0.086,-0.061,-0.04,1839.501,1.001,"cov_psi_phi"
-0.549,-0.704,-0.555,-0.361,1742.43,1,"cor_1"
-0.216,-0.735,-0.256,0.474,101.593,1.02,"cor_2"
-0.337,-0.837,-0.368,0.315,119.005,1.023,"cor_3"
0.643,0.534,0.644,0.739,2136.848,1.001,"cor_4"
-0.558,-0.686,-0.56,-0.413,2681.255,1,"cor_5"
-0.065,-0.864,-0.097,0.836,67.407,1.036,"cor_6"
-0.076,-0.109,-0.076,-0.047,1899.431,1,"cov_1"
-0.013,-0.068,-0.012,0.042,110.313,1.029,"cov_2"
-0.014,-0.052,-0.014,0.021,128.196,1.02,"cov_3"
0.26,0.191,0.257,0.341,2000.663,1.001,"cov_4"
-0.169,-0.233,-0.169,-0.116,2783.071,1,"cov_5"
-0.01,-0.193,-0.01,0.164,90.23,1.034,"cov_6"
0.621,0.59,0.621,0.653,5026.704,1,"Sigma2_e"
0.097,0.092,0.097,0.102,8266.878,1,"Sigma2_ex"
888.217,833.335,889.18,939.909,743.92,1,"lp__"
0.982,0.877,0.983,1.082,785.772,1.001,"B_0"
-0.008,-0.163,-0.007,0.151,715.618,1.002,"B_x"
0.272,0.13,0.27,0.435,72.581,1.006,"psi"
0.221,0.168,0.218,0.289,1140.184,1,"Sigma2_intercept"
0.109,0.081,0.108,0.145,1646.025,1,"Sigma2_psi"
1.301,1.067,1.293,1.572,1236.709,1.001,"Sigma2_x"
0.121,0.052,0.106,0.283,163.268,1.007,"Sigma2_phi"
0.017,0.003,0.013,0.056,638.165,1.001,"Sigma2_epsilon"
-0.096,-0.136,-0.095,-0.065,989.922,1,"cov_int_psi"
0.11,0.073,0.108,0.158,923.677,1,"cov_int_phi"
-0.086,-0.118,-0.085,-0.06,1199.853,1,"cov_psi_phi"
-0.618,-0.75,-0.623,-0.463,1143.141,1,"cor_1"
0.154,-0.558,0.192,0.728,75.264,1.008,"cor_2"
-0.56,-0.96,-0.652,0.247,92.934,1.007,"cor_3"
0.697,0.599,0.7,0.782,1372.014,1,"cor_4"
-0.63,-0.738,-0.634,-0.501,1654.356,1,"cor_5"
0.052,-0.854,0.094,0.827,51.841,1.009,"cor_6"
-0.096,-0.136,-0.095,-0.065,989.922,1,"cov_1"
0.008,-0.049,0.008,0.059,77.522,1.006,"cov_2"
-0.021,-0.055,-0.021,0.016,91.211,1.004,"cov_3"
0.374,0.279,0.369,0.488,1034.027,1,"cov_4"
-0.237,-0.318,-0.236,-0.167,1313.402,1,"cov_5"
0.006,-0.192,0.01,0.174,64.272,1.006,"cov_6"
0.595,0.564,0.595,0.627,4553.098,1,"Sigma2_e"
0.094,0.09,0.094,0.099,5422.899,1,"Sigma2_ex"
1002.158,948.377,1002.262,1054.571,927.546,1.001,"lp__"
0.975,0.873,0.976,1.068,558.967,1.002,"B_0"
0.081,-0.071,0.082,0.227,491.841,1.002,"B_x"
0.269,0.039,0.271,0.468,36.953,1.004,"psi"
0.188,0.14,0.186,0.245,838.912,1.002,"Sigma2_intercept"
0.112,0.084,0.111,0.147,1627.425,1,"Sigma2_psi"
1.143,0.94,1.135,1.398,1605.978,1,"Sigma2_x"
0.129,0.049,0.102,0.33,256.006,1.002,"Sigma2_phi"
0.031,0.008,0.022,0.106,311.653,1.009,"Sigma2_epsilon"
-0.089,-0.125,-0.088,-0.058,667.675,1.002,"cov_int_psi"
0.079,0.047,0.078,0.116,652.468,1.002,"cov_int_phi"
-0.079,-0.107,-0.078,-0.056,1145.454,1,"cov_psi_phi"
-0.612,-0.751,-0.617,-0.443,666.552,1.001,"cor_1"
0.103,-0.489,0.119,0.612,56.371,1.001,"cor_2"
-0.523,-0.915,-0.596,0.197,88.344,1,"cor_3"
0.579,0.461,0.582,0.682,1113.076,1.002,"cor_4"
-0.548,-0.663,-0.553,-0.412,1384.328,1,"cor_5"
0.015,-0.852,0.016,0.874,35.943,1.003,"cor_6"
-0.089,-0.125,-0.088,-0.058,667.675,1.002,"cov_1"
0.006,-0.052,0.007,0.063,42.144,1.003,"cov_2"
-0.026,-0.07,-0.025,0.016,41.87,1.004,"cov_3"
0.268,0.192,0.266,0.364,804.419,1.004,"cov_4"
-0.196,-0.266,-0.196,-0.135,1510.159,1,"cov_5"
0.002,-0.228,0.002,0.252,34.339,1.004,"cov_6"
0.587,0.556,0.586,0.619,4752.573,1,"Sigma2_e"
0.102,0.097,0.102,0.107,6629.477,1,"Sigma2_ex"
903.356,845.141,904.226,957.395,785.854,1,"lp__"
1.003,0.915,1.003,1.089,1457.37,1,"B_0"
-0.003,-0.121,-0.005,0.12,1386.456,1,"B_x"
0.308,0.147,0.301,0.507,74.375,1.004,"psi"
0.184,0.14,0.182,0.238,1725.615,1,"Sigma2_intercept"
0.131,0.091,0.129,0.182,1772.073,1,"Sigma2_psi"
0.773,0.637,0.768,0.938,2208.043,1.001,"Sigma2_x"
0.094,0.036,0.08,0.249,133.261,1.004,"Sigma2_phi"
0.015,0.001,0.012,0.051,731.897,1.002,"Sigma2_epsilon"
-0.076,-0.116,-0.075,-0.043,1652.032,1,"cov_int_psi"
0.057,0.031,0.056,0.089,1940.388,1,"cov_int_phi"
-0.067,-0.097,-0.066,-0.042,1237.133,1.001,"cov_psi_phi"
-0.492,-0.655,-0.495,-0.304,1682.054,1,"cor_1"
-0.085,-0.592,-0.097,0.5,98.184,1.002,"cor_2"
-0.422,-0.898,-0.472,0.264,135.396,1.002,"cor_3"
0.534,0.408,0.536,0.646,2356.072,1,"cor_4"
-0.524,-0.654,-0.528,-0.372,2218.529,1,"cor_5"
-0.112,-0.882,-0.131,0.735,49.879,1.005,"cor_6"
-0.076,-0.116,-0.075,-0.043,1652.032,1,"cov_1"
-0.005,-0.045,-0.004,0.028,91.814,1.003,"cov_2"
-0.015,-0.046,-0.016,0.017,116.19,1.001,"cov_3"
0.201,0.139,0.2,0.273,1966.234,1,"cov_4"
-0.166,-0.234,-0.165,-0.109,2550.561,1,"cov_5"
-0.015,-0.165,-0.009,0.098,64.795,1.005,"cov_6"
0.597,0.565,0.597,0.631,4538.294,1,"Sigma2_e"
0.098,0.093,0.098,0.103,6787.715,1,"Sigma2_ex"
934.211,876.989,934.474,991.257,889.791,1.002,"lp__"
0.99,0.894,0.99,1.082,569.387,1.001,"B_0"
0.005,-0.128,0.012,0.13,633.426,1.002,"B_x"
0.353,0.252,0.345,0.483,68.322,1.013,"psi"
0.217,0.161,0.213,0.272,19.799,1.053,"Sigma2_intercept"
0.083,0.056,0.084,0.112,1129.457,1.006,"Sigma2_psi"
0.994,0.808,0.994,1.163,34.142,1.04,"Sigma2_x"
0.135,0.074,0.127,0.255,114.392,1.012,"Sigma2_phi"
0.008,0,0.005,0.032,430.877,1.003,"Sigma2_epsilon"
-0.077,-0.106,-0.077,-0.046,27.536,1.043,"cov_int_psi"
0.087,0.054,0.088,0.121,201.823,1.018,"cov_int_phi"
-0.061,-0.086,-0.061,-0.039,689.873,1.002,"cov_psi_phi"
-0.577,-0.717,-0.591,-0.393,129.697,1.016,"cor_1"
-0.129,-0.687,-0.132,0.509,149.393,1.023,"cor_2"
-0.359,-0.85,-0.434,0.365,109.453,1,"cor_3"
0.565,0.451,0.57,0.666,1042.211,1.002,"cor_4"
-0.528,-0.662,-0.526,-0.381,880.94,1.004,"cor_5"
-0.069,-0.862,-0.031,0.672,49.617,1.027,"cor_6"
-0.077,-0.106,-0.077,-0.046,27.536,1.043,"cov_1"
-0.005,-0.039,-0.004,0.02,126.791,1.019,"cov_2"
-0.008,-0.028,-0.008,0.011,180.141,1.007,"cov_3"
0.263,0.182,0.262,0.338,37.58,1.039,"cov_4"
-0.151,-0.205,-0.154,-0.099,769.823,1.002,"cov_5"
-0.008,-0.122,-0.002,0.07,68.978,1.019,"cov_6"
0.61,0.579,0.611,0.64,2939.983,1.002,"Sigma2_e"
0.099,0.094,0.099,0.104,27.521,1.044,"Sigma2_ex"
892.779,835.807,894.241,942.742,260.643,1.006,"lp__"
0.928,0.83,0.929,1.023,590.701,1.001,"B_0"
-0.075,-0.197,-0.076,0.058,667.73,1.003,"B_x"
0.353,0.08,0.355,0.636,27.405,1.089,"psi"
0.207,0.157,0.206,0.27,954.928,1.004,"Sigma2_intercept"
0.111,0.08,0.11,0.154,1496.286,1,"Sigma2_psi"
0.873,0.716,0.869,1.052,1179.626,1,"Sigma2_x"
0.163,0.062,0.133,0.468,81.125,1.041,"Sigma2_phi"
0.038,0.011,0.029,0.131,392.517,1,"Sigma2_epsilon"
-0.091,-0.129,-0.09,-0.06,832.349,1.002,"cov_int_psi"
0.068,0.034,0.067,0.109,742.317,1.003,"cov_int_phi"
-0.081,-0.111,-0.08,-0.056,1040.188,1.002,"cov_psi_phi"
-0.602,-0.749,-0.607,-0.429,756.467,1.002,"cor_1"
-0.236,-0.698,-0.281,0.387,30.98,1.074,"cor_2"
-0.274,-0.776,-0.31,0.395,31.664,1.078,"cor_3"
0.578,0.462,0.581,0.682,1027.683,1,"cor_4"
-0.602,-0.721,-0.605,-0.47,885.63,1.002,"cor_5"
-0.071,-0.878,-0.111,0.831,20.919,1.1,"cor_6"
-0.091,-0.129,-0.09,-0.06,832.349,1.002,"cov_1"
-0.019,-0.091,-0.019,0.045,36.579,1.076,"cov_2"
-0.015,-0.066,-0.015,0.039,35.326,1.078,"cov_3"
0.246,0.176,0.243,0.331,931.742,1.001,"cov_4"
-0.187,-0.252,-0.186,-0.132,1062.341,1.001,"cov_5"
-0.015,-0.26,-0.014,0.209,26.953,1.089,"cov_6"
