"mean","2.5%","50%","97.5%","n_eff","Rhat","Parameter"
0.973,0.926,0.973,1.02,3592.075,1,"B_0"
0.271,0.231,0.271,0.313,3264.234,1.001,"psi"
0.212,0.174,0.211,0.252,1741.247,1.001,"Sigma2_intercept"
0.026,0.008,0.025,0.049,817.744,1,"Sigma2_epsilon"
0.116,0.087,0.116,0.148,1710.238,1,"Sigma2_phi"
1.028,1.028,1.028,1.028,0.5,1,"Sigma2_x"
0.064,0.043,0.063,0.085,3286.904,1,"cov_int_phi"
0.016,-0.006,0.015,0.038,2643.058,1,"cov_2"
0.615,0.574,0.615,0.659,1507.929,1.001,"Sigma2_e"
-2028.061,-2132.862,-2026.968,-1926.406,724.649,1.001,"lp__"
0.98,0.936,0.98,1.026,4204.947,1,"B_0"
0.275,0.232,0.275,0.318,3478.665,1,"psi"
0.2,0.163,0.199,0.239,1714.177,1,"Sigma2_intercept"
0.012,0,0.011,0.03,512.936,1,"Sigma2_epsilon"
0.09,0.065,0.089,0.117,1212.882,1,"Sigma2_phi"
0.925,0.925,0.925,0.925,0.5,1,"Sigma2_x"
0.05,0.033,0.05,0.069,3353.114,1,"cov_int_phi"
0.008,-0.01,0.008,0.028,2796.581,1,"cov_2"
0.63,0.587,0.63,0.675,1239.272,1,"Sigma2_e"
-2065.675,-2166.922,-2065.735,-1965.341,576.739,1,"lp__"
0.951,0.904,0.951,0.996,3291.037,1,"B_0"
0.257,0.218,0.257,0.297,3165.64,1,"psi"
0.227,0.188,0.226,0.268,1361.833,1.001,"Sigma2_intercept"
0.011,0,0.01,0.03,566.175,1.007,"Sigma2_epsilon"
0.081,0.058,0.08,0.108,1153.697,1.003,"Sigma2_phi"
0.97,0.97,0.97,0.97,0.5,1,"Sigma2_x"
0.052,0.034,0.052,0.072,2461.089,1,"cov_int_phi"
0.009,-0.009,0.008,0.029,1920.441,1.001,"cov_2"
0.609,0.568,0.609,0.652,1481.246,1,"Sigma2_e"
-2012.805,-2111.123,-2012.622,-1910.679,661.421,1.001,"lp__"
