"mean","2.5%","50%","97.5%","n_eff","Rhat","Parameter"
1.035,0.944,1.035,1.124,1533.646,1,"B_0"
0.199,0.125,0.198,0.276,2310.388,1,"psi"
0.143,0.088,0.14,0.216,1455.408,1,"Sigma2_intercept"
0.023,0,0.021,0.059,886.881,1,"Sigma2_epsilon"
0.049,0.021,0.047,0.086,1185.839,1.001,"Sigma2_phi"
0.824,0.824,0.824,0.824,0.5,1,"Sigma2_x"
0.012,-0.016,0.012,0.037,2286.21,1,"cov_int_phi"
-0.017,-0.052,-0.016,0.011,1748.687,1,"cov_2"
0.632,0.565,0.631,0.704,2116.984,1,"Sigma2_e"
-319.263,-349.936,-319.003,-289.728,793.492,1,"lp__"
1.01,0.9,1.01,1.111,1030.825,1,"B_0"
0.24,0.18,0.24,0.301,2381.855,1,"psi"
0.219,0.144,0.214,0.326,1177.663,1,"Sigma2_intercept"
0.01,0,0.007,0.034,841.752,1,"Sigma2_epsilon"
0.07,0.039,0.069,0.107,1805.047,1,"Sigma2_phi"
1.107,1.107,1.107,1.107,0.5,1,"Sigma2_x"
0.023,-0.011,0.024,0.052,2074.116,1,"cov_int_phi"
-0.015,-0.05,-0.012,0.01,1593.713,1,"cov_2"
0.673,0.607,0.671,0.747,2999.172,1,"Sigma2_e"
-344.281,-370.789,-344.111,-317.447,885.615,1,"lp__"
0.919,0.804,0.919,1.035,1511.832,1.003,"B_0"
0.345,0.271,0.345,0.419,3249.751,1,"psi"
0.199,0.125,0.194,0.297,1568.71,1,"Sigma2_intercept"
0.045,0.002,0.044,0.098,716.31,1.003,"Sigma2_epsilon"
0.189,0.126,0.188,0.259,1475.726,1.001,"Sigma2_phi"
1.167,1.167,1.167,1.167,0.5,1,"Sigma2_x"
0.071,0.033,0.071,0.112,2850.941,1,"cov_int_phi"
0.01,-0.031,0.009,0.053,1700.212,1,"cov_2"
0.766,0.684,0.764,0.854,1947.835,1.001,"Sigma2_e"
-395.326,-428.911,-394.628,-365.357,595.103,1.007,"lp__"
1.007,0.886,1.006,1.131,836.102,1,"B_0"
0.328,0.266,0.327,0.395,3617.667,1,"psi"
0.287,0.194,0.283,0.409,1361.591,1.001,"Sigma2_intercept"
0.005,0,0.003,0.022,1431.768,1,"Sigma2_epsilon"
0.116,0.078,0.115,0.162,3812.197,1,"Sigma2_phi"
1.052,1.052,1.052,1.052,0.5,1,"Sigma2_x"
0.06,0.025,0.061,0.092,3241.299,1,"cov_int_phi"
-0.007,-0.041,-0.004,0.017,2646.412,1,"cov_2"
0.733,0.659,0.732,0.815,3606.218,1,"Sigma2_e"
-379.775,-406.271,-379.344,-355.103,986.773,1.001,"lp__"
1.028,0.92,1.028,1.132,3332.651,1.001,"B_0"
0.289,0.228,0.289,0.353,6584.583,1,"psi"
0.171,0.106,0.168,0.26,1607.001,1,"Sigma2_intercept"
0.019,0,0.016,0.062,832.482,1,"Sigma2_epsilon"
0.118,0.075,0.115,0.171,1356.633,1,"Sigma2_phi"
1.142,1.142,1.142,1.142,0.5,1,"Sigma2_x"
0.057,0.026,0.056,0.09,4743.262,1,"cov_int_phi"
0.003,-0.028,0.002,0.038,3965.189,1,"cov_2"
0.682,0.61,0.68,0.764,3943.169,1,"Sigma2_e"
-349.782,-378.39,-349.513,-320.911,755.701,1,"lp__"
1.034,0.928,1.032,1.138,1903.902,1,"B_0"
0.243,0.183,0.243,0.304,4727.139,1,"psi"
0.194,0.124,0.19,0.287,1662.354,1,"Sigma2_intercept"
0.005,0,0.003,0.026,1146.849,1,"Sigma2_epsilon"
0.071,0.041,0.069,0.107,3973.561,1,"Sigma2_phi"
1.059,1.059,1.059,1.059,0.5,1,"Sigma2_x"
0.039,0.016,0.038,0.065,4625.143,1,"cov_int_phi"
0.003,-0.018,0.001,0.029,3318.771,1,"cov_2"
0.691,0.623,0.689,0.765,4047.137,1,"Sigma2_e"
-355.874,-381.873,-355.708,-331.305,1000.456,1,"lp__"
0.965,0.854,0.964,1.078,1154.578,1,"B_0"
0.341,0.271,0.342,0.41,2876.801,1,"psi"
0.234,0.158,0.23,0.333,1292.814,1.001,"Sigma2_intercept"
0.009,0,0.005,0.039,711.798,1,"Sigma2_epsilon"
0.13,0.087,0.128,0.179,2460.474,1,"Sigma2_phi"
0.975,0.975,0.975,0.975,0.5,1,"Sigma2_x"
0.088,0.057,0.087,0.121,3212.167,1,"cov_int_phi"
0.006,-0.022,0.004,0.041,2000.236,1,"cov_2"
0.69,0.616,0.688,0.769,2271.993,1,"Sigma2_e"
-354.567,-381.908,-354.38,-328.425,785.818,1,"lp__"
0.936,0.818,0.936,1.051,868.377,1.001,"B_0"
0.298,0.235,0.298,0.36,2322.453,1,"psi"
0.235,0.153,0.23,0.341,1363.138,1,"Sigma2_intercept"
0.007,0,0.004,0.033,1008.251,1,"Sigma2_epsilon"
0.115,0.075,0.113,0.161,3641.109,1,"Sigma2_phi"
1.153,1.153,1.153,1.153,0.5,1,"Sigma2_x"
0.075,0.043,0.074,0.111,2710.951,1.001,"cov_int_phi"
0.005,-0.023,0.003,0.041,1778.527,1.001,"cov_2"
0.757,0.678,0.756,0.84,3326.233,1,"Sigma2_e"
-392.364,-418.972,-391.946,-366.589,967.07,1,"lp__"
0.99,0.877,0.99,1.099,1124.888,1,"B_0"
0.278,0.212,0.278,0.345,4581.422,1,"psi"
0.226,0.149,0.221,0.329,1465.154,1,"Sigma2_intercept"
0.004,0,0.002,0.017,1750.718,1,"Sigma2_epsilon"
0.071,0.043,0.07,0.106,5109.409,1,"Sigma2_phi"
0.845,0.845,0.845,0.845,0.5,1,"Sigma2_x"
0.05,0.026,0.049,0.078,4661.811,1,"cov_int_phi"
0.003,-0.017,0.001,0.028,3407.656,1,"cov_2"
0.687,0.619,0.685,0.763,3793.846,1,"Sigma2_e"
-353.948,-380.211,-353.692,-329.635,832.056,1,"lp__"
1.012,0.906,1.013,1.116,960.277,1,"B_0"
0.253,0.184,0.253,0.32,1779.575,1.002,"psi"
0.176,0.112,0.172,0.263,1086.578,1.002,"Sigma2_intercept"
0.019,0,0.016,0.062,567.251,1.001,"Sigma2_epsilon"
0.082,0.045,0.08,0.128,896.274,1,"Sigma2_phi"
0.934,0.934,0.934,0.934,0.5,1,"Sigma2_x"
0.039,0.008,0.039,0.071,2192.091,1.001,"cov_int_phi"
0.001,-0.032,0.001,0.033,1628.511,1.003,"cov_2"
0.707,0.632,0.706,0.79,1737.619,1,"Sigma2_e"
-364.162,-393.331,-364.134,-335.161,486.872,1.006,"lp__"
0.993,0.878,0.992,1.117,1734.087,1,"B_0"
0.249,0.183,0.249,0.313,3194.024,1,"psi"
0.188,0.118,0.184,0.281,1631.504,1.001,"Sigma2_intercept"
0.041,0.003,0.039,0.091,900.386,1,"Sigma2_epsilon"
0.132,0.081,0.13,0.191,1669.665,1,"Sigma2_phi"
1.251,1.251,1.251,1.251,0.5,1,"Sigma2_x"
0.066,0.031,0.066,0.104,3309.095,1,"cov_int_phi"
0.024,-0.013,0.023,0.066,2376.985,1.002,"cov_2"
0.745,0.662,0.743,0.831,2834.864,1,"Sigma2_e"
-384.003,-414.907,-383.538,-352.998,697.969,1.001,"lp__"
1.002,0.883,1.003,1.121,1232.187,1,"B_0"
0.309,0.239,0.308,0.382,3116.129,1,"psi"
0.295,0.199,0.29,0.417,1568.118,1.001,"Sigma2_intercept"
0.03,0.002,0.027,0.074,713.006,1.009,"Sigma2_epsilon"
0.119,0.075,0.117,0.172,1813.965,1.001,"Sigma2_phi"
1.086,1.086,1.086,1.086,0.5,1,"Sigma2_x"
0.068,0.027,0.068,0.106,2836.572,1.001,"cov_int_phi"
-0.025,-0.074,-0.023,0.018,2064.059,1,"cov_2"
0.65,0.583,0.649,0.727,2482.319,1.001,"Sigma2_e"
-329.707,-360.921,-329.643,-299.115,630.678,1.009,"lp__"
1.082,0.973,1.083,1.191,1863.155,1,"B_0"
0.153,0.094,0.153,0.212,4623.473,1,"psi"
0.205,0.131,0.2,0.299,1690.584,1,"Sigma2_intercept"
0.007,0,0.004,0.028,1491.544,1,"Sigma2_epsilon"
0.038,0.016,0.037,0.068,3082.414,1,"Sigma2_phi"
1.202,1.202,1.202,1.202,0.5,1,"Sigma2_x"
0.036,0.012,0.034,0.066,3274.242,1,"cov_int_phi"
0.008,-0.014,0.005,0.04,2803.301,1,"cov_2"
