"mean","2.5%","50%","97.5%","n_eff","Rhat","Parameter"
0.902,0.708,0.903,1.083,923.019,1.001,"B_0"
-0.156,-0.438,-0.154,0.116,819.374,1,"B_x"
0.275,0.061,0.275,0.487,279.455,1.003,"psi"
0.21,0.122,0.203,0.336,1681.732,1,"Sigma2_intercept"
0.115,0.062,0.11,0.196,2135.228,1,"Sigma2_psi"
1.057,0.701,1.036,1.54,1911.276,1,"Sigma2_x"
0.111,0.031,0.093,0.305,360.561,1.002,"Sigma2_phi"
0.019,0,0.012,0.085,846.375,1,"Sigma2_epsilon"
-0.064,-0.139,-0.061,-0.01,1186.493,1,"cov_int_psi"
0.063,0.007,0.06,0.132,1692.673,1,"cov_int_phi"
-0.05,-0.103,-0.048,-0.013,1828.675,1,"cov_psi_phi"
-0.411,-0.708,-0.422,-0.068,1148.848,1,"cor_1"
-0.209,-0.826,-0.24,0.56,546.571,1.002,"cor_2"
-0.214,-0.813,-0.253,0.542,883.992,1,"cor_3"
0.562,0.322,0.571,0.756,1850.027,1,"cor_4"
-0.43,-0.672,-0.437,-0.146,1882.779,1.001,"cor_5"
0.018,-0.867,0.024,0.883,141.372,1.009,"cor_6"
-0.064,-0.139,-0.061,-0.01,1186.493,1,"cov_1"
-0.011,-0.069,-0.008,0.042,371.33,1.003,"cov_2"
-0.009,-0.05,-0.007,0.023,545.384,1.001,"cov_3"
0.265,0.122,0.256,0.449,1732.666,1,"cov_4"
-0.149,-0.279,-0.144,-0.049,1974.373,1,"cov_5"
0.004,-0.182,0.001,0.207,199.151,1.007,"cov_6"
0.627,0.564,0.626,0.696,5689.1,1,"Sigma2_e"
0.105,0.095,0.105,0.116,7491.039,1,"Sigma2_ex"
181.334,151.285,181.643,208.785,838.439,1.001,"lp__"
0.946,0.723,0.948,1.163,792.031,1.001,"B_0"
0.09,-0.216,0.088,0.408,807.693,1.002,"B_x"
0.353,0.129,0.357,0.563,243.591,1.001,"psi"
0.215,0.122,0.205,0.362,1015.692,1.001,"Sigma2_intercept"
0.094,0.051,0.091,0.157,1734.682,1,"Sigma2_psi"
1.335,0.903,1.303,1.97,1489.432,1,"Sigma2_x"
0.213,0.075,0.186,0.509,434.988,1,"Sigma2_phi"
0.03,0,0.022,0.112,505.835,1.001,"Sigma2_epsilon"
-0.086,-0.159,-0.083,-0.034,946.952,1.004,"cov_int_psi"
0.11,0.039,0.106,0.21,1044.115,1.001,"cov_int_phi"
-0.092,-0.157,-0.088,-0.048,1451.489,1,"cov_psi_phi"
-0.608,-0.846,-0.623,-0.267,947.26,1.005,"cor_1"
0.045,-0.621,0.045,0.701,422.67,1,"cor_2"
-0.345,-0.888,-0.405,0.444,441.133,1,"cor_3"
0.563,0.316,0.573,0.755,1412.033,1,"cor_4"
-0.604,-0.803,-0.616,-0.348,1195.636,1,"cor_5"
-0.021,-0.855,-0.025,0.867,184.204,1,"cor_6"
-0.086,-0.159,-0.083,-0.034,946.952,1.004,"cov_1"
0.003,-0.064,0.002,0.069,309.668,1,"cov_2"
-0.016,-0.068,-0.014,0.027,297.344,1.001,"cov_3"
0.301,0.144,0.291,0.514,1171.816,1,"cov_4"
-0.213,-0.356,-0.207,-0.103,1468.585,1,"cov_5"
-0.004,-0.259,-0.001,0.263,201.684,1,"cov_6"
0.66,0.592,0.659,0.735,3047.427,1.001,"Sigma2_e"
0.102,0.092,0.101,0.112,7256.106,1,"Sigma2_ex"
172.931,141.474,173.252,202.061,685.682,1.002,"lp__"
0.946,0.752,0.947,1.136,1211.853,1,"B_0"
-0.066,-0.356,-0.067,0.217,1397.364,1,"B_x"
0.265,0.024,0.269,0.484,238.252,1,"psi"
0.223,0.129,0.216,0.361,1640.784,1,"Sigma2_intercept"
0.06,0.026,0.056,0.111,1733.348,1.001,"Sigma2_psi"
1.113,0.752,1.081,1.626,2049.026,1,"Sigma2_x"
0.121,0.036,0.097,0.372,592.191,1.002,"Sigma2_phi"
0.028,0,0.018,0.118,973.834,1.004,"Sigma2_epsilon"
-0.062,-0.121,-0.06,-0.019,2115.573,1,"cov_int_psi"
0.066,0.014,0.063,0.137,2009.585,1,"cov_int_phi"
-0.051,-0.092,-0.049,-0.02,1706.327,1,"cov_psi_phi"
-0.549,-0.837,-0.562,-0.179,1881.672,1.001,"cor_1"
0.053,-0.598,0.062,0.681,519.615,1,"cor_2"
-0.392,-0.912,-0.462,0.457,588.929,1,"cor_3"
0.465,0.204,0.471,0.686,2744.581,1,"cor_4"
-0.544,-0.812,-0.551,-0.213,1163.944,1.002,"cor_5"
0.048,-0.865,0.06,0.899,159.152,1,"cor_6"
-0.062,-0.121,-0.06,-0.019,2115.573,1,"cov_1"
0.004,-0.052,0.002,0.065,375.027,1,"cov_2"
-0.014,-0.056,-0.012,0.016,367.871,1,"cov_3"
0.232,0.087,0.222,0.424,2196.286,1,"cov_4"
-0.138,-0.251,-0.133,-0.052,1839.594,1,"cov_5"
0.009,-0.228,0.003,0.259,213.442,1,"cov_6"
0.643,0.577,0.642,0.72,4182.628,1,"Sigma2_e"
0.088,0.08,0.088,0.098,6191.263,1,"Sigma2_ex"
240.354,209.831,240.775,268.207,630.001,1,"lp__"
0.898,0.725,0.902,1.053,998.193,1,"B_0"
-0.119,-0.403,-0.126,0.187,773.229,1,"B_x"
0.277,0.104,0.279,0.43,350.278,1.001,"psi"
0.129,0.067,0.124,0.222,1198.925,1.001,"Sigma2_intercept"
0.089,0.049,0.085,0.147,2156.707,1,"Sigma2_psi"
1.073,0.732,1.043,1.588,1825.145,1.001,"Sigma2_x"
0.099,0.031,0.087,0.238,476.614,1.003,"Sigma2_phi"
0.01,0,0.004,0.051,878.997,1,"Sigma2_epsilon"
-0.059,-0.116,-0.056,-0.016,853.735,1.002,"cov_int_psi"
0.05,0.007,0.046,0.109,825.41,1.002,"cov_int_phi"
-0.063,-0.111,-0.061,-0.03,1411.015,1.003,"cov_psi_phi"
-0.552,-0.831,-0.571,-0.166,985.299,1.002,"cor_1"
-0.075,-0.791,-0.088,0.722,1758.504,1,"cor_2"
-0.115,-0.857,-0.142,0.74,1368.79,1,"cor_3"
0.493,0.184,0.507,0.723,996.036,1.002,"cor_4"
-0.708,-0.876,-0.721,-0.468,1611.78,1.001,"cor_5"
0.004,-0.874,-0.012,0.88,168.358,1.006,"cor_6"
-0.059,-0.116,-0.056,-0.016,853.735,1.002,"cov_1"
-0.002,-0.033,-0.001,0.025,648.924,1,"cov_2"
-0.003,-0.037,-0.001,0.024,651.346,1,"cov_3"
0.184,0.057,0.178,0.342,903.532,1.003,"cov_4"
-0.217,-0.355,-0.211,-0.117,2253.176,1.002,"cov_5"
0.002,-0.138,0,0.152,232.536,1.002,"cov_6"
0.587,0.53,0.586,0.651,5893.133,1,"Sigma2_e"
0.101,0.091,0.101,0.112,10235.087,1,"Sigma2_ex"
221.683,192.339,221.926,249.489,837.612,1.001,"lp__"
1.118,0.921,1.124,1.291,572.281,1,"B_0"
0.162,-0.091,0.164,0.417,561.421,1.002,"B_x"
0.282,0.116,0.282,0.44,666.849,1,"psi"
0.184,0.096,0.177,0.316,890.309,1.002,"Sigma2_intercept"
0.19,0.112,0.183,0.307,1710.62,1,"Sigma2_psi"
0.847,0.571,0.822,1.242,1416.915,1,"Sigma2_x"
0.077,0.019,0.069,0.187,887.042,1,"Sigma2_phi"
0.005,0,0.002,0.024,1986.686,1,"Sigma2_epsilon"
-0.111,-0.209,-0.107,-0.042,712.807,1.005,"cov_int_psi"
0.065,0.018,0.06,0.143,820.788,1.002,"cov_int_phi"
-0.077,-0.144,-0.073,-0.033,1410.042,1.001,"cov_psi_phi"
-0.596,-0.839,-0.611,-0.266,695.15,1.004,"cor_1"
0.008,-0.801,0.017,0.805,2173.288,1,"cor_2"
-0.081,-0.843,-0.106,0.8,1659.793,1,"cor_3"
