"mean","2.5%","50%","97.5%","n_eff","Rhat","Parameter"
-0.064,-0.091,-0.063,-0.04,1155.947,1,"cov_1"
0.04,0,0.034,0.13,545.68,1.002,"cov_2"
-0.043,-0.091,-0.04,-0.02,502.618,1.003,"cov_3"
0.256,0.186,0.254,0.338,1403.922,1,"cov_4"
-0.126,-0.183,-0.125,-0.076,868.439,1.001,"cov_5"
0.171,0.039,0.142,0.521,486.451,1.003,"cov_6"
0.614,0.582,0.614,0.649,1619.964,1,"Sigma2_e"
0.102,0.097,0.102,0.108,2149.314,1.001,"Sigma2_ex"
822.721,767.632,823.249,875.156,793.812,1,"lp__"
1.073,0.985,1.073,1.158,828.745,1.001,"B_0"
0.086,-0.051,0.087,0.218,1015.197,1,"B_x"
0.28,0.019,0.292,0.509,30.691,1.005,"psi"
0.14,0.105,0.139,0.184,1544.237,1,"Sigma2_intercept"
0.066,0.044,0.065,0.094,1388.362,1,"Sigma2_psi"
0.982,0.809,0.976,1.193,1295.139,1,"Sigma2_x"
0.129,0.046,0.106,0.35,104.831,1,"Sigma2_phi"
0.036,0.008,0.026,0.126,263.488,1.004,"Sigma2_epsilon"
-0.048,-0.074,-0.047,-0.025,1029.719,1,"cov_int_psi"
0.06,0.036,0.059,0.088,1403.646,1,"cov_int_phi"
-0.038,-0.06,-0.038,-0.019,856.308,1,"cov_psi_phi"
-0.499,-0.695,-0.503,-0.279,951.285,1,"cor_1"
0.065,-0.465,0.05,0.58,34.271,1,"cor_2"
-0.399,-0.834,-0.417,0.111,74.633,1.001,"cor_3"
0.532,0.4,0.535,0.649,1215.827,1,"cor_4"
-0.303,-0.477,-0.306,-0.114,1037.465,1.001,"cor_5"
-0.06,-0.858,-0.131,0.861,22.925,1.001,"cor_6"
-0.048,-0.074,-0.047,-0.025,1029.719,1,"cov_1"
0.005,-0.043,0.003,0.06,37.651,1.003,"cov_2"
-0.017,-0.042,-0.016,0.006,52.025,1.001,"cov_3"
0.197,0.135,0.195,0.272,1248.433,1,"cov_4"
-0.077,-0.128,-0.076,-0.028,1172.433,1,"cov_5"
-0.006,-0.227,-0.017,0.253,30.502,1.005,"cov_6"
0.608,0.575,0.608,0.641,3376.979,1,"Sigma2_e"
0.102,0.097,0.102,0.107,4948.916,1,"Sigma2_ex"
847.304,792.395,847.809,900.585,924.789,1.001,"lp__"
0.954,0.851,0.955,1.054,1544.179,1,"B_0"
-0.087,-0.218,-0.087,0.048,1630.793,1,"B_x"
0.302,0.073,0.301,0.543,40.265,1.002,"psi"
0.228,0.171,0.226,0.3,1749.023,1,"Sigma2_intercept"
0.11,0.078,0.108,0.149,2227.877,1,"Sigma2_psi"
0.931,0.759,0.926,1.131,2089.627,1,"Sigma2_x"
0.125,0.047,0.1,0.349,100.248,1.006,"Sigma2_phi"
0.027,0.004,0.019,0.103,283.904,1.004,"Sigma2_epsilon"
-0.11,-0.151,-0.109,-0.077,2092.789,1,"cov_int_psi"
0.082,0.049,0.082,0.123,2114.039,1,"cov_int_phi"
-0.069,-0.098,-0.068,-0.044,1652.596,1.001,"cov_psi_phi"
-0.701,-0.82,-0.705,-0.556,1857.983,1,"cor_1"
0.031,-0.556,0.031,0.605,43.455,1.003,"cor_2"
-0.373,-0.848,-0.426,0.302,53.69,1.003,"cor_3"
0.583,0.469,0.585,0.68,2418.522,1,"cor_4"
-0.54,-0.669,-0.543,-0.395,1213.95,1.001,"cor_5"
-0.046,-0.884,-0.079,0.859,30.576,1.003,"cor_6"
-0.11,-0.151,-0.109,-0.077,2092.789,1,"cov_1"
0.001,-0.065,0.002,0.065,44.224,1.002,"cov_2"
-0.016,-0.059,-0.016,0.024,47.724,1.001,"cov_3"
0.268,0.192,0.266,0.357,2056.359,1,"cov_4"
-0.172,-0.239,-0.171,-0.115,1899.039,1,"cov_5"
-0.008,-0.222,-0.008,0.199,38.075,1.002,"cov_6"
0.624,0.593,0.624,0.658,4941.844,1,"Sigma2_e"
0.098,0.093,0.098,0.103,7850.209,1,"Sigma2_ex"
862.099,805.959,861.977,915.446,853.601,1,"lp__"
1.013,0.925,1.014,1.101,858.646,1,"B_0"
0.095,-0.043,0.093,0.236,990.171,1,"B_x"
0.275,0.163,0.273,0.413,60.499,1.01,"psi"
0.165,0.124,0.163,0.218,1176.034,1,"Sigma2_intercept"
0.083,0.059,0.082,0.115,1910.933,1,"Sigma2_psi"
0.995,0.814,0.987,1.221,1741.159,1,"Sigma2_x"
0.085,0.039,0.077,0.19,81.569,1.008,"Sigma2_phi"
0.006,0,0.004,0.028,389.487,1,"Sigma2_epsilon"
-0.075,-0.106,-0.075,-0.05,1288.85,1.001,"cov_int_psi"
0.069,0.044,0.068,0.1,1237.92,1.001,"cov_int_phi"
-0.047,-0.068,-0.047,-0.029,1368.657,1,"cov_psi_phi"
-0.644,-0.783,-0.648,-0.48,1386.247,1,"cor_1"
-0.122,-0.746,-0.136,0.602,91.732,1.006,"cor_2"
-0.367,-0.879,-0.423,0.368,99.881,1.005,"cor_3"
0.652,0.551,0.653,0.744,2180.994,1,"cor_4"
-0.506,-0.643,-0.51,-0.352,1631.996,1,"cor_5"
-0.04,-0.891,-0.045,0.846,34.617,1.015,"cor_6"
-0.075,-0.106,-0.075,-0.05,1288.85,1.001,"cov_1"
-0.004,-0.038,-0.002,0.023,73.068,1.009,"cov_2"
-0.007,-0.027,-0.006,0.009,87.655,1.008,"cov_3"
0.264,0.196,0.261,0.348,1306.706,1,"cov_4"
-0.145,-0.206,-0.144,-0.095,1821.707,1,"cov_5"
-0.004,-0.121,-0.001,0.094,46.335,1.013,"cov_6"
0.588,0.557,0.587,0.62,6982.225,1,"Sigma2_e"
0.098,0.093,0.098,0.103,8106.985,1,"Sigma2_ex"
963.522,908.719,964.318,1016.556,874.748,1.001,"lp__"
0.992,0.889,0.993,1.08,313.925,1.007,"B_0"
-0.051,-0.197,-0.051,0.083,290.956,1.008,"B_x"
0.357,0.236,0.344,0.558,308.609,1,"psi"
0.181,0.134,0.181,0.232,366.725,1.007,"Sigma2_intercept"
0.102,0.073,0.101,0.136,516.892,1,"Sigma2_psi"
1.003,0.816,0.996,1.203,151.902,1.007,"Sigma2_x"
0.16,0.069,0.137,0.399,376.644,1,"Sigma2_phi"
0.026,0.007,0.019,0.088,467.154,1.002,"Sigma2_epsilon"
-0.079,-0.112,-0.078,-0.048,157.924,1.012,"cov_int_psi"
0.08,0.05,0.079,0.118,219.703,1.003,"cov_int_phi"
-0.075,-0.099,-0.074,-0.053,248.435,1.005,"cov_psi_phi"
-0.581,-0.726,-0.588,-0.391,182.298,1.012,"cor_1"
-0.164,-0.571,-0.188,0.384,265.77,1,"cor_2"
-0.414,-0.918,-0.419,0.183,279.859,1.001,"cor_3"
0.616,0.508,0.619,0.718,492.372,1,"cor_4"
-0.517,-0.639,-0.525,-0.372,468.951,1.001,"cor_5"
-0.423,-0.915,-0.462,0.198,197.235,1.005,"cor_6"
-0.079,-0.112,-0.078,-0.048,157.924,1.012,"cov_1"
-0.014,-0.068,-0.01,0.02,298.793,1,"cov_2"
-0.016,-0.038,-0.017,0.016,330.4,1.002,"cov_3"
0.263,0.188,0.263,0.348,366.303,1.007,"cov_4"
-0.165,-0.222,-0.166,-0.109,380.449,1.002,"cov_5"
-0.074,-0.272,-0.061,0.025,257.344,1.004,"cov_6"
0.599,0.569,0.598,0.628,199.263,1.001,"Sigma2_e"
0.098,0.093,0.097,0.103,616.449,1.005,"Sigma2_ex"
939.428,884.703,940.837,988.583,242.847,1.001,"lp__"
1.035,0.945,1.035,1.121,909.035,1,"B_0"
0.069,-0.065,0.069,0.205,876.337,1,"B_x"
0.273,0.053,0.269,0.535,34.818,1.059,"psi"
0.165,0.127,0.163,0.211,1641.581,1,"Sigma2_intercept"
0.11,0.079,0.109,0.151,1706.214,1.001,"Sigma2_psi"
0.959,0.789,0.953,1.157,2114.363,1,"Sigma2_x"
0.115,0.041,0.089,0.366,112.739,1.039,"Sigma2_phi"
0.031,0.008,0.024,0.104,318.693,1.005,"Sigma2_epsilon"
-0.043,-0.075,-0.043,-0.014,984.792,1,"cov_int_psi"
0.062,0.034,0.061,0.095,1147.767,1,"cov_int_phi"
-0.077,-0.107,-0.076,-0.053,1492.034,1,"cov_psi_phi"
-0.322,-0.514,-0.326,-0.115,951,1,"cor_1"
0.078,-0.469,0.088,0.585,42.959,1.048,"cor_2"
-0.526,-0.944,-0.609,0.244,56.728,1.05,"cor_3"
0.534,0.396,0.539,0.649,1259.855,1,"cor_4"
-0.572,-0.689,-0.575,-0.436,1484.621,1,"cor_5"
-0.023,-0.892,-0.047,0.827,28.309,1.059,"cor_6"
-0.043,-0.075,-0.043,-0.014,984.792,1,"cov_1"
0.004,-0.052,0.005,0.053,40.628,1.058,"cov_2"
-0.026,-0.071,-0.026,0.022,42.673,1.052,"cov_3"
0.213,0.145,0.211,0.29,1388.722,1,"cov_4"
-0.186,-0.254,-0.184,-0.128,1751.967,1,"cov_5"
-0.007,-0.259,-0.005,0.194,32.591,1.065,"cov_6"
0.588,0.558,0.588,0.619,4969.426,1,"Sigma2_e"
0.102,0.097,0.102,0.107,10046.744,1,"Sigma2_ex"
892.985,836.754,893.338,948.883,796.141,1,"lp__"
1.006,0.913,1.006,1.098,951.783,1,"B_0"
-0.033,-0.166,-0.032,0.102,1043.204,1,"B_x"
0.306,0.146,0.311,0.429,45.297,1.018,"psi"
0.161,0.12,0.16,0.213,1653.177,1,"Sigma2_intercept"
0.097,0.07,0.096,0.132,2026.981,1,"Sigma2_psi"
0.968,0.794,0.961,1.167,2113.078,1.001,"Sigma2_x"
0.104,0.051,0.098,0.202,60.444,1.022,"Sigma2_phi"
0.009,0,0.005,0.04,575.209,1,"Sigma2_epsilon"
-0.076,-0.109,-0.076,-0.048,1178.247,1,"cov_int_psi"
0.071,0.044,0.07,0.104,1412.936,1,"cov_int_phi"
-0.064,-0.091,-0.063,-0.042,1962.023,1.006,"cov_psi_phi"
-0.611,-0.761,-0.613,-0.429,1169.648,1,"cor_1"
-0.022,-0.671,-0.017,0.613,63.932,1.013,"cor_2"
-0.429,-0.906,-0.508,0.371,78.505,1.009,"cor_3"
0.58,0.463,0.583,0.683,1650.596,1.001,"cor_4"
-0.559,-0.687,-0.562,-0.412,1599.612,1.001,"cor_5"
0.091,-0.83,0.11,0.913,21.851,1.032,"cor_6"
-0.076,-0.109,-0.076,-0.048,1178.247,1,"cov_1"
0.001,-0.028,0,0.038,58.895,1.015,"cov_2"
-0.011,-0.043,-0.009,0.008,64.822,1.006,"cov_3"
0.229,0.162,0.227,0.308,1624.925,1,"cov_4"
-0.171,-0.234,-0.17,-0.117,2062.258,1.002,"cov_5"
0.012,-0.101,0.005,0.159,36.748,1.02,"cov_6"
0.607,0.576,0.607,0.64,6404.308,1,"Sigma2_e"
0.102,0.097,0.102,0.108,7392.176,1,"Sigma2_ex"
834.739,780.377,835.556,886.094,955.009,1.004,"lp__"
1.061,0.968,1.061,1.148,1158.064,1,"B_0"
0.081,-0.043,0.081,0.212,1094.077,1,"B_x"
0.281,0.051,0.279,0.488,94.003,1.005,"psi"
0.166,0.123,0.165,0.218,1601.348,1.004,"Sigma2_intercept"
0.129,0.094,0.128,0.172,2356.787,1,"Sigma2_psi"
0.87,0.707,0.864,1.052,1560.827,1.002,"Sigma2_x"
0.102,0.04,0.082,0.252,154.229,1.012,"Sigma2_phi"
0.023,0.004,0.016,0.083,256.922,1.007,"Sigma2_epsilon"
-0.074,-0.112,-0.073,-0.043,1134.912,1,"cov_int_psi"
0.06,0.032,0.06,0.094,1341.711,1.001,"cov_int_phi"
-0.075,-0.104,-0.074,-0.05,1542.321,1,"cov_psi_phi"
-0.504,-0.665,-0.51,-0.315,1097.721,1,"cor_1"
0.089,-0.491,0.111,0.58,130.699,1.004,"cor_2"
-0.49,-0.911,-0.561,0.235,132.278,1.006,"cor_3"
0.516,0.382,0.518,0.632,1682.633,1,"cor_4"
-0.558,-0.675,-0.564,-0.416,1734.161,1,"cor_5"
0.1,-0.862,0.155,0.872,72.978,1.005,"cor_6"
-0.074,-0.112,-0.073,-0.043,1134.912,1,"cov_1"
0.005,-0.036,0.005,0.05,114.901,1.005,"cov_2"
-0.023,-0.067,-0.022,0.017,111.81,1.005,"cov_3"
0.196,0.13,0.195,0.27,1520,1.001,"cov_4"
-0.187,-0.255,-0.186,-0.127,1876.111,1,"cov_5"
0.013,-0.164,0.015,0.196,86.465,1.006,"cov_6"
0.613,0.582,0.613,0.646,5768.744,1,"Sigma2_e"
0.098,0.093,0.098,0.103,8545.649,1,"Sigma2_ex"
899.005,842.236,899.016,954.378,779.62,1.002,"lp__"
0.998,0.906,0.999,1.087,925.215,1,"B_0"
0.026,-0.104,0.025,0.155,879.441,1.001,"B_x"
0.355,0.197,0.351,0.537,43.511,1.026,"psi"
0.156,0.118,0.155,0.2,1988.463,1,"Sigma2_intercept"
0.111,0.079,0.11,0.152,2180.78,1,"Sigma2_psi"
0.848,0.693,0.842,1.035,2101.516,1,"Sigma2_x"
0.126,0.057,0.112,0.294,44.452,1.029,"Sigma2_phi"
0.013,0,0.01,0.053,394.499,1.008,"Sigma2_epsilon"
-0.04,-0.073,-0.04,-0.01,1058.857,1.001,"cov_int_psi"
0.059,0.032,0.059,0.09,1971.222,1.001,"cov_int_phi"
-0.045,-0.073,-0.045,-0.022,1780.368,1,"cov_psi_phi"
-0.303,-0.508,-0.308,-0.077,843.507,1.001,"cor_1"
-0.312,-0.839,-0.344,0.344,93.159,1.007,"cor_2"
-0.217,-0.755,-0.224,0.381,158.149,1.015,"cor_3"
0.554,0.427,0.556,0.665,1728.676,1,"cor_4"
-0.356,-0.509,-0.358,-0.193,1718.141,1,"cor_5"
-0.036,-0.886,-0.024,0.8,32.025,1.027,"cor_6"
-0.04,-0.073,-0.04,-0.01,1058.857,1.001,"cov_1"
-0.012,-0.052,-0.011,0.018,48.007,1.022,"cov_2"
-0.007,-0.03,-0.006,0.016,129.585,1.02,"cov_3"
0.201,0.143,0.199,0.272,1878.464,1,"cov_4"
-0.109,-0.17,-0.108,-0.057,2040.385,1,"cov_5"
-0.006,-0.16,-0.001,0.114,36.434,1.032,"cov_6"
0.605,0.572,0.604,0.639,5573.016,1,"Sigma2_e"
0.104,0.099,0.104,0.109,8422.033,1,"Sigma2_ex"
821.216,766.028,821.612,875.157,962.616,1,"lp__"
1.078,0.986,1.079,1.159,867.366,1.002,"B_0"
-0.02,-0.159,-0.019,0.109,917.048,1.001,"B_x"
0.286,0.104,0.285,0.477,36.048,1,"psi"
0.179,0.134,0.177,0.237,949.378,1,"Sigma2_intercept"
0.091,0.064,0.09,0.125,964.496,1.001,"Sigma2_psi"
0.947,0.783,0.94,1.146,1226.074,1.002,"Sigma2_x"
0.103,0.037,0.082,0.292,196.643,1,"Sigma2_phi"
0.015,0,0.007,0.081,219.896,1,"Sigma2_epsilon"
-0.076,-0.107,-0.076,-0.05,898.326,1,"cov_int_psi"
0.058,0.032,0.057,0.089,1067.037,1,"cov_int_phi"
-0.058,-0.083,-0.057,-0.038,494.128,1.004,"cov_psi_phi"
-0.601,-0.742,-0.607,-0.431,944.602,1.002,"cor_1"
-0.251,-0.773,-0.317,0.53,34.514,1.01,"cor_2"
-0.178,-0.853,-0.193,0.569,50.409,1.009,"cor_3"
0.577,0.457,0.58,0.677,1262.707,1,"cor_4"
-0.644,-0.761,-0.647,-0.509,919.521,1.004,"cor_5"
-0.191,-0.933,-0.304,0.891,16.647,1.026,"cor_6"
-0.076,-0.107,-0.076,-0.05,898.326,1,"cov_1"
-0.01,-0.058,-0.008,0.032,41.83,1,"cov_2"
-0.004,-0.04,-0.003,0.032,48.574,1,"cov_3"
0.238,0.17,0.236,0.317,1133.332,1,"cov_4"
-0.188,-0.256,-0.186,-0.134,829.443,1.001,"cov_5"
-0.019,-0.196,-0.017,0.141,32.963,1,"cov_6"
0.608,0.577,0.608,0.641,3610.775,1,"Sigma2_e"
0.105,0.099,0.105,0.11,3930.278,1.001,"Sigma2_ex"
799.49,746.032,799.778,851.404,641.518,1.001,"lp__"
0.989,0.899,0.99,1.073,941.307,1.002,"B_0"
0.012,-0.117,0.014,0.136,956.006,1.003,"B_x"
0.254,-0.01,0.257,0.491,47.818,1.002,"psi"
0.167,0.126,0.165,0.217,1463.914,1,"Sigma2_intercept"
0.094,0.064,0.092,0.131,2025.697,1,"Sigma2_psi"
0.826,0.678,0.821,1.007,1894.952,1.002,"Sigma2_x"
0.095,0.035,0.072,0.278,188.288,1.006,"Sigma2_phi"
0.029,0.005,0.02,0.113,380.43,1.003,"Sigma2_epsilon"
-0.051,-0.083,-0.051,-0.022,1141.363,1.002,"cov_int_psi"
0.053,0.027,0.052,0.083,1259.013,1.002,"cov_int_phi"
-0.054,-0.079,-0.054,-0.033,1063.232,1.004,"cov_psi_phi"
-0.412,-0.602,-0.417,-0.186,1122.459,1.002,"cor_1"
0,-0.546,-0.005,0.555,54.295,1.001,"cor_2"
