"mean","2.5%","50%","97.5%","n_eff","Rhat","Parameter"
0.991,0.859,0.99,1.123,758.19,1,"B_0"
0.159,0.115,0.156,0.219,975.355,1.002,"Sigma2_intercept"
0.102,0.072,0.1,0.139,1383.541,1.001,"Sigma2_phi"
0.64,0.47,0.645,0.776,1305.003,1,"cor_2"
0.081,0.052,0.08,0.119,995.954,1.001,"cov_int_phi"
0.081,0.052,0.08,0.119,995.954,1.001,"cov_2"
0.659,0.625,0.659,0.694,3715.571,1,"Sigma2_e"
-1035.369,-1064.004,-1035.107,-1007.719,871.648,1.001,"lp__"
1.028,0.896,1.028,1.162,1175.864,1.006,"B_0"
0.174,0.126,0.171,0.238,1206.375,1.001,"Sigma2_intercept"
0.117,0.083,0.116,0.164,1696.523,1.002,"Sigma2_phi"
0.507,0.311,0.514,0.667,1361.193,1.003,"cor_2"
0.072,0.041,0.071,0.111,1261.133,1.004,"cov_int_phi"
0.072,0.041,0.071,0.111,1261.133,1.004,"cov_2"
0.68,0.647,0.68,0.714,5490.454,1,"Sigma2_e"
-1084.241,-1113.578,-1083.82,-1056.636,825.036,1,"lp__"
1.024,0.885,1.025,1.162,1088.133,1,"B_0"
0.215,0.156,0.212,0.291,1223.816,1,"Sigma2_intercept"
0.111,0.078,0.109,0.154,1649.112,1,"Sigma2_phi"
0.504,0.308,0.509,0.668,1759.365,1,"cor_2"
0.078,0.042,0.077,0.121,1509.359,1.001,"cov_int_phi"
0.078,0.042,0.077,0.121,1509.359,1.001,"cov_2"
0.78,0.74,0.779,0.822,6110.775,1,"Sigma2_e"
-1303.574,-1332.019,-1303.06,-1276.461,967.406,1,"lp__"
0.918,0.782,0.919,1.052,959.989,1.002,"B_0"
0.231,0.171,0.228,0.313,1117.57,1,"Sigma2_intercept"
0.099,0.069,0.097,0.137,1719.168,1,"Sigma2_phi"
0.507,0.307,0.513,0.673,1361.086,1,"cor_2"
0.077,0.042,0.075,0.118,1341.217,1,"cov_int_phi"
0.077,0.042,0.075,0.118,1341.217,1,"cov_2"
0.715,0.679,0.715,0.752,5726.184,1,"Sigma2_e"
-1165.845,-1195.9,-1165.471,-1138.759,950.308,1,"lp__"
0.974,0.83,0.976,1.117,369.674,1.011,"B_0"
0.2,0.147,0.197,0.268,684.172,1,"Sigma2_intercept"
0.107,0.075,0.105,0.146,973.253,1.001,"Sigma2_phi"
0.643,0.481,0.649,0.776,846.494,1,"cor_2"
0.094,0.061,0.093,0.136,632.341,1,"cov_int_phi"
0.094,0.061,0.093,0.136,632.341,1,"cov_2"
0.713,0.677,0.712,0.751,3545.449,1,"Sigma2_e"
-1160.607,-1189.677,-1160.379,-1134.056,756.097,1,"lp__"
1.018,0.887,1.017,1.152,413.981,1.001,"B_0"
0.192,0.139,0.188,0.26,606.479,1.008,"Sigma2_intercept"
0.092,0.064,0.09,0.128,1302.743,1.003,"Sigma2_phi"
0.557,0.375,0.56,0.713,810.4,1,"cor_2"
0.074,0.044,0.072,0.112,637.017,1.003,"cov_int_phi"
0.074,0.044,0.072,0.112,637.017,1.003,"cov_2"
0.733,0.697,0.732,0.771,4768.845,1,"Sigma2_e"
-1205.575,-1235.083,-1205.144,-1178.185,837.088,1.012,"lp__"
0.941,0.796,0.941,1.085,1043.063,1.001,"B_0"
0.172,0.125,0.169,0.233,1527.104,1,"Sigma2_intercept"
0.149,0.107,0.147,0.205,1466.939,1,"Sigma2_phi"
0.618,0.455,0.622,0.756,1413.598,1,"cor_2"
0.099,0.063,0.098,0.145,1243.217,1,"cov_int_phi"
0.099,0.063,0.098,0.145,1243.217,1,"cov_2"
0.677,0.643,0.677,0.713,6878.719,1,"Sigma2_e"
-1078.669,-1107.369,-1078.149,-1052.703,815.334,1,"lp__"
1.018,0.907,1.017,1.128,503.204,1.002,"B_0"
0.168,0.121,0.165,0.228,797.29,1.002,"Sigma2_intercept"
0.064,0.044,0.063,0.091,1438.497,1.001,"Sigma2_phi"
0.337,0.112,0.342,0.545,1054.761,1,"cor_2"
0.035,0.011,0.034,0.063,940.053,1,"cov_int_phi"
0.035,0.011,0.034,0.063,940.053,1,"cov_2"
0.624,0.592,0.624,0.655,4593.24,1,"Sigma2_e"
-946.186,-976.802,-945.872,-918.094,774.361,1.005,"lp__"
0.996,0.86,0.997,1.125,397.318,1.001,"B_0"
0.169,0.122,0.166,0.229,520.079,1.008,"Sigma2_intercept"
0.08,0.055,0.079,0.113,1404.949,1,"Sigma2_phi"
0.608,0.428,0.616,0.75,1103.963,1.001,"cor_2"
0.071,0.044,0.07,0.105,633.126,1.003,"cov_int_phi"
0.071,0.044,0.07,0.105,633.126,1.003,"cov_2"
0.713,0.678,0.712,0.75,4885.882,1,"Sigma2_e"
-1161.002,-1189.826,-1160.43,-1134.973,749.546,1,"lp__"
0.911,0.763,0.91,1.061,1124.203,1,"B_0"
0.245,0.178,0.242,0.332,1131.051,1.002,"Sigma2_intercept"
0.137,0.099,0.135,0.186,1563.771,1,"Sigma2_phi"
0.528,0.348,0.534,0.682,1481.81,1,"cor_2"
0.097,0.056,0.096,0.148,1215.16,1,"cov_int_phi"
0.097,0.056,0.096,0.148,1215.16,1,"cov_2"
0.715,0.681,0.715,0.75,8623.368,1,"Sigma2_e"
-1165.258,-1194.234,-1164.986,-1137.716,825.045,1.004,"lp__"
0.944,0.793,0.943,1.102,1084.531,1.001,"B_0"
0.202,0.148,0.198,0.273,1362.109,1,"Sigma2_intercept"
0.161,0.116,0.158,0.219,1590.18,1,"Sigma2_phi"
0.604,0.446,0.61,0.738,1263.592,1,"cor_2"
0.109,0.068,0.107,0.158,1184.77,1,"cov_int_phi"
0.109,0.068,0.107,0.158,1184.77,1,"cov_2"
0.693,0.659,0.693,0.729,7378.105,1,"Sigma2_e"
-1115.178,-1143.417,-1115.023,-1088.812,922.055,1,"lp__"
1.03,0.884,1.03,1.176,837.43,1,"B_0"
0.218,0.158,0.215,0.297,1259.12,1,"Sigma2_intercept"
0.118,0.084,0.116,0.164,1654.068,1.001,"Sigma2_phi"
0.557,0.386,0.561,0.705,1524.982,1,"cor_2"
0.089,0.055,0.088,0.134,1284.334,1.001,"cov_int_phi"
0.089,0.055,0.088,0.134,1284.334,1.001,"cov_2"
0.694,0.659,0.693,0.73,6795.852,1,"Sigma2_e"
-1116.307,-1145.017,-1115.888,-1090.298,873.493,1,"lp__"
1.173,1.061,1.172,1.29,536.596,1.002,"B_0"
0.151,0.107,0.148,0.211,824.269,1,"Sigma2_intercept"
0.062,0.042,0.061,0.089,1758.406,1,"Sigma2_phi"
0.575,0.369,0.583,0.737,1199.714,1,"cor_2"
0.056,0.031,0.055,0.085,998.991,1,"cov_int_phi"
0.056,0.031,0.055,0.085,998.991,1,"cov_2"
0.711,0.676,0.71,0.75,5133.717,1,"Sigma2_e"
-1156.177,-1184.889,-1156.036,-1128.855,812.695,1,"lp__"
0.958,0.821,0.96,1.084,425.76,1,"B_0"
0.248,0.182,0.245,0.329,609.022,1,"Sigma2_intercept"
0.091,0.063,0.09,0.126,1097.303,1,"Sigma2_phi"
0.442,0.244,0.446,0.614,814.97,1,"cor_2"
0.066,0.033,0.065,0.106,629.489,1,"cov_int_phi"
0.066,0.033,0.065,0.106,629.489,1,"cov_2"
0.692,0.657,0.692,0.728,4259.267,1,"Sigma2_e"
-1112.309,-1142.547,-1111.787,-1085.827,755.743,1,"lp__"
1.039,0.905,1.039,1.174,1144.443,1,"B_0"
0.202,0.146,0.199,0.278,1083.152,1.001,"Sigma2_intercept"
0.104,0.073,0.102,0.145,1605.329,1,"Sigma2_phi"
0.464,0.266,0.468,0.639,1464.437,1,"cor_2"
0.067,0.035,0.066,0.107,1143.521,1.001,"cov_int_phi"
0.067,0.035,0.066,0.107,1143.521,1.001,"cov_2"
0.701,0.667,0.701,0.738,9745.286,1,"Sigma2_e"
