"mean","2.5%","50%","97.5%","n_eff","Rhat","Parameter"
1.095,0.957,1.096,1.233,2303.25,1.001,"B_0"
0.133,-0.074,0.132,0.347,1858.994,1.001,"B_x"
0.271,0.004,0.272,0.532,195.933,1.021,"psi"
0.185,0.112,0.182,0.277,1989.511,1,"Sigma2_intercept"
0.104,0.055,0.101,0.169,1732.773,1,"Sigma2_psi"
1.211,0.921,1.194,1.598,1545.319,1.002,"Sigma2_x"
0.161,0.053,0.127,0.468,457.447,1.014,"Sigma2_phi"
0.051,0.001,0.039,0.18,819.775,1.001,"Sigma2_epsilon"
-0.062,-0.112,-0.061,-0.017,1807.177,1,"cov_int_psi"
0.064,0.014,0.063,0.12,2545.229,1,"cov_int_phi"
-0.06,-0.108,-0.059,-0.021,1946.174,1,"cov_psi_phi"
-0.456,-0.731,-0.468,-0.129,1587.025,1,"cor_1"
-0.027,-0.665,-0.018,0.583,472.8,1.01,"cor_2"
-0.133,-0.771,-0.152,0.573,542.787,1.009,"cor_3"
0.504,0.299,0.51,0.676,2072.784,1,"cor_4"
-0.549,-0.756,-0.557,-0.291,1101.408,1,"cor_5"
0.05,-0.826,0.071,0.845,145.199,1.029,"cor_6"
-0.062,-0.112,-0.061,-0.017,1807.177,1,"cov_1"
-0.001,-0.068,-0.001,0.069,328.501,1.015,"cov_2"
-0.008,-0.067,-0.007,0.047,379.218,1.013,"cov_3"
0.238,0.122,0.235,0.374,2587.969,1,"cov_4"
-0.192,-0.3,-0.19,-0.097,2107.62,1,"cov_5"
0.011,-0.291,0.008,0.313,172.792,1.025,"cov_6"
0.566,0.503,0.565,0.638,2242.831,1,"Sigma2_e"
0.1,0.09,0.1,0.111,6138.045,1,"Sigma2_ex"
141.295,97.402,141.289,182.802,775.104,1.002,"lp__"
1.151,1.032,1.152,1.261,980.302,1.003,"B_0"
0.245,0.041,0.242,0.458,762.752,1.006,"B_x"
0.203,-0.053,0.203,0.456,210.576,1.003,"psi"
0.128,0.074,0.125,0.196,1735.046,1,"Sigma2_intercept"
0.055,0.022,0.052,0.1,1528.262,1.006,"Sigma2_psi"
1.114,0.84,1.1,1.461,1856.514,1.001,"Sigma2_x"
0.098,0.026,0.069,0.359,449.887,1,"Sigma2_phi"
0.035,0.001,0.023,0.156,556.291,1,"Sigma2_epsilon"
-0.037,-0.074,-0.036,-0.006,1036.659,1.002,"cov_int_psi"
0.035,-0.006,0.034,0.08,817.282,1.003,"cov_int_phi"
-0.045,-0.078,-0.043,-0.02,1255.285,1,"cov_psi_phi"
-0.453,-0.777,-0.46,-0.083,956.922,1.008,"cor_1"
-0.317,-0.901,-0.367,0.494,404.653,1,"cor_2"
-0.233,-0.889,-0.272,0.625,486.176,1.001,"cor_3"
0.681,0.477,0.69,0.84,588.158,1.003,"cor_4"
-0.729,-0.934,-0.739,-0.461,508.635,1.005,"cor_5"
-0.011,-0.874,-0.013,0.869,196.243,1.002,"cor_6"
-0.037,-0.074,-0.036,-0.006,1036.659,1.002,"cov_1"
-0.017,-0.09,-0.015,0.046,311.416,1.001,"cov_2"
-0.009,-0.058,-0.007,0.034,267.884,1.003,"cov_3"
0.256,0.155,0.252,0.384,1004.163,1.001,"cov_4"
-0.176,-0.273,-0.172,-0.097,1588.848,1,"cov_5"
-0.001,-0.283,-0.002,0.272,196.996,1.002,"cov_6"
0.625,0.559,0.623,0.698,2963.038,1.001,"Sigma2_e"
0.103,0.093,0.103,0.115,6236.727,1,"Sigma2_ex"
88.657,50.116,88.713,125.589,951.727,1.008,"lp__"
0.809,0.662,0.81,0.956,1443.645,1.004,"B_0"
-0.103,-0.281,-0.104,0.078,1510.527,1.002,"B_x"
0.339,0.138,0.345,0.509,196.913,1.001,"psi"
0.209,0.136,0.205,0.306,1589.333,1.003,"Sigma2_intercept"
0.078,0.033,0.074,0.138,1471.17,1.001,"Sigma2_psi"
0.872,0.661,0.86,1.157,1622.075,1,"Sigma2_x"
0.122,0.051,0.112,0.265,385.411,1.003,"Sigma2_phi"
0.014,0,0.007,0.065,856.21,1.001,"Sigma2_epsilon"
-0.068,-0.118,-0.066,-0.024,2039.121,1,"cov_int_psi"
0.084,0.038,0.082,0.142,1808.474,1.001,"cov_int_phi"
-0.055,-0.098,-0.054,-0.021,1174.561,1,"cov_psi_phi"
-0.542,-0.804,-0.553,-0.207,1855.871,1,"cor_1"
0.227,-0.601,0.262,0.855,857.416,1.002,"cor_2"
-0.223,-0.885,-0.281,0.655,1419.971,1,"cor_3"
0.497,0.284,0.504,0.667,1619.93,1,"cor_4"
-0.551,-0.8,-0.565,-0.253,641.097,1,"cor_5"
0.063,-0.839,0.072,0.899,88.931,1.003,"cor_6"
-0.068,-0.118,-0.066,-0.024,2039.121,1,"cov_1"
0.012,-0.025,0.007,0.066,383.244,1.003,"cov_2"
-0.007,-0.044,-0.004,0.018,649.133,1,"cov_3"
0.212,0.112,0.21,0.333,1852.016,1,"cov_4"
-0.141,-0.236,-0.138,-0.06,1153.645,1,"cov_5"
0.009,-0.118,0.002,0.171,142.996,1.003,"cov_6"
0.563,0.504,0.563,0.627,3188.248,1,"Sigma2_e"
0.108,0.097,0.108,0.121,5250.061,1,"Sigma2_ex"
111.031,72.729,111.447,148.652,740.762,1,"lp__"
1.018,0.859,1.021,1.166,1526.561,1.002,"B_0"
0.029,-0.188,0.027,0.242,1178.497,1.002,"B_x"
0.325,0.107,0.329,0.544,188.426,1.005,"psi"
0.174,0.102,0.17,0.267,1654.764,1,"Sigma2_intercept"
0.119,0.07,0.117,0.184,2653.847,1,"Sigma2_psi"
1.224,0.924,1.207,1.614,2108.96,1,"Sigma2_x"
0.17,0.063,0.144,0.442,372.514,1.001,"Sigma2_phi"
0.027,0,0.013,0.119,747.202,1,"Sigma2_epsilon"
-0.072,-0.13,-0.07,-0.024,1160.973,1.001,"cov_int_psi"
0.097,0.046,0.094,0.165,1487.573,1.001,"cov_int_phi"
-0.073,-0.124,-0.071,-0.034,2036.616,1,"cov_psi_phi"
-0.505,-0.77,-0.513,-0.181,972.424,1.001,"cor_1"
0.057,-0.737,0.072,0.787,590.885,1,"cor_2"
-0.115,-0.784,-0.138,0.659,526.869,1,"cor_3"
0.623,0.435,0.63,0.783,1370.503,1,"cor_4"
-0.546,-0.733,-0.553,-0.326,1802.962,1,"cor_5"
0.053,-0.87,0.067,0.878,114.763,1.001,"cor_6"
-0.072,-0.13,-0.07,-0.024,1160.973,1.001,"cov_1"
0.004,-0.058,0.002,0.066,295.203,1.002,"cov_2"
-0.006,-0.056,-0.003,0.04,297.108,1.002,"cov_3"
0.286,0.171,0.282,0.428,1609.91,1,"cov_4"
-0.208,-0.327,-0.204,-0.112,2306.777,1,"cov_5"
0.01,-0.221,0.003,0.249,169.144,1.002,"cov_6"
0.6,0.535,0.599,0.673,3578.819,1,"Sigma2_e"
0.103,0.093,0.103,0.115,5518.708,1,"Sigma2_ex"
105.292,65.185,105.559,145.744,794.78,1.001,"lp__"
1.144,0.993,1.147,1.285,1500.972,1.001,"B_0"
0.138,-0.066,0.138,0.341,1281.144,1,"B_x"
0.297,0.007,0.3,0.552,226.32,1.001,"psi"
0.164,0.099,0.16,0.256,1836.218,1,"Sigma2_intercept"
0.098,0.052,0.095,0.16,1698.315,1,"Sigma2_psi"
1.164,0.888,1.149,1.517,2248.159,1,"Sigma2_x"
0.171,0.059,0.136,0.483,474.919,1,"Sigma2_phi"
0.047,0.001,0.032,0.179,675.056,1,"Sigma2_epsilon"
-0.077,-0.132,-0.076,-0.032,1220.27,1,"cov_int_psi"
0.086,0.037,0.084,0.148,1501.836,1,"cov_int_phi"
-0.071,-0.121,-0.07,-0.032,1613.469,1.002,"cov_psi_phi"
-0.616,-0.861,-0.631,-0.286,1106.193,1,"cor_1"
-0.044,-0.725,-0.05,0.663,370.751,1.002,"cor_2"
-0.337,-0.855,-0.392,0.383,508.836,1,"cor_3"
0.678,0.504,0.685,0.818,1382.98,1,"cor_4"
-0.513,-0.731,-0.52,-0.262,1355.397,1.002,"cor_5"
0.038,-0.832,0.046,0.874,169.769,1.007,"cor_6"
-0.077,-0.132,-0.076,-0.032,1220.27,1,"cov_1"
-0.002,-0.078,-0.002,0.082,295.797,1.001,"cov_2"
-0.02,-0.077,-0.017,0.026,340.768,1,"cov_3"
0.296,0.186,0.291,0.439,1986.927,1,"cov_4"
-0.172,-0.28,-0.169,-0.079,1952.654,1.001,"cov_5"
0.012,-0.262,0.005,0.331,205.409,1.002,"cov_6"
0.567,0.505,0.566,0.637,2292.51,1,"Sigma2_e"
0.1,0.09,0.1,0.112,6554.328,1,"Sigma2_ex"
138.912,96.109,139.477,178.644,725.576,1.001,"lp__"
