"mean","2.5%","50%","97.5%","n_eff","Rhat","Parameter"
0.887,0.695,0.885,1.072,909.457,1,"B_0"
0.203,0.121,0.195,0.324,1288.025,1,"Sigma2_intercept"
0.094,0.044,0.09,0.164,2075.132,1,"Sigma2_phi"
0.411,0.079,0.42,0.701,1559.837,1.005,"cor_2"
0.056,0.01,0.054,0.118,1378.487,1.002,"cov_int_phi"
0.056,0.01,0.054,0.118,1378.487,1.002,"cov_2"
0.731,0.657,0.73,0.809,5519.931,1,"Sigma2_e"
-326.405,-347.52,-326.237,-306.803,966.97,1.001,"lp__"
0.917,0.681,0.913,1.157,818.811,1.002,"B_0"
0.227,0.133,0.219,0.368,1261.098,1.001,"Sigma2_intercept"
0.197,0.116,0.191,0.323,1461.889,1.001,"Sigma2_phi"
0.595,0.327,0.605,0.811,996.207,1,"cor_2"
0.125,0.058,0.12,0.22,989.998,1.001,"cov_int_phi"
0.125,0.058,0.12,0.22,989.998,1.001,"cov_2"
0.784,0.707,0.782,0.868,4371.534,1,"Sigma2_e"
-353.708,-376.149,-353.147,-333.854,766.766,1,"lp__"
0.945,0.749,0.946,1.147,867.176,1,"B_0"
0.209,0.124,0.202,0.326,1076.247,1.001,"Sigma2_intercept"
0.103,0.054,0.099,0.176,1752.793,1.005,"Sigma2_phi"
0.444,0.115,0.45,0.709,1494.641,1,"cor_2"
0.065,0.015,0.062,0.127,1277.76,1,"cov_int_phi"
0.065,0.015,0.062,0.127,1277.76,1,"cov_2"
0.703,0.633,0.702,0.782,4207.803,1,"Sigma2_e"
-310.485,-332.087,-310.19,-290.72,952.262,1.01,"lp__"
0.895,0.721,0.897,1.063,1848.255,1,"B_0"
0.128,0.07,0.123,0.214,1568.943,1,"Sigma2_intercept"
0.099,0.052,0.095,0.169,1801.001,1,"Sigma2_phi"
0.455,0.101,0.47,0.744,1498.195,1,"cor_2"
0.051,0.01,0.049,0.102,1361.936,1.001,"cov_int_phi"
0.051,0.01,0.049,0.102,1361.936,1.001,"cov_2"
0.685,0.616,0.683,0.763,5720.294,1,"Sigma2_e"
-300.356,-322.017,-300.019,-280.3,853.144,1.001,"lp__"
1.096,0.905,1.096,1.284,1264.714,1,"B_0"
0.201,0.12,0.193,0.32,1468,1.001,"Sigma2_intercept"
0.073,0.031,0.069,0.133,2279.558,1,"Sigma2_phi"
0.623,0.289,0.639,0.874,1973.753,1,"cor_2"
0.074,0.027,0.071,0.133,1742.564,1,"cov_int_phi"
0.074,0.027,0.071,0.133,1742.564,1,"cov_2"
0.775,0.697,0.773,0.861,4887.517,1,"Sigma2_e"
-350.258,-372.216,-349.979,-330.499,849.158,1.001,"lp__"
1.02,0.809,1.021,1.227,1064.95,1,"B_0"
0.203,0.123,0.197,0.32,1544.825,1.001,"Sigma2_intercept"
0.131,0.072,0.127,0.215,1746.215,1,"Sigma2_phi"
0.661,0.37,0.676,0.859,1632.202,1,"cor_2"
0.107,0.051,0.104,0.183,1501.874,1,"cov_int_phi"
0.107,0.051,0.104,0.183,1501.874,1,"cov_2"
0.684,0.617,0.682,0.757,5254.601,1,"Sigma2_e"
-300.074,-321.356,-299.699,-280.58,950.331,1,"lp__"
0.981,0.776,0.982,1.186,888.201,1,"B_0"
0.237,0.145,0.23,0.368,1436.069,1,"Sigma2_intercept"
0.099,0.05,0.095,0.169,1908.051,1.001,"Sigma2_phi"
0.555,0.254,0.567,0.793,1887.481,1,"cor_2"
0.084,0.034,0.082,0.15,1778.409,1,"cov_int_phi"
0.084,0.034,0.082,0.15,1778.409,1,"cov_2"
0.679,0.613,0.678,0.753,5048.94,1,"Sigma2_e"
-297.346,-318.389,-296.888,-278.501,839.143,1,"lp__"
1.058,0.868,1.059,1.237,874.362,1.001,"B_0"
0.172,0.1,0.167,0.278,1460.055,1,"Sigma2_intercept"
0.133,0.073,0.129,0.226,1591.466,1,"Sigma2_phi"
0.278,-0.065,0.284,0.584,1146.743,1.001,"cor_2"
0.042,-0.011,0.04,0.103,1127.037,1.001,"cov_int_phi"
0.042,-0.011,0.04,0.103,1127.037,1.001,"cov_2"
0.736,0.664,0.735,0.816,4344.4,1,"Sigma2_e"
-328.926,-351.364,-328.576,-309.518,980.649,1,"lp__"
0.832,0.604,0.831,1.061,834.654,1,"B_0"
0.178,0.106,0.173,0.28,1125.346,1.002,"Sigma2_intercept"
0.193,0.113,0.187,0.303,1110.361,1.005,"Sigma2_phi"
0.682,0.43,0.695,0.864,995.969,1,"cor_2"
0.126,0.067,0.121,0.21,919.754,1.003,"cov_int_phi"
0.126,0.067,0.121,0.21,919.754,1.003,"cov_2"
0.649,0.588,0.649,0.717,3848.338,1.001,"Sigma2_e"
-279.191,-302.164,-278.894,-259.117,669.827,1.006,"lp__"
0.989,0.807,0.988,1.171,1210.542,1,"B_0"
0.147,0.085,0.141,0.239,1559.79,1.002,"Sigma2_intercept"
0.106,0.055,0.102,0.18,1550.164,1,"Sigma2_phi"
0.533,0.204,0.548,0.78,1473.127,1,"cor_2"
0.066,0.021,0.065,0.123,1323.069,1,"cov_int_phi"
0.066,0.021,0.065,0.123,1323.069,1,"cov_2"
0.662,0.595,0.661,0.736,5323.4,1,"Sigma2_e"
-286.708,-308.291,-286.423,-266.227,782.761,1.003,"lp__"
0.916,0.711,0.918,1.117,1102.866,1.005,"B_0"
0.195,0.115,0.189,0.315,1637.56,1.001,"Sigma2_intercept"
0.135,0.073,0.13,0.226,1992.608,1,"Sigma2_phi"
0.548,0.216,0.567,0.789,1723.586,1,"cor_2"
0.088,0.031,0.086,0.158,1682.018,1,"cov_int_phi"
0.088,0.031,0.086,0.158,1682.018,1,"cov_2"
0.801,0.722,0.8,0.89,5596.313,1,"Sigma2_e"
-363.377,-385.752,-362.923,-343.295,930.43,1,"lp__"
1.136,0.968,1.135,1.306,1182.984,1,"B_0"
0.191,0.113,0.184,0.31,1370.257,1,"Sigma2_intercept"
0.053,0.02,0.051,0.104,1767.724,1.001,"Sigma2_phi"
0.405,-0.009,0.416,0.745,1785.242,1,"cor_2"
0.04,-0.001,0.039,0.088,1779.143,1,"cov_int_phi"
0.04,-0.001,0.039,0.088,1779.143,1,"cov_2"
0.683,0.614,0.682,0.755,5363.034,1,"Sigma2_e"
-299.012,-321.156,-298.489,-279.253,907.543,1.006,"lp__"
1.001,0.777,1,1.241,815.346,1,"B_0"
0.306,0.191,0.297,0.475,1260.368,1,"Sigma2_intercept"
0.109,0.059,0.104,0.186,1958.863,1.006,"Sigma2_phi"
0.627,0.349,0.637,0.84,1947.097,1.003,"cor_2"
0.114,0.052,0.111,0.194,1529.182,1.006,"cov_int_phi"
0.114,0.052,0.111,0.194,1529.182,1.006,"cov_2"
0.748,0.673,0.746,0.83,5569.908,1,"Sigma2_e"
-336.146,-356.929,-335.853,-317.088,1017.119,1.002,"lp__"
1.023,0.858,1.022,1.186,1277.652,1,"B_0"
0.125,0.069,0.12,0.209,1631.814,1,"Sigma2_intercept"
0.094,0.049,0.09,0.161,1478.386,1,"Sigma2_phi"
0.385,0.025,0.396,0.69,1485.929,1,"cor_2"
0.041,0.003,0.04,0.089,1559.507,1,"cov_int_phi"
0.041,0.003,0.04,0.089,1559.507,1,"cov_2"
0.596,0.537,0.596,0.661,5432.686,1,"Sigma2_e"
-245.372,-267.793,-244.91,-225.14,776.363,1,"lp__"
0.914,0.677,0.912,1.15,651.524,1.003,"B_0"
0.285,0.175,0.277,0.44,1204.056,1.001,"Sigma2_intercept"
0.135,0.073,0.13,0.22,1608.239,1,"Sigma2_phi"
0.801,0.579,0.813,0.951,1298.677,1,"cor_2"
0.156,0.088,0.151,0.253,1101.323,1.001,"cov_int_phi"
0.156,0.088,0.151,0.253,1101.323,1.001,"cov_2"
0.786,0.711,0.785,0.872,4418.972,1,"Sigma2_e"
-357.361,-378.823,-356.961,-338.418,905.805,1,"lp__"
1.098,0.913,1.099,1.284,1246.176,1,"B_0"
0.178,0.104,0.173,0.289,1628.559,1,"Sigma2_intercept"
0.088,0.041,0.084,0.159,1974.21,1.001,"Sigma2_phi"
