"mean","2.5%","50%","97.5%","n_eff","Rhat","Parameter"
0.986,0.859,0.986,1.113,898.638,1,"B_0"
-0.045,-0.22,-0.044,0.135,1375.455,1,"B_x"
0.325,0.16,0.324,0.512,112.041,1,"psi"
0.161,0.117,0.158,0.219,1591.553,1.002,"Sigma2_intercept"
0.825,0.617,0.816,1.086,1365.774,1.002,"Sigma2_x"
0.018,0.003,0.015,0.052,562.519,1.002,"Sigma2_epsilon"
0.111,0.051,0.098,0.257,168.057,1.002,"Sigma2_phi"
0.08,0.052,0.079,0.117,1631.976,1.002,"cov_int_phi"
0.008,-0.033,0.008,0.048,141.233,1,"cov_2"
0.222,0.145,0.218,0.319,1545.391,1.001,"cov_4"
0,-0.144,0.001,0.135,106.653,1,"cov_6"
0.66,0.627,0.66,0.693,6406.723,1,"Sigma2_e"
0.102,0.097,0.102,0.108,8257.95,1,"Sigma2_ex"
958.165,920.862,958.638,993.525,648.297,1.003,"lp__"
1.031,0.907,1.029,1.16,1090.945,1,"B_0"
0.076,-0.12,0.076,0.278,1459.578,1,"B_x"
0.313,0.188,0.313,0.436,106.893,1.005,"psi"
0.173,0.125,0.17,0.236,1615.009,1,"Sigma2_intercept"
1.084,0.831,1.07,1.427,1811.814,1,"Sigma2_x"
0.011,0.001,0.008,0.037,517.926,1,"Sigma2_epsilon"
0.121,0.061,0.112,0.24,111.244,1.004,"Sigma2_phi"
0.072,0.041,0.071,0.11,2138.695,1,"cov_int_phi"
-0.009,-0.045,-0.008,0.024,137.211,1.005,"cov_2"
0.261,0.17,0.257,0.374,1796.403,1,"cov_4"
0,-0.128,0,0.134,101.866,1.005,"cov_6"
0.681,0.648,0.681,0.715,6461.337,1,"Sigma2_e"
0.1,0.096,0.1,0.105,9598.259,1.001,"Sigma2_ex"
938.427,902.041,939.027,972.956,792.128,1.005,"lp__"
1.023,0.879,1.025,1.16,565.219,1,"B_0"
-0.062,-0.263,-0.06,0.137,684.972,1,"B_x"
0.303,0.187,0.303,0.419,58.18,1.013,"psi"
0.213,0.154,0.21,0.29,985.658,1.001,"Sigma2_intercept"
1.036,0.783,1.023,1.362,1277.938,1.008,"Sigma2_x"
0.011,0,0.009,0.032,572.82,1,"Sigma2_epsilon"
0.109,0.057,0.102,0.206,67.782,1.021,"Sigma2_phi"
0.079,0.046,0.078,0.12,1265.985,1.002,"cov_int_phi"
-0.007,-0.043,-0.006,0.027,92.773,1.01,"cov_2"
0.286,0.187,0.282,0.41,1018.725,1.002,"cov_4"
0.009,-0.105,0.008,0.123,55.64,1.014,"cov_6"
0.781,0.744,0.781,0.821,4974.216,1,"Sigma2_e"
0.101,0.096,0.101,0.106,4711.975,1,"Sigma2_ex"
705.562,668.76,705.872,740.203,873.055,1,"lp__"
0.922,0.784,0.921,1.057,661.879,1.001,"B_0"
