"mean","2.5%","50%","97.5%","n_eff","Rhat","Parameter"
1.004,0.949,1.004,1.059,2492.745,1,"B_0"
0.302,0.269,0.302,0.336,6968.974,1,"psi"
0.223,0.18,0.222,0.27,1520.773,1,"Sigma2_intercept"
0.005,0,0.004,0.02,725.866,1.001,"Sigma2_epsilon"
0.096,0.077,0.095,0.119,2428.788,1,"Sigma2_phi"
1.027,1.027,1.027,1.027,0.5,1,"Sigma2_x"
0.054,0.035,0.054,0.07,3543.511,1,"cov_int_phi"
-0.007,-0.026,-0.006,0.008,3226.695,1,"cov_2"
0.732,0.694,0.732,0.772,4013.566,1,"Sigma2_e"
-1506.427,-1562.423,-1505.98,-1450.791,704.282,1,"lp__"
0.97,0.916,0.97,1.025,1289.915,1.002,"B_0"
0.272,0.235,0.272,0.309,3080.203,1,"psi"
0.212,0.173,0.211,0.258,1457.65,1.002,"Sigma2_intercept"
0.019,0.001,0.018,0.037,327.609,1.003,"Sigma2_epsilon"
0.081,0.06,0.081,0.104,544.615,1.002,"Sigma2_phi"
0.863,0.863,0.863,0.863,0.5,1,"Sigma2_x"
0.04,0.022,0.04,0.058,3144.627,1.001,"cov_int_phi"
-0.007,-0.027,-0.007,0.012,2249.029,1.001,"cov_2"
0.67,0.634,0.669,0.707,1271.567,1.001,"Sigma2_e"
-1359.585,-1422.621,-1358.854,-1300.607,375.994,1.007,"lp__"
1.001,0.946,1.001,1.056,969.511,1.001,"B_0"
0.265,0.232,0.266,0.297,2101.192,1,"psi"
0.215,0.176,0.214,0.261,1112.839,1,"Sigma2_intercept"
0.011,0,0.01,0.03,416.455,1,"Sigma2_epsilon"
0.086,0.065,0.085,0.11,761.539,1,"Sigma2_phi"
1.017,1.017,1.017,1.017,0.5,1,"Sigma2_x"
0.054,0.037,0.054,0.071,2967.311,1,"cov_int_phi"
0.003,-0.014,0.003,0.022,1753.737,1,"cov_2"
0.701,0.66,0.701,0.739,1580.813,1,"Sigma2_e"
-1433.528,-1491.899,-1433.656,-1372.624,487.442,1,"lp__"
1.031,0.978,1.031,1.086,2086.915,1,"B_0"
0.245,0.211,0.245,0.278,4537.377,1,"psi"
0.183,0.148,0.182,0.225,1733.024,1,"Sigma2_intercept"
0.004,0,0.002,0.016,684.131,1,"Sigma2_epsilon"
0.059,0.044,0.059,0.077,1650.067,1,"Sigma2_phi"
0.885,0.885,0.885,0.885,0.5,1,"Sigma2_x"
0.038,0.025,0.038,0.054,2225,1,"cov_int_phi"
0.004,-0.009,0.003,0.019,1821.204,1,"cov_2"
0.702,0.666,0.702,0.74,3681.122,1,"Sigma2_e"
-1438.913,-1490.688,-1438.189,-1388.923,766.268,1,"lp__"
1.04,0.984,1.04,1.094,2756.705,1.001,"B_0"
0.265,0.231,0.265,0.298,3796.461,1,"psi"
0.211,0.173,0.21,0.255,1752.917,1,"Sigma2_intercept"
0.009,0,0.008,0.026,584.941,1.002,"Sigma2_epsilon"
0.083,0.063,0.082,0.106,1327.046,1.001,"Sigma2_phi"
0.986,0.986,0.986,0.986,0.5,1,"Sigma2_x"
0.053,0.036,0.053,0.072,2728.778,1,"cov_int_phi"
0.01,-0.006,0.009,0.029,2210.767,1,"cov_2"
0.705,0.666,0.705,0.744,3023.355,1,"Sigma2_e"
-1442.426,-1497.371,-1442.852,-1386.638,636.889,1.003,"lp__"
1.001,0.945,1,1.058,1860.598,1,"B_0"
0.245,0.209,0.245,0.281,3202.12,1,"psi"
0.217,0.178,0.216,0.263,1424.392,1,"Sigma2_intercept"
0.007,0,0.005,0.021,626.027,1,"Sigma2_epsilon"
0.065,0.048,0.064,0.085,1447.186,1,"Sigma2_phi"
0.866,0.866,0.866,0.866,0.5,1,"Sigma2_x"
0.058,0.043,0.058,0.076,2157.53,1,"cov_int_phi"
0.011,-0.004,0.011,0.031,1634.899,1,"cov_2"
0.681,0.645,0.681,0.72,2807.778,1,"Sigma2_e"
-1389.885,-1445.655,-1390.047,-1332.932,762.356,1,"lp__"
0.966,0.912,0.966,1.019,1871.934,1.004,"B_0"
0.251,0.217,0.251,0.284,3336.231,1.002,"psi"
0.194,0.157,0.193,0.238,1570.292,1,"Sigma2_intercept"
0.008,0,0.007,0.025,522.018,1.002,"Sigma2_epsilon"
0.074,0.056,0.074,0.096,930.733,1,"Sigma2_phi"
0.977,0.977,0.977,0.977,0.5,1,"Sigma2_x"
0.05,0.035,0.05,0.067,2930.19,1,"cov_int_phi"
0.007,-0.008,0.006,0.024,2118.407,1,"cov_2"
0.683,0.647,0.683,0.722,2741.275,1.001,"Sigma2_e"
-1394.478,-1451.519,-1394.116,-1338.98,707.069,1.002,"lp__"
1.021,0.97,1.022,1.074,696.146,1,"B_0"
0.265,0.232,0.265,0.298,1648.672,1,"psi"
0.186,0.149,0.185,0.227,1073.514,1,"Sigma2_intercept"
0.005,0,0.003,0.02,230.914,1.002,"Sigma2_epsilon"
0.077,0.059,0.077,0.099,562.042,1,"Sigma2_phi"
0.987,0.987,0.987,0.987,0.5,1,"Sigma2_x"
0.048,0.034,0.048,0.065,1733.475,1,"cov_int_phi"
0.003,-0.011,0.002,0.019,1106.787,1,"cov_2"
0.725,0.686,0.725,0.766,1097.061,1,"Sigma2_e"
-1488.288,-1544.186,-1488.676,-1432.463,498.124,1,"lp__"
1.05,0.995,1.051,1.106,1080.57,1,"B_0"
0.253,0.218,0.253,0.287,1899.897,1,"psi"
0.213,0.173,0.212,0.256,1431.612,1,"Sigma2_intercept"
0.005,0,0.004,0.016,651.523,1,"Sigma2_epsilon"
0.08,0.063,0.079,0.1,2120.347,1,"Sigma2_phi"
1.037,1.037,1.037,1.037,0.5,1,"Sigma2_x"
0.071,0.053,0.071,0.091,1210.499,1,"cov_int_phi"
0.016,-0.001,0.015,0.037,935.652,1,"cov_2"
0.697,0.66,0.697,0.734,3289.237,1,"Sigma2_e"
-1426.325,-1479.99,-1426.336,-1372.693,893.877,1,"lp__"
0.989,0.933,0.989,1.043,1309.317,1,"B_0"
0.276,0.241,0.276,0.312,3096.31,1,"psi"
0.204,0.165,0.203,0.247,1453.654,1,"Sigma2_intercept"
0.01,0,0.009,0.028,464.357,1.003,"Sigma2_epsilon"
0.086,0.066,0.085,0.112,877.548,1.001,"Sigma2_phi"
0.988,0.988,0.988,0.988,0.5,1,"Sigma2_x"
0.055,0.037,0.055,0.072,3301.469,1,"cov_int_phi"
-0.002,-0.021,-0.001,0.017,2457.797,1,"cov_2"
0.724,0.685,0.724,0.765,1888.15,1,"Sigma2_e"
-1486.908,-1545.469,-1487.45,-1426.502,524.547,1.001,"lp__"
1.036,0.979,1.037,1.092,2994.614,1,"B_0"
0.219,0.183,0.219,0.254,3442.742,1,"psi"
0.212,0.173,0.211,0.255,1646.106,1,"Sigma2_intercept"
0.033,0.014,0.033,0.054,1145.219,1.001,"Sigma2_epsilon"
0.093,0.071,0.093,0.117,1817.003,1.001,"Sigma2_phi"
1.145,1.145,1.145,1.145,0.5,1,"Sigma2_x"
0.052,0.032,0.052,0.07,3971.558,1,"cov_int_phi"
0.004,-0.018,0.004,0.026,2824.869,1,"cov_2"
0.675,0.636,0.675,0.715,2985.781,1,"Sigma2_e"
-1373.35,-1438.45,-1372.032,-1315.339,753.407,1,"lp__"
0.961,0.91,0.96,1.015,724.259,1,"B_0"
0.273,0.242,0.273,0.304,1060.471,1,"psi"
0.196,0.158,0.194,0.238,800.632,1.001,"Sigma2_intercept"
0.005,0,0.004,0.019,220.031,1.001,"Sigma2_epsilon"
0.081,0.064,0.081,0.101,573.049,1.001,"Sigma2_phi"
1.031,1.031,1.031,1.031,0.5,1,"Sigma2_x"
0.04,0.022,0.04,0.055,1273.803,1,"cov_int_phi"
-0.004,-0.021,-0.004,0.01,847.055,1.001,"cov_2"
0.719,0.682,0.718,0.758,838.784,1.001,"Sigma2_e"
-1473.333,-1526.945,-1472.983,-1422.617,524.151,1.002,"lp__"
1.003,0.951,1.003,1.057,3453.078,1,"B_0"
0.299,0.266,0.299,0.332,5033.636,1,"psi"
0.174,0.14,0.173,0.212,1541.031,1,"Sigma2_intercept"
