"mean","2.5%","50%","97.5%","n_eff","Rhat","Parameter"
0.94,0.86,0.941,1.023,3934.43,1,"B_0"
0.27,0.188,0.27,0.35,4403.897,1,"psi"
0.137,0.075,0.136,0.211,1567.368,1,"Sigma2_intercept"
0.029,0,0.026,0.085,583.583,1.001,"Sigma2_epsilon"
0.101,0.05,0.099,0.165,985.211,1.001,"Sigma2_phi"
0.912,0.912,0.912,0.912,0.5,1,"Sigma2_x"
0.038,0.006,0.037,0.073,2111.032,1.001,"cov_int_phi"
0.006,-0.028,0.004,0.042,2047.988,1.001,"cov_2"
0.663,0.572,0.661,0.761,1058.658,1,"Sigma2_e"
-540.623,-593.98,-541.116,-485.005,599.522,1,"lp__"
0.977,0.892,0.978,1.059,4202.482,1,"B_0"
0.269,0.191,0.27,0.342,3571.893,1,"psi"
0.141,0.078,0.138,0.215,1588.914,1,"Sigma2_intercept"
0.015,0,0.011,0.055,1071.177,1,"Sigma2_epsilon"
0.094,0.052,0.091,0.148,2123.552,1,"Sigma2_phi"
0.969,0.969,0.969,0.969,0.5,1,"Sigma2_x"
0.045,0.017,0.044,0.083,1975.658,1,"cov_int_phi"
0.014,-0.009,0.011,0.051,1834.41,1,"cov_2"
0.701,0.619,0.699,0.794,1994.41,1,"Sigma2_e"
-565.441,-614.104,-565.423,-517.83,752.878,1,"lp__"
0.994,0.906,0.995,1.082,1925.306,1.001,"B_0"
0.256,0.184,0.257,0.322,3132.738,1,"psi"
0.21,0.138,0.207,0.293,1503.116,1,"Sigma2_intercept"
0.009,0,0.005,0.038,932.754,1.001,"Sigma2_epsilon"
0.087,0.049,0.086,0.133,2309.215,1.001,"Sigma2_phi"
1.108,1.108,1.108,1.108,0.5,1,"Sigma2_x"
0.054,0.027,0.053,0.089,1982.554,1,"cov_int_phi"
0.008,-0.016,0.005,0.045,1809.255,1,"cov_2"
0.663,0.585,0.661,0.751,2108.908,1,"Sigma2_e"
-540.751,-586.438,-540.532,-496.339,966.552,1,"lp__"
0.963,0.868,0.963,1.058,4282.621,1,"B_0"
0.26,0.173,0.26,0.345,3639.063,1,"psi"
0.238,0.164,0.236,0.326,1839.253,1.001,"Sigma2_intercept"
0.06,0.003,0.059,0.125,573.228,1.001,"Sigma2_epsilon"
0.14,0.073,0.139,0.212,904.048,1,"Sigma2_phi"
1.001,1.001,1.001,1.001,0.5,1,"Sigma2_x"
0.064,0.022,0.063,0.107,2743.263,1,"cov_int_phi"
0.018,-0.026,0.017,0.066,2008.031,1,"cov_2"
0.571,0.489,0.569,0.663,849.176,1.001,"Sigma2_e"
-479.522,-534.944,-479.506,-424.024,451.321,1,"lp__"
1.038,0.954,1.038,1.122,1362.332,1,"B_0"
0.25,0.176,0.25,0.321,2002.97,1,"psi"
0.183,0.119,0.18,0.26,949.11,1.001,"Sigma2_intercept"
0.022,0,0.019,0.066,344.804,1.012,"Sigma2_epsilon"
0.085,0.044,0.082,0.138,503.415,1.005,"Sigma2_phi"
0.913,0.913,0.913,0.913,0.5,1,"Sigma2_x"
0.043,0.014,0.041,0.076,1433.883,1,"cov_int_phi"
0.012,-0.017,0.01,0.046,1120.214,1,"cov_2"
0.577,0.505,0.576,0.654,732.403,1.007,"Sigma2_e"
-483.845,-534.418,-482.865,-433.42,477.693,1.003,"lp__"
0.983,0.893,0.983,1.069,4307.195,1,"B_0"
0.323,0.244,0.323,0.402,3966.031,1,"psi"
0.172,0.11,0.17,0.245,1304.263,1.001,"Sigma2_intercept"
0.04,0,0.038,0.096,527.094,1,"Sigma2_epsilon"
0.138,0.08,0.137,0.204,958.915,1,"Sigma2_phi"
0.837,0.837,0.837,0.837,0.5,1,"Sigma2_x"
0.052,0.018,0.052,0.09,1825.002,1.001,"cov_int_phi"
0.017,-0.016,0.015,0.056,1632.669,1.001,"cov_2"
0.601,0.519,0.599,0.69,1067.746,1,"Sigma2_e"
-501.154,-554.799,-501.246,-447.956,561.7,1.001,"lp__"
