"mean","2.5%","50%","97.5%","n_eff","Rhat","Parameter"
1.002,0.929,1.002,1.077,1926.769,1,"B_0"
-0.008,-0.104,-0.008,0.088,2445.822,1,"B_x"
0.307,0.192,0.31,0.403,54.978,1.008,"psi"
0.218,0.178,0.217,0.266,2452.113,1,"Sigma2_intercept"
1.017,0.881,1.013,1.174,1665.789,1.002,"Sigma2_x"
0.008,0,0.006,0.031,716.588,1,"Sigma2_epsilon"
0.106,0.06,0.101,0.184,56.359,1.009,"Sigma2_phi"
0.079,0.054,0.078,0.106,1619.911,1.003,"cov_int_phi"
-0.008,-0.04,-0.006,0.023,99.944,1.003,"cov_2"
0.282,0.225,0.281,0.349,1997.748,1.001,"cov_4"
0.01,-0.084,0.005,0.124,50.033,1.01,"cov_6"
0.73,0.692,0.729,0.769,4726.397,1,"Sigma2_e"
0.1,0.095,0.1,0.105,6521.435,1,"Sigma2_ex"
382.006,314.821,382.305,446.258,789.895,1.003,"lp__"
0.954,0.885,0.954,1.025,1436.3,1,"B_0"
-0.06,-0.152,-0.06,0.032,1611.216,1,"B_x"
0.273,0.063,0.281,0.461,28.463,1.005,"psi"
0.211,0.172,0.21,0.254,1943.176,1,"Sigma2_intercept"
0.853,0.739,0.852,0.98,1717.185,1,"Sigma2_x"
0.027,0.001,0.022,0.081,108.251,1.001,"Sigma2_epsilon"
0.098,0.051,0.085,0.244,35.717,1.001,"Sigma2_phi"
0.061,0.039,0.061,0.085,1972.63,1,"cov_int_phi"
-0.005,-0.052,-0.006,0.045,36.957,1.004,"cov_2"
0.241,0.193,0.24,0.298,1463.635,1,"cov_4"
0.02,-0.137,0.013,0.196,27.8,1.005,"cov_6"
0.665,0.628,0.665,0.703,1809.239,1,"Sigma2_e"
0.104,0.099,0.104,0.11,5981.182,1,"Sigma2_ex"
470.89,398.018,470.145,545.826,674.618,1,"lp__"
1.014,0.943,1.015,1.088,103.421,1.002,"B_0"
0.068,-0.021,0.065,0.168,327.967,1.001,"B_x"
0.307,0.163,0.309,0.449,36.789,1,"psi"
0.215,0.176,0.214,0.257,633.875,1.002,"Sigma2_intercept"
1.013,0.88,1.008,1.216,150.255,1.01,"Sigma2_x"
0.017,0,0.013,0.056,139.662,1.02,"Sigma2_epsilon"
0.118,0.063,0.107,0.246,65.709,1.009,"Sigma2_phi"
0.076,0.054,0.076,0.101,1028.539,1.005,"cov_int_phi"
-0.006,-0.047,-0.006,0.034,48.557,1.001,"cov_2"
0.268,0.215,0.266,0.329,791.457,1.006,"cov_4"
-0.005,-0.147,-0.005,0.139,36.567,1,"cov_6"
0.687,0.652,0.686,0.728,401.589,1.003,"Sigma2_e"
0.1,0.096,0.1,0.106,900.199,1.001,"Sigma2_ex"
469.692,398.441,468.049,544.977,396.024,1,"lp__"
1.046,0.981,1.046,1.11,1554.58,1,"B_0"
0.056,-0.033,0.056,0.146,1913.365,1,"B_x"
0.27,0.157,0.273,0.365,56.68,1.002,"psi"
0.183,0.148,0.182,0.222,1869.328,1.001,"Sigma2_intercept"
0.873,0.76,0.872,1.003,1903.605,1,"Sigma2_x"
0.005,0,0.002,0.025,358.643,1.001,"Sigma2_epsilon"
0.071,0.04,0.067,0.129,72.574,1.005,"Sigma2_phi"
0.057,0.038,0.057,0.077,1608.259,1,"cov_int_phi"
0.001,-0.02,0,0.025,118.147,1.001,"cov_2"
0.207,0.157,0.207,0.26,1676.876,1,"cov_4"
0.007,-0.073,0.003,0.101,49.792,1.002,"cov_6"
0.696,0.661,0.696,0.734,4571.341,1,"Sigma2_e"
0.102,0.097,0.102,0.108,6076.985,1,"Sigma2_ex"
421.771,355.217,421.767,488.93,681.121,1,"lp__"
1.028,0.955,1.028,1.101,1555.402,1,"B_0"
-0.048,-0.145,-0.048,0.05,1524.107,1,"B_x"
