"mean","2.5%","50%","97.5%","n_eff","Rhat","Parameter"
0.99,0.89,0.99,1.091,1816.738,1,"B_0"
0.023,-0.117,0.022,0.161,2390.913,1,"B_x"
0.34,0.278,0.34,0.399,97.172,1.01,"psi"
0.215,0.17,0.213,0.269,1691.545,1,"Sigma2_intercept"
0.99,0.813,0.982,1.195,1948.327,1,"Sigma2_x"
0.002,0,0.001,0.013,673.601,1.003,"Sigma2_epsilon"
0.118,0.08,0.115,0.169,120.149,1.008,"Sigma2_phi"
0.079,0.052,0.078,0.109,2614.553,1,"cov_int_phi"
0,-0.017,0,0.017,218.602,1.004,"cov_2"
0.234,0.162,0.232,0.315,2355.752,1,"cov_4"
0.001,-0.05,0,0.057,71.68,1.01,"cov_6"
0.708,0.674,0.707,0.744,5949.415,1,"Sigma2_e"
0.101,0.096,0.101,0.106,7137.391,1,"Sigma2_ex"
721.169,675.94,721.073,766.834,913.439,1,"lp__"
1.088,0.999,1.088,1.178,2290.522,1,"B_0"
-0.022,-0.143,-0.022,0.105,2235.378,1,"B_x"
0.256,0.077,0.252,0.461,40.515,1.011,"psi"
0.177,0.137,0.175,0.223,2138.259,1,"Sigma2_intercept"
0.83,0.684,0.822,1.013,1820.515,1.001,"Sigma2_x"
0.025,0.006,0.021,0.065,194.723,1.034,"Sigma2_epsilon"
0.087,0.04,0.071,0.232,70.316,1.005,"Sigma2_phi"
0.062,0.039,0.061,0.088,2361.277,1,"cov_int_phi"
0.01,-0.032,0.01,0.049,52.416,1.009,"cov_2"
0.202,0.142,0.199,0.274,1884.604,1.001,"cov_4"
0.011,-0.156,0.014,0.155,38.663,1.012,"cov_6"
0.679,0.644,0.678,0.715,4244.528,1,"Sigma2_e"
0.103,0.098,0.103,0.108,5575.225,1,"Sigma2_ex"
751.968,703.184,752.097,800.289,824.41,1,"lp__"
0.891,0.792,0.891,0.994,1878.055,1,"B_0"
-0.106,-0.243,-0.107,0.036,2544.921,1,"B_x"
0.352,0.285,0.351,0.42,119.718,1.01,"psi"
0.199,0.156,0.198,0.251,1660.851,1,"Sigma2_intercept"
0.982,0.803,0.976,1.197,1708.087,1,"Sigma2_x"
0.002,0,0.001,0.012,1088.393,1.001,"Sigma2_epsilon"
0.125,0.081,0.122,0.184,150.231,1.005,"Sigma2_phi"
0.086,0.059,0.085,0.117,2032.117,1,"cov_int_phi"
0.001,-0.016,0,0.018,271.109,1.003,"cov_2"
0.242,0.172,0.239,0.326,2152.67,1,"cov_4"
-0.002,-0.064,0,0.059,95.833,1.01,"cov_6"
0.669,0.635,0.668,0.703,7513.694,1,"Sigma2_e"
0.104,0.099,0.104,0.109,6088.969,1.001,"Sigma2_ex"
759.87,712.377,760.439,804.838,798.841,1,"lp__"
0.919,0.817,0.92,1.025,1348.32,1,"B_0"
-0.101,-0.24,-0.101,0.038,1369.922,1,"B_x"
0.321,0.143,0.319,0.514,44.966,1.05,"psi"
0.224,0.176,0.222,0.279,1784.882,1,"Sigma2_intercept"
1.039,0.852,1.033,1.268,1503.645,1,"Sigma2_x"
0.023,0,0.019,0.073,256.664,1.007,"Sigma2_epsilon"
0.139,0.062,0.119,0.333,54.42,1.049,"Sigma2_phi"
0.093,0.065,0.093,0.125,1606.745,1,"cov_int_phi"
0,-0.056,0,0.053,52.52,1.045,"cov_2"
0.29,0.214,0.288,0.378,1537.578,1,"cov_4"
-0.005,-0.204,-0.004,0.175,42.822,1.053,"cov_6"
0.707,0.671,0.707,0.744,3116.074,1,"Sigma2_e"
0.106,0.1,0.105,0.111,7873.82,1,"Sigma2_ex"
647.903,593.866,648.664,698.898,553.457,1,"lp__"
0.997,0.902,0.997,1.096,1749.717,1,"B_0"
0,-0.134,0,0.132,2234.293,1,"B_x"
0.322,0.219,0.325,0.422,149.396,1.002,"psi"
0.191,0.15,0.189,0.244,1728.776,1,"Sigma2_intercept"
0.974,0.8,0.967,1.186,2260.456,1.001,"Sigma2_x"
0.007,0,0.006,0.026,886.086,1.003,"Sigma2_epsilon"
0.111,0.064,0.106,0.19,179.516,1.003,"Sigma2_phi"
0.08,0.054,0.079,0.109,2517.736,1,"cov_int_phi"
-0.002,-0.03,-0.001,0.024,250.016,1,"cov_2"
0.255,0.187,0.253,0.338,2360.552,1,"cov_4"
0.003,-0.091,0.001,0.098,135.899,1.001,"cov_6"
0.7,0.664,0.699,0.737,4016.908,1,"Sigma2_e"
0.096,0.092,0.096,0.102,8630.959,1,"Sigma2_ex"
809.012,758.638,809.528,858.136,841.181,1,"lp__"
0.945,0.851,0.944,1.039,1096.575,1.001,"B_0"
-0.048,-0.176,-0.049,0.086,1207.995,1.001,"B_x"
0.281,0.016,0.29,0.496,34.978,1,"psi"
0.184,0.142,0.182,0.234,1811.284,1,"Sigma2_intercept"
0.804,0.661,0.798,0.984,1316.679,1.002,"Sigma2_x"
0.022,0,0.014,0.102,88.035,1.025,"Sigma2_epsilon"
0.097,0.042,0.078,0.278,103.522,1.023,"Sigma2_phi"
0.068,0.046,0.067,0.093,1842.551,1,"cov_int_phi"
0.006,-0.043,0.004,0.065,39.998,1,"cov_2"
0.22,0.159,0.218,0.289,1490.735,1,"cov_4"
0.009,-0.16,0.001,0.215,34.331,1,"cov_6"
0.661,0.626,0.661,0.696,4005.838,1,"Sigma2_e"
0.094,0.089,0.094,0.099,8051.96,1,"Sigma2_ex"
940.755,889.852,941.119,989.393,624.674,1.001,"lp__"
0.999,0.899,0.999,1.097,743.018,1,"B_0"
0.008,-0.135,0.008,0.148,902.697,1,"B_x"
0.342,0.226,0.34,0.475,38.971,1,"psi"
0.172,0.133,0.171,0.218,1539.675,1,"Sigma2_intercept"
0.977,0.801,0.971,1.183,1130.236,1,"Sigma2_x"
0.009,0,0.006,0.034,484.601,1.005,"Sigma2_epsilon"
0.126,0.068,0.117,0.243,50.101,1.003,"Sigma2_phi"
0.087,0.061,0.087,0.117,1041.271,1,"cov_int_phi"
0.003,-0.028,0.002,0.034,54.251,1,"cov_2"
0.247,0.18,0.246,0.323,1045.45,1,"cov_4"
-0.001,-0.126,0.002,0.113,35.293,1,"cov_6"
0.697,0.661,0.697,0.734,3578.279,1,"Sigma2_e"
0.101,0.096,0.101,0.106,6338.495,1,"Sigma2_ex"
747.704,698.64,747.856,795.736,752.744,1.001,"lp__"
0.951,0.851,0.951,1.047,824,1.001,"B_0"
-0.073,-0.201,-0.071,0.053,1068.482,1.002,"B_x"
0.309,0.102,0.316,0.472,60.068,1.011,"psi"
0.219,0.173,0.217,0.278,1258.362,1,"Sigma2_intercept"
0.902,0.741,0.897,1.094,1313.68,1.001,"Sigma2_x"
0.028,0.008,0.024,0.077,267.164,1.004,"Sigma2_epsilon"
0.122,0.06,0.109,0.245,98.595,1.001,"Sigma2_phi"
0.086,0.057,0.086,0.12,1623.701,1,"cov_int_phi"
-0.006,-0.056,-0.007,0.058,72.156,1.01,"cov_2"
0.298,0.226,0.294,0.384,1200.578,1,"cov_4"
0.011,-0.128,0.004,0.204,58.538,1.014,"cov_6"
0.705,0.669,0.705,0.744,4601.298,1.001,"Sigma2_e"
0.101,0.096,0.101,0.106,6750.147,1,"Sigma2_ex"
726.859,675.937,726.841,777.514,843.772,1.004,"lp__"
0.924,0.831,0.924,1.015,1107.804,1.003,"B_0"
-0.102,-0.23,-0.101,0.021,1351.008,1.004,"B_x"
0.332,0.255,0.332,0.415,90.335,1.014,"psi"
0.204,0.16,0.203,0.258,1224.931,1,"Sigma2_intercept"
0.837,0.687,0.831,1.012,1363.126,1.001,"Sigma2_x"
0.004,0,0.002,0.016,880.823,1.001,"Sigma2_epsilon"
0.097,0.061,0.094,0.158,112.786,1.011,"Sigma2_phi"
0.067,0.043,0.067,0.095,1402.995,1,"cov_int_phi"
0,-0.02,0,0.018,212.761,1.005,"cov_2"
0.204,0.139,0.203,0.277,1170.57,1,"cov_4"
-0.002,-0.066,0,0.057,71.375,1.02,"cov_6"
0.722,0.685,0.722,0.76,7643.99,1,"Sigma2_e"
0.101,0.096,0.101,0.107,8180.536,1,"Sigma2_ex"
675.485,626.56,676.284,721.433,913.235,1.001,"lp__"
1.12,1.029,1.12,1.209,1331.124,1,"B_0"
0.178,0.036,0.178,0.318,1871.47,1,"B_x"
0.264,0.136,0.262,0.408,88.595,1.001,"psi"
