"mean","2.5%","50%","97.5%","n_eff","Rhat","Parameter"
0.895,0.747,0.895,1.034,474.879,1.001,"B_0"
-0.117,-0.311,-0.12,0.085,548.894,1,"B_x"
0.303,0.015,0.305,0.572,35.718,1.004,"psi"
0.217,0.151,0.214,0.305,1034.84,1,"Sigma2_intercept"
0.109,0.074,0.107,0.155,1491.562,1,"Sigma2_psi"
1.013,0.766,0.999,1.34,1495.678,1,"Sigma2_x"
0.145,0.051,0.115,0.407,85.441,1.009,"Sigma2_phi"
0.034,0.008,0.023,0.137,302.438,1.005,"Sigma2_epsilon"
-0.082,-0.134,-0.08,-0.04,768.817,1,"cov_int_psi"
0.085,0.042,0.082,0.139,889.713,1.001,"cov_int_phi"
-0.076,-0.115,-0.074,-0.045,1294.512,1,"cov_psi_phi"
-0.528,-0.718,-0.537,-0.294,766.317,1,"cor_1"
0.08,-0.52,0.095,0.612,32.648,1.002,"cor_2"
-0.551,-0.921,-0.622,0.154,45.723,1.005,"cor_3"
0.544,0.38,0.549,0.68,1500.147,1,"cor_4"
-0.46,-0.638,-0.465,-0.257,1062.056,1,"cor_5"
0.058,-0.881,0.076,0.911,25.372,1.003,"cor_6"
-0.082,-0.134,-0.08,-0.04,768.817,1,"cov_1"
0.007,-0.062,0.006,0.082,38.475,1.002,"cov_2"
-0.029,-0.078,-0.027,0.012,40.921,1.002,"cov_3"
0.256,0.154,0.252,0.381,1232.286,1.001,"cov_4"
-0.153,-0.248,-0.15,-0.077,1155.304,1,"cov_5"
0.014,-0.241,0.009,0.3,32.193,1.003,"cov_6"
0.566,0.538,0.566,0.595,5084.875,1,"Sigma2_e"
0.102,0.097,0.102,0.108,6644.977,1,"Sigma2_ex"
1149.452,1112.647,1149.122,1187.518,758.568,1.001,"lp__"
0.987,0.852,0.989,1.12,385.069,1.014,"B_0"
0.045,-0.161,0.045,0.255,445.499,1.01,"B_x"
0.302,0.006,0.315,0.528,17.693,1.083,"psi"
0.165,0.112,0.162,0.233,727.798,1.006,"Sigma2_intercept"
0.097,0.067,0.094,0.138,1358.622,1,"Sigma2_psi"
1.147,0.875,1.133,1.499,1493.526,1.002,"Sigma2_x"
0.162,0.059,0.132,0.424,232.378,1.014,"Sigma2_phi"
0.036,0.007,0.02,0.149,195.881,1.004,"Sigma2_epsilon"
-0.073,-0.114,-0.073,-0.038,787.296,1.009,"cov_int_psi"
0.08,0.038,0.078,0.132,817.622,1.012,"cov_int_phi"
-0.089,-0.127,-0.087,-0.059,1375.403,1.009,"cov_psi_phi"
-0.58,-0.751,-0.586,-0.367,784.786,1.009,"cor_1"
