"","V1","V2","V3","V4","V5","V6","Parameter"
"1",1.022,0.967,1.022,1.078,1217.415,1,"B_0"
"2",-0.007,-0.074,-0.007,0.06,1035.307,1,"B_x"
"3",0.29,0.225,0.29,0.357,76.973,1.021,"psi"
"4",0.199,0.162,0.199,0.239,1694.356,1,"Sigma2_intercept"
"5",0.103,0.076,0.102,0.133,936.161,1.003,"Sigma2_psi"
"6",0.948,0.856,0.947,1.047,1003.723,1,"Sigma2_x"
"7",0.005,0,0.003,0.022,390.145,1.007,"Sigma2_epsilon"
"8",0.083,0.061,0.082,0.11,1161.697,1.003,"Sigma2_phi"
"9",-0.081,-0.106,-0.081,-0.059,797.362,1,"cov_int_psi"
"10",0.078,0.059,0.077,0.099,548.543,1.006,"cov_int_phi"
"11",-0.054,-0.071,-0.053,-0.038,788.635,1.005,"cov_psi_phi"
"12",-0.081,-0.106,-0.081,-0.059,797.362,1,"cov_1"
"13",0,-0.019,0,0.018,207.287,1.006,"cov_2"
"14",-0.002,-0.017,-0.001,0.01,347.222,1.001,"cov_3"
"15",0.268,0.223,0.267,0.315,1003.853,1,"cov_4"
"16",-0.179,-0.219,-0.179,-0.14,798.795,1,"cov_5"
"17",-0.003,-0.058,-0.001,0.054,49.298,1.03,"cov_6"
"18",0.614,0.574,0.614,0.654,1571.588,1,"Sigma2_e"
"19",0.096,0.091,0.096,0.101,3296.681,1,"Sigma2_ex"
"20",-277.142,-390.429,-276.171,-163.946,668.887,1,"lp_"
"21",0.987,0.928,0.988,1.043,2109.105,1,"B_0"
"22",-0.028,-0.1,-0.028,0.04,1977.523,1,"B_x"
"23",0.281,0.141,0.282,0.407,85.509,1,"psi"
"24",0.233,0.191,0.233,0.278,1563.412,1,"Sigma2_intercept"
"25",0.102,0.076,0.101,0.132,1430.195,1,"Sigma2_psi"
"26",1.065,0.961,1.064,1.176,1919.592,1,"Sigma2_x"
"27",0.032,0.004,0.031,0.067,491.604,1.004,"Sigma2_epsilon"
"28",0.12,0.086,0.119,0.156,799.277,1.002,"Sigma2_phi"
"29",-0.097,-0.124,-0.097,-0.072,1608.025,1.001,"cov_int_psi"
