"","V1","V2","V3","V4","V5","V6","Parameter"
"1",1.038,0.967,1.038,1.111,1318.888,1.002,"B_0"
"2",0.023,-0.069,0.023,0.114,1079.519,1.002,"B_x"
"3",0.297,0.191,0.298,0.394,123.64,1.002,"psi"
"4",0.172,0.126,0.171,0.224,1229.895,1,"Sigma2_intercept"
"5",0.082,0.048,0.081,0.122,936.559,1,"Sigma2_psi"
"6",0.896,0.777,0.893,1.036,1361.34,1.001,"Sigma2_x"
"7",0.013,0,0.01,0.04,514.623,1,"Sigma2_epsilon"
"8",0.092,0.06,0.09,0.131,1456.958,1.001,"Sigma2_phi"
"9",-0.051,-0.082,-0.051,-0.023,1120.078,1.001,"cov_int_psi"
"10",0.064,0.039,0.064,0.092,795.97,1,"cov_int_phi"
"11",-0.054,-0.08,-0.052,-0.032,427.708,1,"cov_psi_phi"
"12",-0.051,-0.082,-0.051,-0.023,1120.078,1.001,"cov_1"
"13",0.002,-0.022,0.001,0.027,480.199,1.001,"cov_2"
"14",-0.01,-0.035,-0.008,0.006,609.082,1.002,"cov_3"
"15",0.21,0.155,0.209,0.271,973.881,1,"cov_4"
"16",-0.148,-0.203,-0.147,-0.099,794.843,1,"cov_5"
"17",0.002,-0.075,0,0.089,85.114,1.004,"cov_6"
"18",0.594,0.542,0.593,0.653,1030.242,1,"Sigma2_e"
"19",0.1,0.093,0.1,0.109,3647.303,1,"Sigma2_ex"
"20",-154.575,-235.629,-154.221,-73.994,699.879,1,"lp_"
"21",1.002,0.922,1.002,1.078,2088.394,1.001,"B_0"
"22",-0.03,-0.128,-0.029,0.073,1594.625,1,"B_x"
"23",0.286,0.18,0.285,0.399,73.27,1.026,"psi"
"24",0.205,0.153,0.203,0.265,1785.549,1,"Sigma2_intercept"
"25",0.105,0.068,0.104,0.149,1317.486,1,"Sigma2_psi"
"26",0.988,0.861,0.984,1.134,1935.429,1,"Sigma2_x"
"27",0.015,0,0.013,0.047,659.087,1.004,"Sigma2_epsilon"
"28",0.093,0.057,0.092,0.135,1663.691,1.001,"Sigma2_phi"
"29",-0.082,-0.117,-0.081,-0.049,1764.823,1,"cov_int_psi"
"30",0.073,0.045,0.073,0.103,1478.768,1.003,"cov_int_phi"
"31",-0.058,-0.087,-0.057,-0.035,693.863,1.007,"cov_psi_phi"
"32",-0.082,-0.117,-0.081,-0.049,1764.823,1,"cov_1"
"33",-0.003,-0.037,-0.002,0.025,173.209,1.016,"cov_2"
"34",-0.009,-0.037,-0.007,0.01,471.242,1.002,"cov_3"
"35",0.267,0.203,0.267,0.34,1464.982,1.001,"cov_4"
"36",-0.172,-0.23,-0.172,-0.117,1364.833,1,"cov_5"
"37",-0.003,-0.101,-0.001,0.092,47.278,1.038,"cov_6"
"38",0.616,0.559,0.615,0.678,1662.824,1,"Sigma2_e"
"39",0.1,0.092,0.1,0.108,4025.871,1,"Sigma2_ex"
"40",-180.12,-265.036,-180.593,-96.94,731.406,1,"lp_"
"41",1.006,0.925,1.007,1.085,2344.468,1,"B_0"
"42",-0.015,-0.115,-0.014,0.086,1964.906,1,"B_x"
"43",0.34,0.212,0.341,0.454,84.964,1,"psi"
"44",0.201,0.147,0.2,0.263,1796.411,1,"Sigma2_intercept"
"45",0.102,0.068,0.101,0.144,1637.707,1,"Sigma2_psi"
"46",1.071,0.928,1.067,1.235,1502.852,1,"Sigma2_x"
"47",0.024,0,0.022,0.065,501.336,1.005,"Sigma2_epsilon"
"48",0.146,0.1,0.144,0.203,1211.846,1,"Sigma2_phi"
"49",-0.102,-0.137,-0.102,-0.072,2135.194,1,"cov_int_psi"
"50",0.089,0.056,0.089,0.124,1433.868,1,"cov_int_phi"
"51",-0.066,-0.094,-0.065,-0.04,857.552,1,"cov_psi_phi"
"52",-0.102,-0.137,-0.102,-0.072,2135.194,1,"cov_1"
"53",-0.005,-0.041,-0.004,0.031,275.427,1,"cov_2"
"54",-0.002,-0.029,-0.001,0.023,436.783,1,"cov_3"
"55",0.277,0.213,0.275,0.35,1801.019,1,"cov_4"
"56",-0.188,-0.251,-0.186,-0.131,728.441,1,"cov_5"
"57",0,-0.114,-0.001,0.125,59.917,1,"cov_6"
"58",0.596,0.538,0.595,0.656,1011.886,1,"Sigma2_e"
"59",0.1,0.092,0.1,0.108,4266.364,1,"Sigma2_ex"
"60",-151.433,-235.823,-151.793,-64.609,638.251,1,"lp_"
"61",0.996,0.91,0.995,1.081,819.514,1.011,"B_0"
"62",-0.01,-0.108,-0.011,0.095,675.358,1.01,"B_x"
"63",0.31,0.218,0.31,0.404,231.684,1.001,"psi"
"64",0.238,0.181,0.236,0.302,1232.337,1,"Sigma2_intercept"
"65",0.139,0.098,0.138,0.188,1393.967,1,"Sigma2_psi"
"66",1.076,0.936,1.074,1.243,1103.017,1,"Sigma2_x"
"67",0.013,0,0.009,0.043,385.746,1.001,"Sigma2_epsilon"
"68",0.116,0.074,0.114,0.165,1123.122,1.001,"Sigma2_phi"
"69",-0.103,-0.141,-0.102,-0.068,982.307,1.004,"cov_int_psi"
"70",0.103,0.069,0.102,0.142,1004.874,1.002,"cov_int_phi"
"71",-0.084,-0.115,-0.083,-0.057,551.452,1.001,"cov_psi_phi"
"72",-0.103,-0.141,-0.102,-0.068,982.307,1.004,"cov_1"
"73",0.001,-0.031,0,0.033,447.459,1,"cov_2"
"74",-0.009,-0.039,-0.006,0.012,510.121,1,"cov_3"
"75",0.329,0.258,0.327,0.409,854.623,1,"cov_4"
"76",-0.242,-0.309,-0.241,-0.181,781.349,1,"cov_5"
"77",0.001,-0.083,0.001,0.081,146.519,1,"cov_6"
"78",0.567,0.515,0.566,0.626,1187.977,1.001,"Sigma2_e"
"79",0.103,0.095,0.103,0.112,3776.356,1,"Sigma2_ex"
"80",-135.739,-219.474,-135.805,-54.412,571.169,1.004,"lp_"
"81",1.006,0.937,1.007,1.075,1144.06,1,"B_0"
"82",0.088,-0.007,0.088,0.185,852.383,1,"B_x"
"83",0.264,0.193,0.263,0.348,316.696,1,"psi"
"84",0.177,0.129,0.176,0.23,1528.851,1,"Sigma2_intercept"
"85",0.112,0.072,0.111,0.159,847.732,1.006,"Sigma2_psi"
"86",0.949,0.825,0.946,1.092,1056.632,1,"Sigma2_x"
"87",0.005,0,0.003,0.026,686.692,1,"Sigma2_epsilon"
"88",0.07,0.041,0.068,0.106,1624.223,1,"Sigma2_phi"
"89",-0.053,-0.086,-0.053,-0.021,923.982,1,"cov_int_psi"
"90",0.047,0.024,0.047,0.071,921.021,1.003,"cov_int_phi"
"91",-0.043,-0.066,-0.043,-0.023,477.171,1,"cov_psi_phi"
"92",-0.053,-0.086,-0.053,-0.021,923.982,1,"cov_1"
"93",-0.004,-0.026,-0.002,0.011,1077.659,1.001,"cov_2"
"94",0.002,-0.012,0.001,0.019,1361.395,1,"cov_3"
"95",0.194,0.138,0.192,0.253,774.808,1.001,"cov_4"
"96",-0.17,-0.233,-0.169,-0.115,499.813,1,"cov_5"
"97",-0.004,-0.065,-0.001,0.045,150.059,1,"cov_6"
"98",0.601,0.547,0.6,0.66,974.839,1.003,"Sigma2_e"
"99",0.102,0.094,0.102,0.11,3358.338,1,"Sigma2_ex"
"100",-176.171,-259.654,-175.657,-94.238,587.957,1.005,"lp_"
"101",0.995,0.911,0.994,1.078,1172.743,1,"B_0"
"102",0.015,-0.082,0.015,0.114,1073.4,1,"B_x"
"103",0.292,0.181,0.293,0.4,148.739,1.007,"psi"
"104",0.239,0.181,0.238,0.301,1683.15,1,"Sigma2_intercept"
"105",0.105,0.068,0.104,0.148,798.881,1,"Sigma2_psi"
"106",1,0.871,0.995,1.152,1466.683,1.002,"Sigma2_x"
"107",0.023,0,0.021,0.063,437.594,1.005,"Sigma2_epsilon"
"108",0.108,0.067,0.106,0.159,719.643,1.001,"Sigma2_phi"
"109",-0.081,-0.117,-0.08,-0.047,1071.473,1,"cov_int_psi"
"110",0.095,0.062,0.094,0.133,813.944,1,"cov_int_phi"
"111",-0.066,-0.095,-0.064,-0.042,939.113,1,"cov_psi_phi"
"112",-0.081,-0.117,-0.08,-0.047,1071.473,1,"cov_1"
"113",0.008,-0.026,0.006,0.047,547.448,1.001,"cov_2"
"114",-0.008,-0.038,-0.006,0.016,576.249,1,"cov_3"
"115",0.3,0.229,0.298,0.377,996.585,1.001,"cov_4"
"116",-0.199,-0.26,-0.198,-0.144,916.243,1.001,"cov_5"
"117",0.002,-0.093,0,0.103,118.06,1.011,"cov_6"
"118",0.589,0.528,0.588,0.652,720.174,1.003,"Sigma2_e"
"119",0.099,0.092,0.099,0.107,3900.204,1,"Sigma2_ex"
"120",-132.984,-221.548,-133.856,-41.6,518.173,1.002,"lp_"
"121",1,0.918,1,1.078,1293.97,1.001,"B_0"
"122",-0.044,-0.139,-0.045,0.054,1237.882,1,"B_x"
"123",0.3,0.22,0.3,0.385,282.651,1.002,"psi"
