"","V1","V2","V3","V4","V5","V6","Parameter"
"1",1.017,0.889,1.018,1.146,1495.112,1,"B_0"
"2",0.076,-0.115,0.076,0.276,1218.065,1.001,"B_x"
"3",0.3,0.16,0.302,0.431,118.945,1.018,"psi"
"4",0.163,0.104,0.16,0.238,1833.164,1.001,"Sigma2_intercept"
"5",0.998,0.756,0.983,1.326,1284.31,1,"Sigma2_x"
"6",0.017,0,0.013,0.061,486.559,1,"Sigma2_epsilon"
"7",0.111,0.053,0.102,0.226,250.597,1.01,"Sigma2_phi"
"8",0.054,0.018,0.053,0.095,1294.323,1,"cov_int_phi"
"9",-0.004,-0.037,-0.002,0.028,532.692,1.007,"cov_2"
"10",0.193,0.101,0.191,0.3,950.486,1,"cov_4"
"11",0.002,-0.108,0,0.127,86.218,1.027,"cov_6"
"12",0.65,0.584,0.648,0.723,3117.16,1,"Sigma2_e"
"13",0.098,0.088,0.098,0.109,4884.482,1,"Sigma2_ex"
"14",146.215,110.822,146.247,180.48,715.116,1,"lp_"
"15",0.995,0.845,0.995,1.141,1074.528,1.001,"B_0"
"16",-0.047,-0.222,-0.047,0.125,1215.519,1,"B_x"
"17",0.326,0.202,0.326,0.447,213.343,1,"psi"
"18",0.253,0.175,0.248,0.355,1644.282,1,"Sigma2_intercept"
"19",0.775,0.581,0.764,1.027,1390.677,1,"Sigma2_x"
"20",0.01,0,0.006,0.041,992.98,1.001,"Sigma2_epsilon"
"21",0.096,0.045,0.089,0.187,421.042,1.001,"Sigma2_phi"
"22",0.079,0.04,0.077,0.126,1606.189,1,"cov_int_phi"
"23",-0.002,-0.035,-0.001,0.032,721.9,1,"cov_2"
"24",0.248,0.155,0.244,0.369,1319.965,1.001,"cov_4"
"25",-0.001,-0.075,-0.001,0.082,126.794,1,"cov_6"
"26",0.599,0.536,0.597,0.668,3403.074,1,"Sigma2_e"
"27",0.106,0.096,0.106,0.118,3848.052,1,"Sigma2_ex"
"28",148.425,113.421,148.477,182.389,919.238,1,"lp_"
"29",1.148,1.007,1.148,1.283,2894.583,1,"B_0"
"30",0.124,-0.062,0.122,0.31,3288.677,1,"B_x"
"31",0.265,0.178,0.266,0.351,825.239,1,"psi"
"32",0.222,0.148,0.217,0.317,2589.833,1,"Sigma2_intercept"
"33",0.988,0.745,0.976,1.322,1938.409,1,"Sigma2_x"
"34",0.005,0,0.002,0.024,1894.347,1,"Sigma2_epsilon"
"35",0.076,0.038,0.072,0.137,913.371,1,"Sigma2_phi"
"36",0.078,0.043,0.077,0.122,2766.24,1.001,"cov_int_phi"
"37",0.002,-0.02,0.001,0.03,1776.202,1,"cov_2"
"38",0.287,0.182,0.283,0.422,2744.683,1,"cov_4"
"39",-0.002,-0.064,-0.001,0.064,457.424,1,"cov_6"
"40",0.657,0.593,0.655,0.731,6060.389,1,"Sigma2_e"
"41",0.102,0.092,0.102,0.113,5353.483,1,"Sigma2_ex"
"42",124.963,93.017,125.097,156.4,1019.764,1,"lp_"
"43",0.842,0.682,0.842,1.003,2790.56,1.001,"B_0"
"44",-0.143,-0.355,-0.144,0.067,2921.629,1.001,"B_x"
"45",0.367,0.275,0.366,0.464,610.513,1.007,"psi"
"46",0.208,0.132,0.204,0.303,2331.523,1,"Sigma2_intercept"
"47",1.146,0.873,1.133,1.495,2163.737,1,"Sigma2_x"
"48",0.008,0,0.004,0.038,1739.263,1.001,"Sigma2_epsilon"
"49",0.165,0.094,0.158,0.278,816.471,1.006,"Sigma2_phi"
"50",0.115,0.067,0.114,0.177,2720.503,1,"cov_int_phi"
"51",-0.002,-0.037,-0.001,0.026,1505.177,1.003,"cov_2"
"52",0.321,0.204,0.316,0.465,2657.968,1,"cov_4"
"53",-0.001,-0.093,0,0.087,403.15,1.01,"cov_6"
"54",0.753,0.677,0.752,0.836,4644.493,1,"Sigma2_e"
"55",0.096,0.087,0.096,0.107,4850.276,1,"Sigma2_ex"
"56",94.009,61.045,93.804,125.626,1118.763,1,"lp_"
"57",0.911,0.757,0.91,1.064,1575.852,1,"B_0"
