"","V1","V2","V3","V4","V5","V6","Parameter"
"1",0.991,0.921,0.992,1.058,3659.477,1,"B_0"
"2",0.275,0.207,0.275,0.341,4368.552,1,"psi"
"3",0.193,0.104,0.193,0.288,966.304,1,"Sigma2_intercept"
"4",0.011,0,0.006,0.051,838.327,1,"Sigma2_epsilon"
"5",0.088,0.048,0.085,0.142,1667.035,1,"Sigma2_phi"
"6",0.0295589728175473,-0.0239042600196741,0.0315589728175472,0.0773480007757402,41379.0976213145,1.28705495655124,"cov_int_phi"
"7",-0.005,-0.043,-0.003,0.025,2533.315,1.001,"cov_2"
"8",0.695,0.598,0.693,0.799,1312.592,1,"Sigma2_e"
"9",-657.764,-717.065,-658.217,-597.731,642.02,1,"lp_"
"10",1.035,0.966,1.034,1.107,6443.591,1,"B_0"
"11",0.317,0.255,0.317,0.381,6239.062,1,"psi"
"12",0.146,0.061,0.145,0.235,892.642,1.003,"Sigma2_intercept"
"13",0.021,0,0.014,0.079,520.52,1.008,"Sigma2_epsilon"
"14",0.131,0.078,0.127,0.205,977.621,1.003,"Sigma2_phi"
"15",0.0225599323902099,-0.0340302393704806,0.025441373096057,0.0696982387718295,54724.1176164628,1.28575093531525,"cov_int_phi"
"16",-0.012,-0.052,-0.009,0.017,1538.384,1,"cov_2"
"17",0.7,0.596,0.699,0.813,813.505,1.005,"Sigma2_e"
"18",-659.704,-718.618,-659.771,-599.614,458.2,1.012,"lp_"
"19",0.979,0.899,0.979,1.058,2226.291,1,"B_0"
"20",0.258,0.192,0.258,0.326,2397.479,1.001,"psi"
"21",0.135,0.038,0.134,0.233,466.767,1,"Sigma2_intercept"
"22",0.034,0,0.028,0.107,363.518,1,"Sigma2_epsilon"
"23",0.109,0.059,0.105,0.186,473.666,1,"Sigma2_phi"
"24",0.0604039134141622,0.00479392792666707,0.0582836758439971,0.131790605550559,18246.1122553201,1.34217237979138,"cov_int_phi"
"25",0.028,-0.008,0.026,0.078,540.304,1,"cov_2"
"26",0.801,0.678,0.8,0.932,415.284,1,"Sigma2_e"
"27",-711.515,-775.569,-711.817,-644.233,383.773,1,"lp_"
"28",0.943,0.873,0.944,1.013,2930.605,1,"B_0"
"29",0.318,0.252,0.318,0.381,2286.583,1,"psi"
"30",0.215,0.124,0.214,0.314,860.914,1,"Sigma2_intercept"
"31",0.041,0,0.035,0.114,398.498,1,"Sigma2_epsilon"
"32",0.165,0.092,0.161,0.26,541.222,1,"Sigma2_phi"
"33",0.0240203823219449,-0.0478877541995381,0.0258922788132733,0.091664907026848,25774.6630295708,1.37314467977917,"cov_int_phi"
"34",-0.031,-0.081,-0.029,0.012,739.864,1,"cov_2"
"35",0.677,0.572,0.675,0.797,734.238,1,"Sigma2_e"
"36",-644.89,-709.585,-645.442,-580.473,501.09,1,"lp_"
"37",1.032,0.947,1.032,1.114,1670.35,1,"B_0"
"38",0.23,0.159,0.229,0.302,1131.078,1.001,"psi"
"39",0.303,0.203,0.302,0.405,657.317,1.003,"Sigma2_intercept"
"40",0.056,0,0.048,0.163,84.548,1.043,"Sigma2_epsilon"
"41",0.113,0.041,0.107,0.218,107.229,1.035,"Sigma2_phi"
"42",0.0627692759902733,-0.00957502838704745,0.0604470811156313,0.146624304349527,13210.6370098234,1.42676463237135,"cov_int_phi"
"43",0.009,-0.04,0.007,0.065,894.769,1.001,"cov_2"
"44",0.636,0.512,0.635,0.765,130.469,1.027,"Sigma2_e"
"45",-620.149,-697.579,-621.927,-516.978,94.023,1.045,"lp_"
"46",1.006,0.929,1.006,1.082,1968.775,1,"B_0"
"47",0.265,0.2,0.265,0.332,1636.407,1.001,"psi"
"48",0.221,0.127,0.22,0.322,713.242,1.002,"Sigma2_intercept"
"49",0.013,0,0.007,0.06,223.359,1.003,"Sigma2_epsilon"
"50",0.092,0.048,0.089,0.156,299.821,1.003,"Sigma2_phi"
"51",0.0334598072617619,-0.0209962374928973,0.0353726954686816,0.0861608991879885,14261.7027469666,1.31533782736926,"cov_int_phi"
"52",-0.005,-0.043,-0.003,0.028,769.748,1.006,"cov_2"
"53",0.735,0.636,0.733,0.848,710.019,1,"Sigma2_e"
"54",-678.334,-738.172,-679.129,-616.427,527.573,1,"lp_"
"55",0.973,0.902,0.973,1.041,5146.49,1,"B_0"
"56",0.244,0.182,0.244,0.308,6129.662,1,"psi"
"57",0.174,0.089,0.173,0.267,645.716,1,"Sigma2_intercept"
"58",0.009,0,0.004,0.041,752.455,1,"Sigma2_epsilon"
"59",0.075,0.041,0.073,0.122,1690.634,1,"Sigma2_phi"
"60",0.0299699420394104,-0.00861261206283192,0.0278923305345022,0.0771717778229486,43795.3197587059,1.26498150514519,"cov_int_phi"
"61",0.003,-0.023,0.001,0.035,2521.671,1,"cov_2"
"62",0.69,0.598,0.689,0.793,929.205,1.001,"Sigma2_e"
"63",-654.866,-716.061,-654.749,-595.602,553.018,1.002,"lp_"
"64",1.02,0.949,1.02,1.09,6871.975,1,"B_0"
"65",0.289,0.223,0.288,0.353,5392.409,1,"psi"
"66",0.08,0.002,0.079,0.173,502.233,1,"Sigma2_intercept"
"67",0.026,0,0.018,0.097,717.198,1,"Sigma2_epsilon"
"68",0.118,0.062,0.112,0.2,1012.803,1,"Sigma2_phi"
"69",0.0195480232133884,-0.0408830177674009,0.0222999987224551,0.0688893834556373,38860.2456916095,1.31254637474218,"cov_int_phi"
"70",-0.006,-0.044,-0.003,0.023,1089.991,1,"cov_2"
"71",0.836,0.712,0.835,0.959,767.995,1,"Sigma2_e"
"72",-730.35,-787.647,-730.912,-669.441,484.575,1,"lp_"
"73",1.045,0.976,1.045,1.115,2418.216,1,"B_0"
"74",0.264,0.201,0.264,0.33,2799.913,1,"psi"
"75",0.158,0.063,0.158,0.256,575.069,1,"Sigma2_intercept"
"76",0.008,0,0.004,0.036,892.435,1.003,"Sigma2_epsilon"
"77",0.086,0.047,0.084,0.136,1650.541,1,"Sigma2_phi"
"78",0.0359081288618792,-0.0228904589185781,0.0399081288618792,0.0848628635011893,29055.7127557135,1.42142002372198,"cov_int_phi"
"79",-0.008,-0.044,-0.004,0.015,961.493,1.003,"cov_2"
"80",0.794,0.689,0.791,0.915,764.759,1,"Sigma2_e"
"81",-710.484,-769.457,-709.644,-657.122,607.079,1,"lp_"
"82",0.911,0.835,0.912,0.986,4057.067,1,"B_0"
"83",0.309,0.244,0.309,0.375,3956.788,1,"psi"
"84",0.263,0.171,0.261,0.368,937.417,1,"Sigma2_intercept"
"85",0.026,0,0.015,0.098,395.266,1,"Sigma2_epsilon"
"86",0.127,0.072,0.121,0.211,589.44,1,"Sigma2_phi"
"87",0.0525772478148136,-0.0108860562801569,0.0523731432716831,0.118912906629302,43143.3725000754,1.33909912522317,"cov_int_phi"
"88",-0.001,-0.045,-0.001,0.042,2184.005,1.001,"cov_2"
"89",0.633,0.534,0.633,0.736,807.815,1,"Sigma2_e"
"90",-617.957,-681.088,-619.239,-548.745,472.938,1,"lp_"
"91",1.043,0.961,1.043,1.126,2809.195,1,"B_0"
"92",0.275,0.209,0.276,0.343,4954.621,1,"psi"
"93",0.258,0.162,0.257,0.359,998.73,1.002,"Sigma2_intercept"
"94",0.019,0,0.013,0.07,580.746,1.001,"Sigma2_epsilon"
"95",0.099,0.057,0.096,0.16,1089.049,1,"Sigma2_phi"
"96",0.0680011938961448,0.0144987694749648,0.0650755314290044,0.140738593236968,50754.0725049008,1.31532309047873,"cov_int_phi"
"97",0.024,-0.012,0.021,0.076,1430.287,1,"cov_2"
"98",0.701,0.601,0.699,0.809,1137.834,1,"Sigma2_e"
"99",-660.18,-720.074,-660.138,-600.748,661.155,1.001,"lp_"
"100",0.952,0.879,0.952,1.027,5858.097,1,"B_0"
"101",0.298,0.231,0.298,0.363,6218.334,1,"psi"
"102",0.17,0.074,0.17,0.271,652.19,1.004,"Sigma2_intercept"
"103",0.009,0,0.005,0.04,1315.443,1,"Sigma2_epsilon"
"104",0.104,0.062,0.103,0.156,3993.741,1,"Sigma2_phi"
"105",0.044013870812208,0.00141861276563901,0.041013870812208,0.0993885948962255,48748.6877012121,1.29369458141979,"cov_int_phi"
"106",0.008,-0.017,0.005,0.044,2201.849,1,"cov_2"
"107",0.751,0.651,0.748,0.866,977.227,1.005,"Sigma2_e"
"108",-688.214,-748.752,-687.931,-631.418,519.689,1.009,"lp_"
"109",1.059,0.985,1.059,1.135,1724.119,1,"B_0"
"110",0.256,0.192,0.256,0.318,1932.032,1,"psi"
"111",0.191,0.095,0.191,0.295,664.703,1.001,"Sigma2_intercept"
"112",0.021,0,0.012,0.08,322.893,1.001,"Sigma2_epsilon"
"113",0.097,0.05,0.094,0.162,524.583,1.001,"Sigma2_phi"
"114",0.0459718216110378,-0.0136836662714355,0.0459718216110378,0.111969736348814,21407.6705735493,1.41110437879295,"cov_int_phi"
"115",0,-0.038,0,0.041,940.246,1,"cov_2"
"116",0.726,0.616,0.725,0.846,578.627,1,"Sigma2_e"
"117",-674.638,-737.796,-674.284,-612.05,500.046,1.001,"lp_"
"118",1.008,0.934,1.009,1.08,4121.675,1,"B_0"
