"","V1","V2","V3","V4","V5","V6","Parameter"
"1",1.032,0.87,1.03,1.198,86.432,1.009,"B_0"
"2",0.227,0.114,0.22,0.378,168.338,1.006,"Sigma2_intercept"
"3",0.175,0.067,0.169,0.315,88.395,1.001,"Sigma2_phi"
"4",0.044,-0.024,0.044,0.115,107.153,1.022,"cov_int_phi"
"5",0.044,-0.024,0.044,0.115,107.153,1.022,"cov_2"
"6",0.637,0.5,0.632,0.796,173.828,1,"Sigma2_e"
"7",551.827,523.314,551.951,578.377,90.125,1,"lp_"
"8",1.017,0.817,1.017,1.216,124.669,1.002,"B_0"
"9",0.293,0.147,0.284,0.488,137.004,1.025,"Sigma2_intercept"
"10",0.14,0.023,0.134,0.294,72.23,1.001,"Sigma2_phi"
"11",0.043,-0.041,0.038,0.15,98.763,1.002,"cov_int_phi"
"12",0.043,-0.041,0.038,0.15,98.763,1.002,"cov_2"
"13",0.829,0.658,0.823,1.024,106.8,1.002,"Sigma2_e"
"14",512.151,486.363,511.698,540.888,61.504,1.006,"lp_"
"15",0.904,0.697,0.91,1.091,102.655,1.007,"B_0"
"16",0.222,0.083,0.213,0.405,91.46,1,"Sigma2_intercept"
"17",0.186,0.05,0.18,0.363,50.831,1.008,"Sigma2_phi"
"18",0.057,-0.023,0.052,0.16,150.959,1,"cov_int_phi"
"19",0.057,-0.023,0.052,0.16,150.959,1,"cov_2"
"20",0.783,0.632,0.775,0.978,71.395,1.004,"Sigma2_e"
"21",520.97,488.313,522.398,549.036,32.991,1.004,"lp_"
"22",0.869,0.723,0.867,1.025,60.651,1.022,"B_0"
"23",0.18,0.075,0.171,0.328,61.401,1.001,"Sigma2_intercept"
"24",0.108,0.019,0.102,0.237,24.172,1.129,"Sigma2_phi"
"25",0.056,-0.007,0.055,0.133,39.582,1.007,"cov_int_phi"
"26",0.056,-0.007,0.055,0.133,39.582,1.007,"cov_2"
"27",0.735,0.59,0.73,0.904,38.464,1.076,"Sigma2_e"
"28",527.782,499.52,527.456,555.073,39.832,1.055,"lp_"
"29",0.953,0.795,0.954,1.105,56.776,1.003,"B_0"
"30",0.176,0.069,0.165,0.32,35.287,1.039,"Sigma2_intercept"
"31",0.113,0.029,0.105,0.234,60.256,1.001,"Sigma2_phi"
"32",0.039,-0.024,0.035,0.134,19.583,1,"cov_int_phi"
"33",0.039,-0.024,0.035,0.134,19.583,1,"cov_2"
"34",0.705,0.565,0.701,0.866,45.387,1.038,"Sigma2_e"
"35",534.038,508.206,533.318,562.81,28.183,1.026,"lp_"
"36",0.889,0.728,0.89,1.048,57.965,1,"B_0"
"37",0.204,0.097,0.197,0.348,77.575,1.045,"Sigma2_intercept"
"38",0.132,0.038,0.128,0.258,60.781,1.026,"Sigma2_phi"
"39",0.039,-0.026,0.038,0.115,96.997,1,"cov_int_phi"
"40",0.039,-0.026,0.038,0.115,96.997,1,"cov_2"
"41",0.673,0.544,0.668,0.835,46.965,1.072,"Sigma2_e"
"42",541.931,511.606,543.112,566.085,23.698,1.142,"lp_"
"43",1.006,0.817,1.007,1.203,77.53,1,"B_0"
"44",0.271,0.14,0.264,0.433,156.314,1.027,"Sigma2_intercept"
"45",0.243,0.121,0.234,0.406,174.152,1.012,"Sigma2_phi"
"46",0.057,-0.035,0.054,0.159,56.5,1.048,"cov_int_phi"
"47",0.057,-0.035,0.054,0.159,56.5,1.048,"cov_2"
"48",0.674,0.534,0.671,0.837,107.957,1.016,"Sigma2_e"
"49",542.409,515.338,542.772,567.904,120.526,1.01,"lp_"
"50",0.917,0.764,0.918,1.071,34.036,1,"B_0"
"51",0.331,0.183,0.322,0.524,36.295,1.007,"Sigma2_intercept"
"52",0.087,0.006,0.081,0.237,16.028,1.023,"Sigma2_phi"
"53",0.023,-0.05,0.018,0.134,27.41,1.027,"cov_int_phi"
"54",0.023,-0.05,0.018,0.134,27.41,1.027,"cov_2"
"55",0.708,0.551,0.704,0.874,24.339,1.05,"Sigma2_e"
"56",533.91,501.22,535.373,563.396,16.716,1.021,"lp_"
"57",1.043,0.856,1.044,1.239,103.166,1.008,"B_0"
"58",0.227,0.098,0.223,0.382,112.401,1.005,"Sigma2_intercept"
"59",0.122,0.024,0.11,0.271,55.035,1,"Sigma2_phi"
"60",0.057,-0.009,0.056,0.137,45.912,1.003,"cov_int_phi"
"61",0.057,-0.009,0.056,0.137,45.912,1.003,"cov_2"
"62",0.656,0.528,0.648,0.806,140.097,1.002,"Sigma2_e"
"63",546.526,519.175,546.885,572.571,71.805,1.018,"lp_"
"64",0.944,0.774,0.942,1.107,88.412,1,"B_0"
"65",0.236,0.104,0.225,0.423,92.515,1.005,"Sigma2_intercept"
"66",0.073,0.007,0.066,0.187,52.611,1.002,"Sigma2_phi"
"67",0.002,-0.067,0.001,0.068,132.268,1.003,"cov_int_phi"
"68",0.002,-0.067,0.001,0.068,132.268,1.003,"cov_2"
"69",0.787,0.639,0.784,0.96,87.715,1.001,"Sigma2_e"
"70",518.971,490.858,519.888,542.919,56.122,1.015,"lp_"
"71",1.065,0.848,1.069,1.259,81.263,1.009,"B_0"
"72",0.283,0.143,0.273,0.475,350.927,1,"Sigma2_intercept"
"73",0.223,0.098,0.216,0.393,146.138,1.004,"Sigma2_phi"
"74",0.063,-0.02,0.06,0.159,154.866,1,"cov_int_phi"
"75",0.063,-0.02,0.06,0.159,154.866,1,"cov_2"
"76",0.661,0.529,0.657,0.824,195.432,1.003,"Sigma2_e"
"77",544.7,512.944,544.99,573.638,130.947,1.001,"lp_"
"78",0.919,0.744,0.912,1.117,52.173,1.004,"B_0"
"79",0.387,0.219,0.378,0.618,117.622,1,"Sigma2_intercept"
"80",0.075,0.003,0.067,0.201,36.277,1.048,"Sigma2_phi"
"81",0.042,-0.038,0.038,0.139,57.892,1.053,"cov_int_phi"
"82",0.042,-0.038,0.038,0.139,57.892,1.053,"cov_2"
"83",0.756,0.607,0.751,0.922,106.438,1.007,"Sigma2_e"
"84",527.799,499.561,527.387,557.367,79.401,1.013,"lp_"
"85",0.995,0.812,0.998,1.166,44.199,1.004,"B_0"
"86",0.283,0.154,0.275,0.461,63.84,1,"Sigma2_intercept"
"87",0.17,0.046,0.167,0.337,43.586,1.011,"Sigma2_phi"
"88",0.012,-0.072,0.01,0.109,26.258,1.001,"cov_int_phi"
"89",0.012,-0.072,0.01,0.109,26.258,1.001,"cov_2"
"90",0.645,0.512,0.642,0.799,113.337,1.002,"Sigma2_e"
"91",549.772,519.579,550.807,576.643,67.003,1,"lp_"
"92",0.963,0.787,0.965,1.128,296.275,1,"B_0"
"93",0.242,0.111,0.236,0.399,375.157,1.001,"Sigma2_intercept"
"94",0.058,0.004,0.05,0.157,145.805,1.003,"Sigma2_phi"
"95",0.048,-0.013,0.047,0.125,148.75,1.001,"cov_int_phi"
"96",0.048,-0.013,0.047,0.125,148.75,1.001,"cov_2"
"97",0.685,0.554,0.68,0.858,330.434,1.004,"Sigma2_e"
"98",539.575,512.91,539.999,567.08,209.413,1,"lp_"
"99",1.019,0.832,1.02,1.195,37.414,1.002,"B_0"
