"","V1","V2","V3","V4","V5","V6","Parameter"
"1",1.071,0.969,1.07,1.17,3907.954,1,"B_0"
"2",0.063,-0.055,0.062,0.181,2029.614,1.001,"B_x"
"3",0.295,-0.001,0.298,0.578,89.734,1.005,"psi"
"4",0.119,0.058,0.116,0.194,1678.83,1,"Sigma2_intercept"
"5",0.1,0.008,0.097,0.207,546.712,1.003,"Sigma2_psi"
"6",0.547,0.439,0.542,0.686,1630.114,1,"Sigma2_x"
"7",0.086,0.022,0.083,0.17,1007.006,1,"Sigma2_epsilon"
"8",0.131,0.064,0.128,0.211,1608.782,1,"Sigma2_phi"
"9",-0.03,-0.077,-0.028,0.01,1185.395,1.001,"cov_int_psi"
"10",0.003,-0.037,0.004,0.042,1359.478,1.001,"cov_int_phi"
"11",-0.027,-0.076,-0.026,0.014,739.178,1.004,"cov_psi_phi"
"12",-0.03,-0.077,-0.028,0.01,1185.395,1.001,"cov_1"
"13",-0.019,-0.06,-0.018,0.017,667.284,1.001,"cov_2"
"14",-0.019,-0.063,-0.018,0.018,947.364,1.002,"cov_3"
"15",0.076,0.017,0.075,0.142,710.085,1,"cov_4"
"16",-0.027,-0.097,-0.026,0.039,495.212,1.002,"cov_5"
"17",0.007,-0.13,0.006,0.155,76.933,1.005,"cov_6"
"18",0.555,0.474,0.551,0.653,944.567,1.001,"Sigma2_e"
"19",0.047,0.041,0.047,0.054,4696.451,1,"Sigma2_ex"
"20",187.421,132.331,187.762,239.1,537.055,1.001,"lp_"
"21",0.963,0.835,0.964,1.088,1532.796,1.003,"B_0"
"22",-0.007,-0.116,-0.006,0.103,1159.634,1.001,"B_x"
"23",0.458,0.287,0.458,0.631,440.255,1.001,"psi"
"24",0.24,0.155,0.237,0.349,1688.499,1.002,"Sigma2_intercept"
"25",0.034,0,0.023,0.128,665.142,1,"Sigma2_psi"
"26",0.485,0.384,0.481,0.611,1293.131,1,"Sigma2_x"
"27",0.018,0,0.011,0.069,846.596,1,"Sigma2_epsilon"
"28",0.119,0.064,0.116,0.196,1751.573,1,"Sigma2_phi"
"29",-0.014,-0.067,-0.009,0.022,1742.841,1,"cov_int_psi"
"30",0.07,0.028,0.069,0.12,956.844,1,"cov_int_phi"
"31",0.001,-0.028,0,0.031,285.734,1,"cov_psi_phi"
"32",-0.014,-0.067,-0.009,0.022,1742.841,1,"cov_1"
"33",0.004,-0.029,0.002,0.041,1916.334,1.001,"cov_2"
"34",0,-0.015,0,0.015,1920.07,1,"cov_3"
"35",0.143,0.072,0.141,0.224,785.094,1,"cov_4"
"36",0.002,-0.05,0.001,0.058,242.235,1.001,"cov_5"
"37",0,-0.066,0,0.065,243.177,1.003,"cov_6"
"38",0.644,0.557,0.643,0.737,1191.468,1.001,"Sigma2_e"
"39",0.053,0.046,0.053,0.06,2762.903,1.001,"Sigma2_ex"
"40",105.852,57.175,106.542,153.234,681.247,1.003,"lp_"
"41",1.051,0.939,1.049,1.166,2848.615,1,"B_0"
"42",0.02,-0.084,0.021,0.118,1882.663,1.001,"B_x"
"43",0.397,0.117,0.398,0.674,158.957,1,"psi"
"44",0.183,0.107,0.18,0.278,1628.13,1.002,"Sigma2_intercept"
"45",0.043,0,0.031,0.146,1172.707,1,"Sigma2_psi"
"46",0.403,0.315,0.4,0.508,1824.906,1,"Sigma2_x"
"47",0.054,0.001,0.049,0.137,555.952,1.001,"Sigma2_epsilon"
"48",0.113,0.049,0.11,0.197,840.79,1,"Sigma2_phi"
"49",-0.019,-0.073,-0.016,0.018,2003.766,1,"cov_int_psi"
"50",0.037,-0.002,0.036,0.084,2178.37,1,"cov_int_phi"
"51",-0.014,-0.056,-0.011,0.014,445.395,1,"cov_psi_phi"
"52",-0.019,-0.073,-0.016,0.018,2003.766,1,"cov_1"
"53",0.005,-0.035,0.004,0.048,1116.456,1,"cov_2"
"54",-0.004,-0.035,-0.002,0.019,1135.293,1,"cov_3"
"55",0.082,0.023,0.08,0.145,1208.893,1.002,"cov_4"
"56",-0.026,-0.098,-0.02,0.021,258.927,1,"cov_5"
"57",0,-0.103,0,0.103,116.486,1.001,"cov_6"
"58",0.63,0.542,0.629,0.73,1521.552,1,"Sigma2_e"
"59",0.051,0.044,0.05,0.057,4650.49,1,"Sigma2_ex"
"60",128.016,76.993,128.323,179.286,519.978,1,"lp_"
"61",1.005,0.878,1.005,1.133,1770.975,1,"B_0"
"62",-0.028,-0.148,-0.028,0.098,1396.786,1,"B_x"
"63",0.422,0.247,0.421,0.592,289.303,1.001,"psi"
"64",0.256,0.163,0.253,0.368,1714.924,1,"Sigma2_intercept"
"65",0.118,0.024,0.113,0.244,736.569,1,"Sigma2_psi"
"66",0.574,0.454,0.569,0.718,1655.427,1.001,"Sigma2_x"
"67",0.022,0,0.015,0.085,626.092,1,"Sigma2_epsilon"
"68",0.123,0.061,0.119,0.21,1407.362,1,"Sigma2_phi"
"69",-0.046,-0.111,-0.045,0.009,2116.112,1,"cov_int_psi"
"70",0.031,-0.014,0.029,0.084,1420.982,1.001,"cov_int_phi"
"71",-0.045,-0.096,-0.043,-0.003,677.357,1,"cov_psi_phi"
"72",-0.046,-0.111,-0.045,0.009,2116.112,1,"cov_1"
"73",0.01,-0.02,0.006,0.049,1840.254,1,"cov_2"
"74",-0.005,-0.039,-0.002,0.022,1723.514,1,"cov_3"
"75",0.05,-0.027,0.049,0.131,1063.716,1.001,"cov_4"
"76",-0.095,-0.182,-0.094,-0.015,509.242,1.001,"cov_5"
"77",-0.001,-0.078,0,0.074,134.101,1.002,"cov_6"
"78",0.64,0.545,0.637,0.746,1099.727,1,"Sigma2_e"
"79",0.053,0.047,0.053,0.06,4145.229,1,"Sigma2_ex"
"80",108.332,55.027,108.897,159.689,525.188,1,"lp_"
"81",1.056,0.921,1.057,1.186,2942.958,1,"B_0"
"82",-0.05,-0.154,-0.05,0.057,2453.688,1.001,"B_x"
"83",0.412,0.077,0.408,0.767,140.08,1,"psi"
"84",0.238,0.148,0.235,0.353,1639.985,1,"Sigma2_intercept"
"85",0.082,0.003,0.075,0.204,1078.647,1,"Sigma2_psi"
"86",0.437,0.347,0.432,0.555,1401.567,1,"Sigma2_x"
