"","V1","V2","V3","V4","V5","V6","Parameter"
"1",1.023,0.92,1.022,1.125,1814.484,1,"B_0"
"2",0.094,-0.037,0.094,0.23,1417.85,1,"B_x"
"3",0.291,0.156,0.289,0.429,362.153,1.009,"psi"
"4",0.167,0.108,0.165,0.238,1712.968,1,"Sigma2_intercept"
"5",0.138,0.075,0.135,0.214,1422.455,1,"Sigma2_psi"
"6",0.914,0.751,0.91,1.114,1434.585,1.002,"Sigma2_x"
"7",0.024,0,0.02,0.071,812.069,1,"Sigma2_epsilon"
"8",0.102,0.053,0.1,0.164,1728.001,1,"Sigma2_phi"
"9",-0.026,-0.071,-0.026,0.019,882.582,1,"cov_int_psi"
"10",0.062,0.027,0.061,0.102,1506.436,1.001,"cov_int_phi"
"11",-0.047,-0.085,-0.045,-0.015,1357.806,1.002,"cov_psi_phi"
"12",-0.026,-0.071,-0.026,0.019,882.582,1,"cov_1"
"13",-0.004,-0.041,-0.002,0.03,1117.192,1.001,"cov_2"
"14",-0.017,-0.051,-0.015,0.007,1089.448,1,"cov_3"
"15",0.225,0.149,0.223,0.311,1429.424,1,"cov_4"
"16",-0.103,-0.18,-0.103,-0.027,1349.992,1.001,"cov_5"
"17",0.003,-0.101,0.002,0.104,225.534,1.012,"cov_6"
"18",0.538,0.465,0.536,0.619,1300.651,1,"Sigma2_e"
"19",0.091,0.081,0.091,0.102,4952.807,1,"Sigma2_ex"
"20",-0.546,-61.514,-0.288,58.584,712.935,1.002,"lp_"
"21",1.083,0.969,1.083,1.194,1539.274,1,"B_0"
"22",0.096,-0.051,0.095,0.243,1385.743,1,"B_x"
"23",0.337,0.213,0.336,0.462,344.22,1.006,"psi"
"24",0.186,0.123,0.184,0.265,1728.275,1,"Sigma2_intercept"
"25",0.095,0.051,0.092,0.152,1275.353,1.001,"Sigma2_psi"
"26",1.114,0.914,1.107,1.359,1374.823,1,"Sigma2_x"
"27",0.02,0,0.016,0.067,660.345,1.001,"Sigma2_epsilon"
"28",0.143,0.085,0.14,0.217,1609.629,1.001,"Sigma2_phi"
"29",-0.074,-0.117,-0.072,-0.037,1552.364,1.001,"cov_int_psi"
"30",0.084,0.04,0.083,0.132,974.946,1.001,"cov_int_phi"
"31",-0.069,-0.106,-0.068,-0.039,1298.077,1.001,"cov_psi_phi"
"32",-0.074,-0.117,-0.072,-0.037,1552.364,1.001,"cov_1"
"33",-0.012,-0.055,-0.009,0.018,766.6,1,"cov_2"
"34",-0.004,-0.032,-0.002,0.02,918.984,1.006,"cov_3"
"35",0.284,0.193,0.281,0.392,1076.94,1,"cov_4"
"36",-0.194,-0.28,-0.191,-0.12,1220.317,1.001,"cov_5"
"37",-0.004,-0.118,-0.002,0.109,237.932,1.009,"cov_6"
"38",0.578,0.506,0.577,0.659,1297.951,1.001,"Sigma2_e"
"39",0.095,0.084,0.094,0.106,4958.437,1,"Sigma2_ex"
"40",-48.724,-107.919,-48.647,11.843,592.654,1.003,"lp_"
"41",0.983,0.867,0.984,1.094,2343.476,1,"B_0"
"42",-0.026,-0.16,-0.027,0.107,1988.513,1,"B_x"
"43",0.328,0.183,0.328,0.47,388.312,1,"psi"
"44",0.215,0.141,0.213,0.302,1729.965,1,"Sigma2_intercept"
"45",0.144,0.082,0.142,0.222,1655.072,1.002,"Sigma2_psi"
"46",0.947,0.776,0.94,1.153,1720.812,1,"Sigma2_x"
"47",0.027,0,0.022,0.083,796.39,1,"Sigma2_epsilon"
"48",0.13,0.071,0.127,0.208,1613.937,1.001,"Sigma2_phi"
"49",-0.072,-0.124,-0.07,-0.027,1696.168,1,"cov_int_psi"
"50",0.085,0.043,0.084,0.133,1701.568,1.001,"cov_int_phi"
"51",-0.073,-0.12,-0.071,-0.037,1225.187,1,"cov_psi_phi"
"52",-0.072,-0.124,-0.07,-0.027,1696.168,1,"cov_1"
"53",-0.002,-0.043,-0.001,0.037,887.127,1,"cov_2"
"54",-0.012,-0.052,-0.009,0.017,1136.534,1,"cov_3"
"55",0.264,0.176,0.262,0.361,1424.52,1,"cov_4"
"56",-0.187,-0.277,-0.184,-0.11,1616.417,1,"cov_5"
"57",0.003,-0.108,0.002,0.114,268.947,1.001,"cov_6"
"58",0.593,0.515,0.59,0.682,1320.756,1,"Sigma2_e"
"59",0.102,0.091,0.102,0.114,4412.356,1,"Sigma2_ex"
"60",-86.199,-149.095,-86.548,-23.829,535.259,1,"lp_"
"61",0.997,0.88,0.998,1.107,3305.687,1,"B_0"
"62",-0.034,-0.166,-0.034,0.097,2710.076,1,"B_x"
"63",0.328,0.177,0.329,0.482,712.996,1,"psi"
"64",0.197,0.126,0.194,0.281,2253.623,1,"Sigma2_intercept"
"65",0.119,0.065,0.116,0.191,2148.666,1,"Sigma2_psi"
"66",0.877,0.716,0.871,1.066,1998.878,1.003,"Sigma2_x"
"67",0.028,0,0.023,0.083,926.442,1.005,"Sigma2_epsilon"
