"","V1","V2","V3","V4","V5","V6","Parameter"
"1",1.024,0.927,1.024,1.126,4387.669,1,"B_0"
"2",0.087,-0.046,0.086,0.22,4106.325,1,"B_x"
"3",0.29,0.143,0.292,0.429,277.404,1.006,"psi"
"4",0.16,0.097,0.158,0.231,1692.313,1.001,"Sigma2_intercept"
"5",0.919,0.75,0.912,1.127,1861.463,1.002,"Sigma2_x"
"6",0.017,0,0.011,0.072,989.167,1,"Sigma2_epsilon"
"7",0.099,0.047,0.089,0.219,364.504,1.004,"Sigma2_phi"
"8",0.065,0.032,0.065,0.101,1480.192,1.001,"cov_int_phi"
"9",-0.001,-0.038,0,0.036,815.068,1.002,"cov_2"
"10",0.228,0.15,0.226,0.314,2020.27,1,"cov_4"
"11",0.005,-0.116,0.002,0.127,223.195,1.005,"cov_6"
"12",0.666,0.59,0.664,0.748,3391.91,1,"Sigma2_e"
"13",0.091,0.081,0.091,0.102,4150.624,1,"Sigma2_ex"
"14",16.703,-31.326,16.897,65.421,924.61,1.002,"lp_"
"15",1.069,0.96,1.069,1.182,1649.209,1.002,"B_0"
"16",0.071,-0.075,0.07,0.222,1532.936,1.005,"B_x"
"17",0.339,0.192,0.34,0.48,209.674,1,"psi"
"18",0.168,0.108,0.165,0.241,1449.34,1,"Sigma2_intercept"
"19",1.128,0.93,1.122,1.371,1670.3,1,"Sigma2_x"
"20",0.027,0,0.022,0.079,651.308,1,"Sigma2_epsilon"
"21",0.162,0.083,0.15,0.311,281.19,1,"Sigma2_phi"
"22",0.08,0.036,0.08,0.126,1110.956,1,"cov_int_phi"
"23",-0.018,-0.072,-0.015,0.022,541.43,1,"cov_2"
"24",0.291,0.201,0.29,0.394,1553.645,1,"cov_4"
"25",0.002,-0.139,0,0.156,166.251,1,"cov_6"
"26",0.688,0.61,0.686,0.774,1315.965,1,"Sigma2_e"
"27",0.095,0.084,0.095,0.106,4476.253,1,"Sigma2_ex"
"28",-14.843,-64.522,-14.62,31.849,736.792,1,"lp_"
"29",0.966,0.85,0.965,1.082,1932.045,1,"B_0"
"30",-0.044,-0.177,-0.047,0.098,1681.299,1,"B_x"
"31",0.326,0.182,0.326,0.46,158.153,1.004,"psi"
"32",0.215,0.138,0.213,0.306,1892.023,1,"Sigma2_intercept"
"33",0.96,0.784,0.955,1.173,1503.178,1,"Sigma2_x"
"34",0.022,0,0.015,0.079,702.489,1.002,"Sigma2_epsilon"
"35",0.128,0.063,0.117,0.256,240.945,1.001,"Sigma2_phi"
"36",0.095,0.055,0.095,0.143,1218.551,1,"cov_int_phi"
"37",0.007,-0.031,0.004,0.055,652.911,1.002,"cov_2"
"38",0.272,0.184,0.269,0.372,1284.74,1,"cov_4"
"39",-0.003,-0.118,-0.002,0.121,111.189,1.009,"cov_6"
"40",0.731,0.645,0.73,0.82,1941.397,1,"Sigma2_e"
"41",0.102,0.091,0.102,0.115,4449.983,1,"Sigma2_ex"
"42",-65.58,-116.173,-64.943,-13.962,760.14,1,"lp_"
"43",0.988,0.878,0.987,1.105,2373.367,1,"B_0"
"44",-0.044,-0.175,-0.045,0.092,2419.47,1,"B_x"
"45",0.327,0.191,0.324,0.488,241.005,1,"psi"
"46",0.215,0.137,0.212,0.301,1759.115,1,"Sigma2_intercept"
"47",0.889,0.726,0.883,1.085,1893.461,1.002,"Sigma2_x"
"48",0.018,0,0.011,0.071,798.133,1,"Sigma2_epsilon"
"49",0.117,0.056,0.105,0.255,302.935,1.001,"Sigma2_phi"
"50",0.087,0.047,0.086,0.133,1537.846,1,"cov_int_phi"
"51",-0.002,-0.047,-0.001,0.041,814.395,1,"cov_2"
"52",0.272,0.187,0.269,0.373,1445.808,1,"cov_4"
"53",-0.003,-0.129,-0.001,0.105,177.327,1,"cov_6"
"54",0.734,0.655,0.732,0.828,2438.232,1,"Sigma2_e"
"55",0.098,0.088,0.098,0.11,5017.584,1.001,"Sigma2_ex"
"56",-54.231,-103.01,-54.336,-5.895,897.313,1.003,"lp_"
"57",1.034,0.92,1.034,1.145,1399.837,1.003,"B_0"
"58",0.005,-0.141,0.006,0.155,1088.1,1.005,"B_x"
"59",0.316,0.214,0.316,0.411,161.866,1.008,"psi"
"60",0.199,0.126,0.197,0.284,1448.901,1,"Sigma2_intercept"
"61",1.103,0.9,1.096,1.348,1385.524,1,"Sigma2_x"
"62",0.008,0,0.004,0.038,1045.57,1.001,"Sigma2_epsilon"
"63",0.121,0.064,0.115,0.213,267.51,1.008,"Sigma2_phi"
"64",0.089,0.054,0.088,0.132,1509.56,1.001,"cov_int_phi"
"65",0,-0.029,0,0.03,433.039,1.002,"cov_2"
"66",0.281,0.19,0.279,0.388,1234.806,1,"cov_4"
"67",-0.001,-0.095,0,0.098,102.366,1.015,"cov_6"
"68",0.721,0.643,0.72,0.806,1982.677,1,"Sigma2_e"
"69",0.106,0.095,0.106,0.119,3397.904,1,"Sigma2_ex"
"70",-79.334,-129.472,-78.509,-33.984,858.239,1.001,"lp_"
"71",0.99,0.889,0.991,1.087,2349.803,1,"B_0"
