"","V1","V2","V3","V4","V5","V6","Parameter"
"1",0.992,0.922,0.992,1.064,3797.784,1,"B_0"
"2",0.269,0.195,0.269,0.343,4124.803,1,"psi"
"3",0.203,0.119,0.202,0.296,785.119,1,"Sigma2_intercept"
"4",0.013,0,0.006,0.06,367.278,1.002,"Sigma2_epsilon"
"5",0.086,0.043,0.083,0.15,939.999,1.001,"Sigma2_phi"
"6",0.0358077413806762,-0.0140159879652529,0.0367145038987162,0.0822130575028819,37673.7956094912,1.31294672793664,"cov_int_phi"
"7",-0.002,-0.035,-0.001,0.024,1619.967,1.001,"cov_2"
"8",0.576,0.48,0.574,0.683,598.152,1,"Sigma2_e"
"9",-782.641,-861.361,-783.33,-699.373,432.298,1.001,"lp_"
"10",1.035,0.966,1.035,1.105,4139.037,1,"B_0"
"11",0.322,0.252,0.322,0.392,3247.418,1,"psi"
"12",0.165,0.087,0.163,0.249,715.123,1.006,"Sigma2_intercept"
"13",0.022,0,0.014,0.083,392.802,1.01,"Sigma2_epsilon"
"14",0.136,0.076,0.132,0.216,729.565,1.004,"Sigma2_phi"
"15",0.0337923650896908,-0.0251136775460785,0.0375261476373337,0.0804917050848331,29940.076327796,1.34481457952387,"cov_int_phi"
"16",-0.01,-0.05,-0.006,0.015,864.447,1.009,"cov_2"
"17",0.601,0.498,0.6,0.708,576.442,1.01,"Sigma2_e"
"18",-800.92,-874.783,-802.413,-720.969,475.805,1.015,"lp_"
"19",0.975,0.895,0.975,1.056,4776.941,1,"B_0"
"20",0.248,0.169,0.248,0.327,3271.982,1.001,"psi"
"21",0.157,0.077,0.156,0.246,844.986,1.003,"Sigma2_intercept"
"22",0.049,0.001,0.045,0.12,504.915,1.001,"Sigma2_epsilon"
"23",0.118,0.057,0.115,0.196,804.961,1,"Sigma2_phi"
"24",0.0697372927621996,0.0124867184070887,0.0676137285151312,0.141935647093419,38353.2771350609,1.3971957839834,"cov_int_phi"
"25",0.031,-0.006,0.029,0.078,859.135,1.002,"cov_2"
"26",0.632,0.518,0.631,0.75,666.722,1.003,"Sigma2_e"
"27",-820.341,-896.038,-821.324,-736.79,450.174,1.007,"lp_"
"28",0.952,0.882,0.953,1.023,4672.56,1,"B_0"
"29",0.303,0.23,0.303,0.378,4563.663,1,"psi"
"30",0.209,0.131,0.208,0.293,1144.802,1,"Sigma2_intercept"
"31",0.056,0.004,0.054,0.122,593.571,1,"Sigma2_epsilon"
"32",0.17,0.092,0.167,0.26,944.648,1,"Sigma2_phi"
"33",0.0234357956371765,-0.0428822507222607,0.0232958294586139,0.0913155018734998,66396.5389132797,1.42185498942931,"cov_int_phi"
"34",-0.035,-0.078,-0.035,0.005,1257.41,1,"cov_2"
"35",0.515,0.42,0.513,0.625,654.878,1.002,"Sigma2_e"
"36",-739.058,-823.27,-738.955,-654.718,454.421,1.001,"lp_"
"37",1.029,0.947,1.029,1.114,4146.345,1,"B_0"
"38",0.222,0.146,0.223,0.299,3209.623,1.001,"psi"
"39",0.284,0.191,0.281,0.385,805.101,1.009,"Sigma2_intercept"
"40",0.066,0,0.064,0.16,207.218,1.018,"Sigma2_epsilon"
"41",0.12,0.039,0.117,0.219,241.649,1.013,"Sigma2_phi"
"42",0.0537829607787565,-0.0201503816359442,0.0527423845551895,0.136067474624318,39932.6482625449,1.42410507860936,"cov_int_phi"
"43",0.004,-0.047,0.003,0.058,1610.682,1.001,"cov_2"
"44",0.564,0.443,0.562,0.688,257.962,1.023,"Sigma2_e"
"45",-773.411,-862.346,-775.579,-675.753,206.822,1.031,"lp_"
"46",1.006,0.93,1.006,1.085,4152.602,1,"B_0"
"47",0.272,0.195,0.273,0.354,3513.156,1,"psi"
"48",0.231,0.141,0.23,0.329,883.042,1,"Sigma2_intercept"
"49",0.015,0,0.009,0.063,432.232,1.003,"Sigma2_epsilon"
"50",0.099,0.05,0.097,0.164,1292.279,1.001,"Sigma2_phi"
"51",0.0503419496653176,0.00139624243244244,0.0474100376055885,0.113424943543927,38178.8129282198,1.3468369004996,"cov_int_phi"
"52",0.005,-0.024,0.002,0.043,1970.073,1,"cov_2"
"53",0.569,0.477,0.567,0.673,697.114,1,"Sigma2_e"
