"","V1","V2","V3","V4","V5","V6","Parameter"
"1",0.977,0.881,0.977,1.073,1401.317,1.001,"B_0"
"2",0.011,-0.067,0.01,0.089,1118.221,1,"B_x"
"3",0.327,-0.132,0.345,0.681,23.94,1.015,"psi"
"4",0.28,0.211,0.278,0.357,1699.896,1,"Sigma2_intercept"
"5",0.44,0.374,0.437,0.518,1074.017,1.001,"Sigma2_x"
"6",0.095,0.029,0.086,0.223,104.066,1.002,"Sigma2_epsilon"
"7",0.152,0.097,0.151,0.213,1143.652,1,"Sigma2_phi"
"8",0.058,0.018,0.058,0.1,1181.804,1,"cov_int_phi"
"9",0.014,-0.046,0.013,0.086,38.104,1.01,"cov_2"
"10",0.135,0.086,0.134,0.189,595.058,1,"cov_4"
"11",0.042,-0.109,0.033,0.242,22.591,1.015,"cov_6"
"12",0.627,0.562,0.626,0.699,1231.598,1,"Sigma2_e"
"13",0.047,0.043,0.047,0.052,3772.615,1.001,"Sigma2_ex"
"14",463.016,395.926,462.957,530.1,654.146,1,"lp_"
"15",1.015,0.922,1.015,1.103,2004.636,1,"B_0"
"16",0.005,-0.069,0.004,0.081,1057.482,1,"B_x"
"17",0.394,0.026,0.392,0.799,34.795,1.014,"psi"
"18",0.271,0.207,0.27,0.345,1889.733,1,"Sigma2_intercept"
"19",0.445,0.377,0.443,0.527,1194.106,1.002,"Sigma2_x"
"20",0.088,0.032,0.082,0.185,159.028,1,"Sigma2_epsilon"
"21",0.137,0.085,0.136,0.199,1009.245,1,"Sigma2_phi"
"22",0.055,0.016,0.055,0.097,1219.274,1,"cov_int_phi"
"23",0.028,-0.015,0.029,0.072,124.794,1.002,"cov_2"
"24",0.068,0.019,0.067,0.12,644.688,1.004,"cov_4"
"25",-0.007,-0.188,-0.007,0.153,33.136,1.015,"cov_6"
"26",0.604,0.539,0.602,0.673,1508.417,1,"Sigma2_e"
"27",0.05,0.046,0.05,0.055,4717.798,1,"Sigma2_ex"
"28",448.562,382.65,449.065,516.717,699.37,1.001,"lp_"
"29",0.927,0.834,0.927,1.021,2682.138,1.001,"B_0"
"30",-0.057,-0.138,-0.057,0.023,1554.999,1.003,"B_x"
"31",0.438,0.084,0.439,0.822,20.245,1,"psi"
"32",0.254,0.189,0.251,0.328,1908.057,1,"Sigma2_intercept"
"33",0.473,0.401,0.471,0.557,2064.847,1,"Sigma2_x"
"34",0.069,0.007,0.063,0.171,133.903,1.021,"Sigma2_epsilon"
"35",0.156,0.099,0.154,0.224,575.227,1.001,"Sigma2_phi"
"36",0.045,0.005,0.045,0.087,1809.128,1.002,"cov_int_phi"
"37",0.014,-0.029,0.013,0.057,83.296,1.001,"cov_2"
"38",0.072,0.02,0.071,0.126,916.067,1.002,"cov_4"
"39",0.012,-0.169,0.013,0.176,18.507,1,"cov_6"
"40",0.675,0.605,0.674,0.755,813.87,1.002,"Sigma2_e"
"41",0.053,0.049,0.053,0.059,5331.104,1,"Sigma2_ex"
"42",341.445,271.646,341.953,408.662,589.039,1,"lp_"
"43",0.966,0.872,0.966,1.056,3040.003,1,"B_0"
"44",-0.101,-0.184,-0.101,-0.016,1476.863,1,"B_x"
"45",0.265,-0.1,0.285,0.509,17.824,1.217,"psi"
"46",0.324,0.247,0.323,0.416,1705.3,1,"Sigma2_intercept"
"47",0.521,0.443,0.519,0.613,1683.808,1,"Sigma2_x"
"48",0.089,0.027,0.082,0.209,71.148,1.048,"Sigma2_epsilon"
"49",0.146,0.089,0.144,0.214,1372.664,1,"Sigma2_phi"
"50",0.019,-0.026,0.019,0.064,2078.079,1.003,"cov_int_phi"
"51",-0.001,-0.046,-0.002,0.047,136.228,1.035,"cov_2"
"52",0.078,0.02,0.077,0.137,852.023,1,"cov_4"
"53",0.058,-0.058,0.048,0.247,16.577,1.229,"cov_6"
"54",0.682,0.612,0.68,0.762,1873.7,1,"Sigma2_e"
"55",0.047,0.043,0.047,0.051,4277.141,1,"Sigma2_ex"
"56",413.742,344.736,414.144,482.446,619.189,1,"lp_"
"57",0.968,0.873,0.968,1.06,1607.988,1,"B_0"
"58",-0.038,-0.127,-0.037,0.048,1011.42,1.001,"B_x"
"59",0.333,0.087,0.337,0.569,59.76,1,"psi"
"60",0.279,0.208,0.277,0.362,1791.744,1.002,"Sigma2_intercept"
"61",0.603,0.509,0.601,0.712,1019.912,1.004,"Sigma2_x"
"62",0.055,0.001,0.052,0.13,490.603,1,"Sigma2_epsilon"
"63",0.137,0.082,0.136,0.198,765.249,1,"Sigma2_phi"
"64",0.069,0.028,0.068,0.113,1323.052,1.001,"cov_int_phi"
"65",0.009,-0.044,0.007,0.062,118.854,1,"cov_2"
"66",0.181,0.121,0.179,0.25,720.379,1.003,"cov_4"
"67",0.033,-0.102,0.03,0.169,53.29,1,"cov_6"
"68",0.674,0.603,0.673,0.754,1133.641,1,"Sigma2_e"
"69",0.05,0.046,0.05,0.055,3297.282,1,"Sigma2_ex"
"70",379.248,309.496,379.343,448.093,630.745,1.001,"lp_"
"71",1.024,0.938,1.024,1.112,2020.617,1.002,"B_0"
"72",-0.012,-0.087,-0.012,0.062,727.991,1.001,"B_x"
"73",0.412,0.102,0.398,0.785,9.237,1.326,"psi"
"74",0.223,0.164,0.221,0.295,1563.418,1,"Sigma2_intercept"
"75",0.445,0.379,0.443,0.523,1043.852,1,"Sigma2_x"
"76",0.08,0.028,0.076,0.161,144.319,1.014,"Sigma2_epsilon"
"77",0.142,0.088,0.14,0.203,1110.841,1,"Sigma2_phi"
"78",0.016,-0.021,0.016,0.053,1004.727,1,"cov_int_phi"
"79",0,-0.035,0,0.035,163.222,1.031,"cov_2"
"80",0.039,-0.009,0.038,0.089,404.322,1.002,"cov_4"
"81",-0.003,-0.165,0.004,0.128,8.883,1.349,"cov_6"
"82",0.637,0.572,0.636,0.709,1549.047,1.001,"Sigma2_e"
"83",0.05,0.046,0.05,0.055,3961.247,1,"Sigma2_ex"
"84",412.623,345.358,412.992,477.634,617.081,1.001,"lp_"
"85",1.047,0.963,1.046,1.136,1448.06,1,"B_0"
"86",0.092,0.017,0.092,0.168,1149.244,1,"B_x"
"87",0.359,0.141,0.367,0.54,39.892,1.01,"psi"
"88",0.306,0.233,0.304,0.394,1696.796,1.002,"Sigma2_intercept"
"89",0.452,0.383,0.45,0.533,1414.865,1,"Sigma2_x"
"90",0.025,0,0.021,0.075,340.633,1.005,"Sigma2_epsilon"
