"","V1","V2","V3","V4","V5","V6","Parameter"
"1",1.028,0.898,1.028,1.155,1495.608,1,"B_0"
"2",0.099,-0.102,0.099,0.293,1287.735,1,"B_x"
"3",0.297,0.16,0.298,0.433,465.53,1.001,"psi"
"4",0.16,0.1,0.157,0.241,2025.205,1,"Sigma2_intercept"
"5",0.073,0.035,0.071,0.125,1838.751,1,"Sigma2_psi"
"6",0.978,0.744,0.965,1.295,1626.684,1,"Sigma2_x"
"7",0.023,0,0.021,0.064,809.236,1.002,"Sigma2_epsilon"
"8",0.106,0.057,0.104,0.177,1895.084,1,"Sigma2_phi"
"9",-0.039,-0.081,-0.038,-0.006,1659.649,1,"cov_int_psi"
"10",0.05,0.012,0.048,0.095,1755.114,1,"cov_int_phi"
"11",-0.049,-0.086,-0.048,-0.022,905.445,1.001,"cov_psi_phi"
"12",-0.039,-0.081,-0.038,-0.006,1659.649,1,"cov_1"
"13",-0.002,-0.033,-0.002,0.028,1239.377,1,"cov_2"
"14",-0.01,-0.037,-0.009,0.01,1088.761,1.001,"cov_3"
"15",0.176,0.082,0.173,0.283,1551.549,1,"cov_4"
"16",-0.132,-0.218,-0.129,-0.061,1103.464,1,"cov_5"
"17",-0.004,-0.104,-0.003,0.097,298.471,1.002,"cov_6"
"18",0.576,0.51,0.575,0.648,2694.93,1,"Sigma2_e"
"19",0.098,0.088,0.098,0.109,5913.673,1,"Sigma2_ex"
"20",140.709,98.8,140.85,182.559,748.553,1,"lp_"
"21",1.014,0.867,1.014,1.158,1417,1,"B_0"
"22",-0.033,-0.207,-0.034,0.14,1412.352,1,"B_x"
"23",0.328,0.219,0.328,0.437,1392.319,1.002,"psi"
"24",0.259,0.177,0.254,0.371,1807.321,1.001,"Sigma2_intercept"
"25",0.075,0.029,0.072,0.134,1706.826,1,"Sigma2_psi"
"26",0.759,0.578,0.748,1.003,2037.251,1,"Sigma2_x"
"27",0.006,0,0.003,0.027,1395.766,1.002,"Sigma2_epsilon"
"28",0.088,0.045,0.086,0.143,3046.252,1,"Sigma2_phi"
"29",-0.044,-0.094,-0.042,-0.001,2318.659,1.001,"cov_int_psi"
"30",0.08,0.042,0.079,0.128,2341.642,1,"cov_int_phi"
"31",-0.035,-0.064,-0.034,-0.009,1632.708,1,"cov_psi_phi"
"32",-0.044,-0.094,-0.042,-0.001,2318.659,1.001,"cov_1"
"33",0,-0.024,0,0.023,2609.886,1.001,"cov_2"
"34",0.002,-0.009,0.001,0.018,2797.955,1,"cov_3"
"35",0.246,0.152,0.242,0.36,2073.382,1,"cov_4"
"36",-0.112,-0.193,-0.11,-0.044,1603.236,1,"cov_5"
"37",0,-0.046,0,0.05,510.915,1.002,"cov_6"
"38",0.55,0.491,0.55,0.613,4093.198,1,"Sigma2_e"
