"","V1","V2","V3","V4","V5","V6","Parameter"
"1",1.06,0.958,1.06,1.163,72.884,1.016,"B_0"
"2",0.132,0.066,0.128,0.213,88.222,1,"Sigma2_intercept"
"3",0.124,0.058,0.123,0.203,80.303,1.002,"Sigma2_phi"
"4",0.001,-0.041,0.001,0.047,76.888,1.011,"cov_int_phi"
"5",0.001,-0.041,0.001,0.047,76.888,1.011,"cov_2"
"6",0.61,0.526,0.607,0.706,105.193,1.007,"Sigma2_e"
"7",408.424,372.253,408.093,446.927,42.649,1.004,"lp_"
"8",0.965,0.845,0.963,1.11,50.166,1.024,"B_0"
"9",0.226,0.14,0.222,0.341,67.539,1.001,"Sigma2_intercept"
"10",0.113,0.05,0.112,0.189,37.326,1.01,"Sigma2_phi"
"11",0.068,0.012,0.069,0.124,67.926,1.035,"cov_int_phi"
"12",0.068,0.012,0.069,0.124,67.926,1.035,"cov_2"
"13",0.67,0.581,0.665,0.786,67.937,1.01,"Sigma2_e"
"14",379.544,336.895,380.644,416.217,28.042,1.028,"lp_"
"15",1.051,0.941,1.052,1.157,122.308,1.002,"B_0"
"16",0.168,0.09,0.165,0.257,126.718,1.002,"Sigma2_intercept"
"17",0.111,0.029,0.108,0.197,49.026,1.029,"Sigma2_phi"
"18",0.035,-0.018,0.034,0.087,51.292,1.001,"cov_int_phi"
"19",0.035,-0.018,0.034,0.087,51.292,1.001,"cov_2"
"20",0.655,0.552,0.654,0.762,103.61,1.006,"Sigma2_e"
"21",386.535,349.879,387.544,420.852,69.168,1.01,"lp_"
"22",0.991,0.869,0.989,1.115,91.416,1.014,"B_0"
"23",0.274,0.173,0.273,0.387,114.088,1,"Sigma2_intercept"
"24",0.119,0.046,0.118,0.202,46.61,1.004,"Sigma2_phi"
"25",0.058,0.001,0.058,0.114,123.388,1.01,"cov_int_phi"
"26",0.058,0.001,0.058,0.114,123.388,1.01,"cov_2"
"27",0.694,0.58,0.69,0.837,52.875,1.002,"Sigma2_e"
"28",367.548,319.08,369.039,407.721,39.944,1,"lp_"
"29",1.046,0.909,1.049,1.174,149.865,1.002,"B_0"
"30",0.262,0.169,0.259,0.377,153.298,1.002,"Sigma2_intercept"
"31",0.17,0.094,0.167,0.26,173.8,1.009,"Sigma2_phi"
"32",0.051,-0.011,0.049,0.122,143.258,1.002,"cov_int_phi"
"33",0.051,-0.011,0.049,0.122,143.258,1.002,"cov_2"
"34",0.66,0.571,0.657,0.767,268.368,1.007,"Sigma2_e"
"35",382.913,345.921,383.314,419.003,127.795,1.017,"lp_"
"36",0.99,0.822,0.995,1.13,22.593,1.06,"B_0"
"37",0.248,0.156,0.245,0.351,101.687,1.006,"Sigma2_intercept"
"38",0.202,0.119,0.199,0.289,77.378,1.005,"Sigma2_phi"
"39",0.068,0.01,0.068,0.128,48.751,1.013,"cov_int_phi"
"40",0.068,0.01,0.068,0.128,48.751,1.013,"cov_2"
"41",0.628,0.544,0.625,0.735,95.59,1,"Sigma2_e"
"42",399.529,355.827,399.835,435.794,46.036,1.003,"lp_"
"43",0.924,0.809,0.92,1.055,55.274,1.011,"B_0"
"44",0.239,0.152,0.235,0.348,87.045,1.012,"Sigma2_intercept"
"45",0.141,0.058,0.138,0.243,29.124,1.039,"Sigma2_phi"
"46",0.038,-0.016,0.036,0.1,37.955,1.013,"cov_int_phi"
"47",0.038,-0.016,0.036,0.1,37.955,1.013,"cov_2"
"48",0.613,0.518,0.611,0.719,37.745,1.028,"Sigma2_e"
"49",407.556,363.824,407.21,453.187,27.655,1.05,"lp_"
"50",1.092,0.98,1.093,1.196,72.724,1.005,"B_0"
"51",0.208,0.129,0.206,0.317,43.908,1.002,"Sigma2_intercept"
"52",0.065,0.019,0.058,0.143,35.216,1.006,"Sigma2_phi"
"53",0.002,-0.049,0.003,0.051,27.042,1.198,"cov_int_phi"
"54",0.002,-0.049,0.003,0.051,27.042,1.198,"cov_2"
"55",0.701,0.596,0.701,0.804,87.215,1.005,"Sigma2_e"
"56",365.611,330.182,365.241,407.523,42.653,1,"lp_"
"57",0.93,0.766,0.931,1.085,80.051,1.013,"B_0"
"58",0.324,0.213,0.314,0.469,70.517,1,"Sigma2_intercept"
"59",0.17,0.094,0.169,0.257,128.963,1.019,"Sigma2_phi"
"60",0.13,0.069,0.129,0.199,141.027,1,"cov_int_phi"
"61",0.13,0.069,0.129,0.199,141.027,1,"cov_2"
"62",0.647,0.551,0.646,0.749,153.495,1.003,"Sigma2_e"
"63",386.773,346.078,388.156,425.441,90.558,1.01,"lp_"
"64",1.077,0.952,1.077,1.201,123.461,1.001,"B_0"
"65",0.274,0.183,0.271,0.38,213.139,1,"Sigma2_intercept"
"66",0.132,0.058,0.13,0.213,120.054,1.002,"Sigma2_phi"
"67",0.019,-0.033,0.018,0.075,96.971,1.002,"cov_int_phi"
"68",0.019,-0.033,0.018,0.075,96.971,1.002,"cov_2"
"69",0.576,0.497,0.574,0.676,162.816,1,"Sigma2_e"
"70",425.372,383.64,425.816,463.839,115.483,1.001,"lp_"
"71",1.006,0.896,1.008,1.116,127.467,1,"B_0"
"72",0.238,0.147,0.234,0.348,113.956,1.034,"Sigma2_intercept"
"73",0.128,0.057,0.126,0.211,77.489,1.062,"Sigma2_phi"
"74",0.014,-0.044,0.012,0.072,77.881,1.001,"cov_int_phi"
