"","V1","V2","V3","V4","V5","V6","Parameter"
"1",1.052,0.961,1.052,1.146,2100.568,1,"B_0"
"2",0.255,0.135,0.254,0.373,2475.905,1,"psi"
"3",0.13,0.065,0.127,0.208,1228.105,1,"Sigma2_intercept"
"4",0.09,0.03,0.088,0.162,741.617,1.002,"Sigma2_epsilon"
"5",0.128676518087533,0.0408401313670941,0.126373767642219,0.244753176239914,3646895.23359182,1.59679458804357,"Sigma2_phi"
"6",-0.00225350379310069,-0.0551052889276211,-0.00249728891514672,0.048134835853356,15821.1508613129,1.17226636344759,"cov_int_phi"
"7",-0.018,-0.061,-0.018,0.019,960.98,1.001,"cov_2"
"8",0.551,0.467,0.549,0.645,1300.421,1.001,"Sigma2_e"
"9",-349.286,-393.761,-348.708,-306.053,675.994,1.002,"lp_"
"10",0.96,0.853,0.959,1.066,3927.992,1,"B_0"
"11",0.406,0.296,0.406,0.517,5706.537,1,"psi"
"12",0.236,0.149,0.232,0.343,1757.147,1,"Sigma2_intercept"
"13",0.022,0,0.015,0.081,819.289,1,"Sigma2_epsilon"
"14",0.103399670991674,0.043266723128482,0.0963996709916735,0.212993233636423,16081923.1675336,1.4938221686505,"Sigma2_phi"
"15",0.0546973714272918,0.000789639651506316,0.0522744073829248,0.120293754383681,63316.0150832637,1.2519714781788,"cov_int_phi"
"16",0.005,-0.028,0.003,0.044,3042.285,1,"cov_2"
"17",0.655,0.56,0.654,0.755,2107.471,1,"Sigma2_e"
"18",-403.201,-445.221,-403.004,-359.233,788.496,1,"lp_"
"19",1.059,0.956,1.059,1.165,4594.443,1,"B_0"
"20",0.304,0.18,0.303,0.43,6067.74,1,"psi"
"21",0.173,0.098,0.171,0.262,1546.25,1,"Sigma2_intercept"
"22",0.066,0.005,0.064,0.138,872.213,1,"Sigma2_epsilon"
"23",0.109237564472504,0.0201585990403082,0.106953574669496,0.224506943288672,17226219.3061359,1.46785799507124,"Sigma2_phi"
"24",0.0302899053147081,-0.0178491975944822,0.0291240606031597,0.0818371309134491,37161.4319730764,1.14464879563418,"cov_int_phi"
"25",0.012,-0.026,0.011,0.05,2648.517,1,"cov_2"
"26",0.631,0.536,0.628,0.737,1630.239,1,"Sigma2_e"
"27",-390.069,-437.107,-389.584,-344.703,693.131,1,"lp_"
"28",1.01,0.903,1.01,1.116,3046.229,1,"B_0"
"29",0.406,0.293,0.405,0.522,4139.333,1,"psi"
"30",0.254,0.162,0.25,0.364,1445.35,1,"Sigma2_intercept"
"31",0.022,0,0.016,0.078,771.837,1,"Sigma2_epsilon"
"32",0.119470485976514,0.0507640548824148,0.112990927117242,0.239124680899951,10132459.567262,1.59131795224656,"Sigma2_phi"
"33",0.0333478288506482,-0.0108145708649663,0.0310751592424036,0.0905530139121374,23084.5294453157,1.12976621848101,"cov_int_phi"
"34",0.007,-0.026,0.005,0.05,2820.826,1.001,"cov_2"
"35",0.64,0.543,0.637,0.749,1155.678,1,"Sigma2_e"
"36",-394.679,-439.754,-395.041,-346.987,529.416,1,"lp_"
"37",1.073,0.953,1.074,1.186,2170.707,1,"B_0"
"38",0.356,0.217,0.357,0.493,2612.463,1,"psi"
"39",0.235,0.143,0.23,0.343,1498.943,1,"Sigma2_intercept"
"40",0.098,0.019,0.097,0.181,520.241,1.003,"Sigma2_epsilon"
"41",0.161395091564729,0.0425545659220074,0.160751743978295,0.302576455069719,3414460.63396684,1.50321376376664,"Sigma2_phi"
"42",0.0377745018864418,-0.0241708913635813,0.0375942064163812,0.104102979513958,15106.6987549976,1.13296688268897,"cov_int_phi"
"43",0.015,-0.035,0.015,0.066,1758.961,1.001,"cov_2"
"44",0.637,0.545,0.635,0.748,1014.87,1.004,"Sigma2_e"
"45",-394.204,-443.594,-393.659,-348.541,551.086,1.005,"lp_"
"46",0.994,0.881,0.994,1.113,1018.408,1.002,"B_0"
"47",0.394,0.259,0.392,0.53,1889.69,1,"psi"
"48",0.236,0.151,0.233,0.34,1213.316,1,"Sigma2_intercept"
"49",0.107,0.035,0.106,0.188,816.666,1,"Sigma2_epsilon"
"50",0.186870552429153,0.0695138790454533,0.185061741918584,0.332526000266362,1838096.77946852,1.51451050290624,"Sigma2_phi"
"51",0.0521508778468984,-0.0213104621700937,0.0516580932736398,0.130671111656244,16271.0000829426,1.2264433410255,"cov_int_phi"
"52",0.009,-0.044,0.009,0.061,1431.648,1.001,"cov_2"
"53",0.592,0.497,0.588,0.704,946.476,1,"Sigma2_e"
"54",-370.939,-419.459,-371.125,-323.718,469.662,1,"lp_"
"55",0.953,0.848,0.953,1.058,3325.823,1,"B_0"
"56",0.331,0.203,0.33,0.462,4501.466,1,"psi"
"57",0.235,0.15,0.233,0.335,1654.802,1,"Sigma2_intercept"
"58",0.078,0.014,0.077,0.15,669.278,1.001,"Sigma2_epsilon"
"59",0.141580007037271,0.0379142442109774,0.140196418126512,0.273864979527964,11759727.2800348,1.58131605258505,"Sigma2_phi"
"60",0.0220487028861007,-0.0468868922246204,0.0217501689546102,0.0964072122659561,49212.489213471,1.25582177817576,"cov_int_phi"
"61",-0.019,-0.067,-0.019,0.028,2367.353,1,"cov_2"
"62",0.544,0.451,0.542,0.653,669.004,1,"Sigma2_e"
"63",-344.132,-397.715,-344.375,-290.773,385.165,1,"lp_"
"64",1.083,0.982,1.083,1.186,3322.532,1,"B_0"
"65",0.25,0.122,0.25,0.374,4933.189,1,"psi"
"66",0.213,0.128,0.211,0.318,1666.314,1,"Sigma2_intercept"
"67",0.046,0,0.043,0.111,581.36,1,"Sigma2_epsilon"
"68",0.0767695786039474,0.00732759052705845,0.0737695786039474,0.179862809228892,11981690.9344756,1.49231325766316,"Sigma2_phi"
"69",0.00653006865942547,-0.0457466942655943,0.00745227966934436,0.0592155155848105,31221.1328087207,1.14326656461291,"cov_int_phi"
"70",-0.01,-0.052,-0.009,0.029,2370.787,1,"cov_2"
"71",0.65,0.546,0.648,0.764,1096.675,1,"Sigma2_e"
"72",-399.998,-445.572,-400.966,-351.343,587.925,1,"lp_"
"73",0.954,0.834,0.955,1.078,3467.384,1,"B_0"
"74",0.442,0.338,0.441,0.547,3691.6,1,"psi"
"75",0.317,0.212,0.314,0.444,1665.228,1,"Sigma2_intercept"
"76",0.034,0,0.03,0.09,950.524,1.006,"Sigma2_epsilon"
"77",0.17042040922595,0.0797752566061786,0.165803820594746,0.298934165066683,9517161.9830705,1.70428837055932,"Sigma2_phi"
"78",0.104092164769204,0.0370838293164269,0.101587892897143,0.193588100608416,45371.8938068827,1.29269177592491,"cov_int_phi"
"79",0.032,-0.008,0.03,0.088,1731.601,1.003,"cov_2"
"80",0.605,0.516,0.602,0.709,1348.216,1.003,"Sigma2_e"
"81",-378.648,-422.593,-378.212,-334.174,662.591,1.003,"lp_"
"82",1.054,0.947,1.055,1.16,1931.612,1,"B_0"
"83",0.286,0.163,0.285,0.415,2606.314,1.001,"psi"
"84",0.255,0.168,0.252,0.359,1672.856,1,"Sigma2_intercept"
"85",0.101,0.04,0.1,0.175,1026.734,1,"Sigma2_epsilon"
"86",0.142216724998747,0.0533880283448055,0.140929000049186,0.261783589208631,3423932.06739762,1.50490488123465,"Sigma2_phi"
"87",0.0124288474496317,-0.0522366018031277,0.0121904359469361,0.0797810198634638,20559.1318796384,1.17624817576087,"cov_int_phi"
