"","V1","V2","V3","V4","V5","V6","Parameter"
"1",1.001,0.917,1.001,1.085,2494.81,1,"B_0"
"2",0.018,-0.076,0.018,0.114,1756.301,1,"B_x"
"3",0.293,0.163,0.288,0.451,66.671,1.02,"psi"
"4",0.189,0.104,0.188,0.28,767.613,1,"Sigma2_intercept"
"5",0.876,0.756,0.874,1.011,1397.607,1,"Sigma2_x"
"6",0.013,0,0.006,0.066,311.059,1.001,"Sigma2_epsilon"
"7",0.093,0.04,0.081,0.219,96.086,1.012,"Sigma2_phi"
"8",0.052,0.016,0.052,0.087,515.04,1.001,"cov_int_phi"
"9",-0.006,-0.052,-0.003,0.022,346.286,1.003,"cov_2"
"10",0.2,0.131,0.198,0.277,704.513,1.001,"cov_4"
"11",-0.007,-0.138,-0.001,0.094,52.412,1.027,"cov_6"
"12",0.699,0.607,0.697,0.803,857.95,1.001,"Sigma2_e"
"13",0.103,0.089,0.102,0.118,1912.576,1,"Sigma2_ex"
"14",-351.086,-425.437,-351.122,-278.409,661.234,1,"lp_"
"15",1.043,0.958,1.043,1.127,2231.932,1,"B_0"
"16",0.041,-0.058,0.041,0.137,1495.201,1,"B_x"
"17",0.318,0.154,0.322,0.462,55.495,1.066,"psi"
"18",0.155,0.076,0.154,0.241,504.485,1.001,"Sigma2_intercept"
"19",0.983,0.848,0.98,1.137,1161.986,1,"Sigma2_x"
"20",0.027,0,0.017,0.1,422.568,1.003,"Sigma2_epsilon"
"21",0.132,0.066,0.12,0.267,72.674,1.033,"Sigma2_phi"
"22",0.051,0.011,0.051,0.088,629.688,1.003,"cov_int_phi"
"23",-0.008,-0.052,-0.005,0.029,343.153,1.013,"cov_2"
"24",0.185,0.12,0.184,0.26,698.861,1.001,"cov_4"
"25",0.011,-0.12,0.005,0.159,43.721,1.083,"cov_6"
"26",0.686,0.587,0.685,0.788,616.765,1,"Sigma2_e"
"27",0.093,0.081,0.093,0.108,1770.952,1,"Sigma2_ex"
"28",-304.382,-381.096,-304.726,-224.898,540.947,1.001,"lp_"
"29",0.972,0.883,0.973,1.058,3795.422,1,"B_0"
"30",-0.012,-0.108,-0.013,0.088,3301.268,1,"B_x"
"31",0.3,0.124,0.3,0.475,131.948,1.014,"psi"
"32",0.147,0.078,0.145,0.235,623.726,1,"Sigma2_intercept"
"33",0.995,0.858,0.992,1.151,1891.667,1,"Sigma2_x"
"34",0.026,0,0.016,0.108,691.394,1.001,"Sigma2_epsilon"
"35",0.122,0.054,0.106,0.289,224.619,1.01,"Sigma2_phi"
"36",0.086,0.048,0.084,0.133,505.93,1.004,"cov_int_phi"
"37",0.011,-0.029,0.006,0.066,604.196,1.001,"cov_2"
"38",0.25,0.177,0.249,0.33,1559.289,1,"cov_4"
"39",0,-0.162,0,0.162,89.73,1.016,"cov_6"
"40",0.787,0.683,0.787,0.894,763.234,1,"Sigma2_e"
"41",0.105,0.091,0.105,0.121,1972.071,1,"Sigma2_ex"
"42",-408.181,-478.836,-408.684,-336.485,591.623,1,"lp_"
"43",0.936,0.842,0.937,1.024,2521.917,1,"B_0"
"44",-0.013,-0.118,-0.013,0.092,2019.494,1,"B_x"
